"fecha","monto_total"
2022-01-01,1873423
2022-01-02,4722138
2022-01-03,8077304
2022-01-04,10171551
2022-01-05,8206110
2022-01-06,11287409
2022-01-07,9890946
2022-01-08,7109172
2022-01-09,1448022
2022-01-10,8346974
2022-01-11,5038716
2022-01-12,5160995
2022-01-13,5554656
2022-01-14,4973282
2022-01-15,4429249
2022-01-16,3098257
2022-01-17,9715094
2022-01-18,7991854
2022-01-19,6630782
2022-01-20,5481829
2022-01-21,6559697
2022-01-22,4190011
2022-01-23,1694983
2022-01-24,6870278
2022-01-25,7780086
2022-01-26,12515378
2022-01-27,11802157
2022-01-28,10896176
2022-01-29,9667521
2022-01-30,5300816
2022-01-31,418855
2022-02-01,15902292
2022-02-02,15141167
2022-02-03,12550768
2022-02-04,15992442
2022-02-05,12297384
2022-02-06,5881392
2022-02-07,15627289
2022-02-08,14098392
2022-02-09,14513019
2022-02-10,10956987
2022-02-11,9698153
2022-02-12,11120974
2022-02-13,5076114
2022-02-14,12574142
2022-02-15,11491125
2022-02-16,12156304
2022-02-17,13420451
2022-02-18,9947248
2022-02-19,7297704
2022-02-20,1539837
2022-02-21,8253630
2022-02-22,9222293
2022-02-23,9333759
2022-02-24,7982661
2022-02-25,7094351
2022-02-26,6225846
2022-02-27,3028328
2022-03-01,6851534
2022-03-02,11715810
2022-03-03,12519529
2022-03-04,11759457
2022-03-05,10200184
2022-03-06,3587597
2022-03-07,10073287
2022-03-08,14113570
2022-03-09,11294993
2022-03-10,11505315
2022-03-11,8731671
2022-03-12,9272460
2022-03-13,2917650
2022-03-14,10653271
2022-03-15,11432738
2022-03-16,10013353
2022-03-17,9209262
2022-03-18,9323210
2022-03-19,5857425
2022-03-20,3325648
2022-03-21,8747165
2022-03-22,8391588
2022-03-23,6615891
2022-03-24,7822784
2022-03-25,10850778
2022-03-26,7709935
2022-03-27,3752747
2022-03-28,10035294
2022-03-29,8738746
2022-03-30,6250984
2022-03-31,346198
2022-04-01,8538247
2022-04-02,6859343
2022-04-03,6318879
2022-04-04,10623203
2022-04-05,7902284
2022-04-06,8633225
2022-04-07,10479506
2022-04-08,9321272
2022-04-09,7309314
2022-04-10,3483527
2022-04-11,8309106
2022-04-12,5963043
2022-04-13,7202590
2022-04-14,5657531
2022-04-15,1815899
2022-04-16,4115266
2022-04-17,2708305
2022-04-18,5116878
2022-04-19,4827821
2022-04-20,5840468
2022-04-21,4173414
2022-04-22,4007733
2022-04-23,1993633
2022-04-24,1536562
2022-04-25,3185889
2022-04-26,2749368
2022-04-27,4995469
2022-04-28,2299311
2022-04-29,1217193
2022-04-30,130600
2022-05-01,1475798
2022-05-02,1105000
2022-05-03,1927224
2022-05-04,2440230
2022-05-05,2977739
2022-05-06,6876281
2022-05-07,8791509
2022-05-08,6167449
2022-05-09,7176216
2022-05-10,7236449
2022-05-11,7880940
2022-05-12,6764236
2022-05-13,9759384
2022-05-14,5811857
2022-05-15,3670972
