"fecha","monto_total"
2022-01-01,69000
2022-01-02,352186
2022-01-03,1905484
2022-01-04,2823392
2022-01-05,2795916
2022-01-06,2021372
2022-01-07,3003718
2022-01-08,2226896
2022-01-09,645720
2022-01-10,2141824
2022-01-11,2878526
2022-01-12,2610060
2022-01-13,1763404
2022-01-14,2307581
2022-01-15,1797760
2022-01-16,521088
2022-01-17,2353768
2022-01-18,2835798
2022-01-19,2468850
2022-01-20,2809942
2022-01-21,2304754
2022-01-22,1731725
2022-01-23,333600
2022-01-24,3023778
2022-01-25,3055462
2022-01-26,2867271
2022-01-27,2637257
2022-01-28,2645710
2022-01-29,1707371
2022-01-30,523274
2022-01-31,1000
2022-02-01,2700874
2022-02-02,2486232
2022-02-03,2636158
2022-02-04,2562686
2022-02-05,1749233
2022-02-06,467886
2022-02-07,2755256
2022-02-08,2518598
2022-02-09,3433797
2022-02-10,2374498
2022-02-11,2854705
2022-02-12,1381856
2022-02-13,365800
2022-02-14,2225746
2022-02-15,2846055
2022-02-16,3045274
2022-02-17,2575369
2022-02-18,3508193
2022-02-19,1898917
2022-02-20,712524
2022-02-21,3187407
2022-02-22,2872690
2022-02-23,2493530
2022-02-24,2297920
2022-02-25,2974547
2022-02-26,1776502
2022-02-27,496986
2022-03-01,2908101
2022-03-02,2194321
2022-03-03,3108341
2022-03-04,2526656
2022-03-05,1921192
2022-03-06,571300
2022-03-07,3442237
2022-03-08,3521133
2022-03-09,3368444
2022-03-10,2734307
2022-03-11,2515519
2022-03-12,1759265
2022-03-13,604922
2022-03-14,3341493
2022-03-15,3606940
2022-03-16,3682678
2022-03-17,3723078
2022-03-18,2964195
2022-03-19,1983502
2022-03-20,689150
2022-03-21,2781448
2022-03-22,2660560
2022-03-23,1657535
2022-03-24,2235948
2022-03-25,2731631
2022-03-26,2196104
2022-03-27,594200
2022-03-28,3539708
2022-03-29,3085044
2022-03-30,1940310
2022-03-31,55455
2022-04-01,3034247
2022-04-02,1933984
2022-04-03,463400
2022-04-04,2404508
2022-04-05,3081793
2022-04-06,3014456
2022-04-07,3158885
2022-04-08,3463852
2022-04-09,1684123
2022-04-10,300600
2022-04-11,3441929
2022-04-12,2628141
2022-04-13,2380581
2022-04-14,625924
2022-04-15,123000
2022-04-16,430600
2022-04-17,445850
2022-04-18,3249062
2022-04-19,3850096
2022-04-20,3353368
2022-04-21,3062130
2022-04-22,3449750
2022-04-23,2365550
2022-04-24,634858
2022-04-25,3545422
2022-04-26,2957148
2022-04-27,3406359
2022-04-28,3437402
2022-04-29,2735942
2022-04-30,127500
2022-05-01,370060
2022-05-02,525300
2022-05-03,3096058
