"fecha","monto_total"
2022-01-01,13800
2022-01-02,456086
2022-01-03,4016622
2022-01-04,4908572
2022-01-05,5484767
2022-01-06,5090546
2022-01-07,5600546
2022-01-08,3247248
2022-01-09,330350
2022-01-10,4218922
2022-01-11,5022149
2022-01-12,3951875
2022-01-13,4724968
2022-01-14,4864882
2022-01-15,3034991
2022-01-16,372400
2022-01-17,5009625
2022-01-18,4811921
2022-01-19,5248416
2022-01-20,4626998
2022-01-21,5465322
2022-01-22,3435596
2022-01-23,330212
2022-01-24,4728037
2022-01-25,4934978
2022-01-26,4693641
2022-01-27,5186263
2022-01-28,5083017
2022-01-29,2927105
2022-01-30,396100
2022-01-31,13800
2022-02-01,5298084
2022-02-02,5790032
2022-02-03,5998174
2022-02-04,5958074
2022-02-05,3179198
2022-02-06,431200
2022-02-07,6350378
2022-02-08,5504509
2022-02-09,6470670
2022-02-10,6119580
2022-02-11,5463131
2022-02-12,3160609
2022-02-13,512900
2022-02-14,5322896
2022-02-15,6406378
2022-02-16,5874562
2022-02-17,6270030
2022-02-18,5832502
2022-02-19,4032198
2022-02-20,463299
2022-02-21,5358299
2022-02-22,5386882
2022-02-23,6424488
2022-02-24,6086908
2022-02-25,5645735
2022-02-26,3245160
2022-02-27,326024
2022-03-01,6040793
2022-03-02,7062688
2022-03-03,6568119
2022-03-04,6632642
2022-03-05,3554066
2022-03-06,680745
2022-03-07,6497263
2022-03-08,5084062
2022-03-09,6511315
2022-03-10,6694724
2022-03-11,5896194
2022-03-12,3873608
2022-03-13,702150
2022-03-14,5577660
2022-03-15,6793013
2022-03-16,7674433
2022-03-17,5703229
2022-03-18,6615626
2022-03-19,4173658
2022-03-20,702895
2022-03-21,5972815
2022-03-22,7771840
2022-03-23,3976352
2022-03-24,5545446
2022-03-25,6805368
2022-03-26,3764904
2022-03-27,631050
2022-03-28,5625657
2022-03-29,7562059
2022-03-30,5250203
2022-03-31,363924
2022-04-01,6688821
2022-04-02,3940066
2022-04-03,708236
2022-04-04,6239773
2022-04-05,5726196
2022-04-06,7015679
2022-04-07,6820122
2022-04-08,7427610
2022-04-09,4412986
2022-04-10,667100
2022-04-11,6317718
2022-04-12,6550975
2022-04-13,5781587
2022-04-14,1174676
2022-04-15,143300
2022-04-16,1796208
2022-04-17,608112
2022-04-18,7008004
2022-04-19,7698078
2022-04-20,7476336
2022-04-21,7463852
2022-04-22,7484398
2022-04-23,4394361
2022-04-24,565786
2022-04-25,7471718
2022-04-26,7096518
2022-04-27,7713482
2022-04-28,7063451
2022-04-29,6273468
2022-04-30,452661
2022-05-01,495050
2022-05-02,460600
2022-05-03,6098191
2022-05-04,7086241
2022-05-05,7633761
2022-05-06,7688784
2022-05-07,4210141
2022-05-08,735762
2022-05-09,6512494
2022-05-10,7720946
2022-05-11,7886361
2022-05-12,7267014
2022-05-13,7906627
2022-05-14,2184983
2022-05-15,615312
2022-05-16,6451027
2022-05-17,7586704
2022-05-18,6742664
2022-05-19,5864912
2022-05-20,6537006
2022-05-21,3760986
2022-05-22,444908
2022-05-23,5669300
2022-05-24,6636856
2022-05-25,7115332
2022-05-26,5969592
2022-05-27,5923278
2022-05-28,4556255
2022-05-29,318500
2022-05-30,6508739
2022-05-31,500700
2022-06-01,6269192
2022-06-02,6783543
2022-06-03,6978388
2022-06-04,3793518
2022-06-05,391700
2022-06-06,5725510
2022-06-07,6213534
2022-06-08,6904838
2022-06-09,6497682
2022-06-10,6532234
2022-06-11,3720919
2022-06-12,711337
2022-06-13,5638559
2022-06-14,6562247
2022-06-15,7745079
2022-06-16,7079059
2022-06-17,6179052
2022-06-18,4321262
2022-06-19,579403
2022-06-20,5931486
2022-06-21,6807268
2022-06-22,6603521
2022-06-23,5496738
2022-06-24,6595059
2022-06-25,3857624
2022-06-26,694800
2022-06-27,6380610
2022-06-28,5949327
2022-06-29,7001545
2022-06-30,604300
2022-07-01,6802720
2022-07-02,4428219
2022-07-03,819136
2022-07-04,6914563
2022-07-05,7796599
2022-07-06,6422584
2022-07-07,7680279
2022-07-08,7763120
2022-07-09,3985998
2022-07-10,611525
2022-07-11,6134037
2022-07-12,6873987
2022-07-13,6637016
2022-07-14,7049031
2022-07-15,6362872
2022-07-16,3222415
2022-07-17,580464
2022-07-18,6376807
2022-07-19,6608169
2022-07-20,7096325
2022-07-21,6837248
2022-07-22,7545725
2022-07-23,4486119
2022-07-24,789900
2022-07-25,7253316
2022-07-26,6798145
2022-07-27,7019873
2022-07-28,6848697
2022-07-29,6266928
2022-07-30,3813415
2022-07-31,115000
2022-08-01,7136856
2022-08-02,6656004
2022-08-03,8161046
2022-08-04,7500317
2022-08-05,7655577
2022-08-06,3910284
2022-08-07,727700
2022-08-08,6886422
2022-08-09,6459372
2022-08-10,6010576
2022-08-11,7946676
2022-08-12,7433935
2022-08-13,4276632
2022-08-14,1047900
2022-08-15,1177800
2022-08-16,7118198
2022-08-17,7679824
2022-08-18,6500692
2022-08-19,8421954
2022-08-20,3847857
2022-08-21,974941
2022-08-22,7587985
2022-08-23,7495794
2022-08-24,6534900
2022-08-25,7414631
2022-08-26,7256053
2022-08-27,3678880
2022-08-28,593350
2022-08-29,5495443
2022-08-30,7016522
2022-08-31,271650
2022-09-01,7478009
2022-09-02,7051841
2022-09-03,5118478
2022-09-04,826902
2022-09-05,6342450
2022-09-06,6700093
2022-09-07,6881239
2022-09-08,6658547
2022-09-09,7956507
2022-09-10,4384226
2022-09-11,863224
2022-09-12,7373396
2022-09-13,7414278
2022-09-14,7887957
2022-09-15,6819476
2022-09-16,6745087
2022-09-17,4685881
2022-09-18,959536
2022-09-19,5292867
2022-09-20,7551463
2022-09-21,6252044
2022-09-22,6730217
2022-09-23,7675193
2022-09-24,3579497
2022-09-25,1055071
2022-09-26,6542344
2022-09-27,6249742
2022-09-28,7433421
2022-09-29,7347280
2022-09-30,345162
2022-10-01,4661584
2022-10-02,1064224
2022-10-03,959793
2022-10-04,6743823
2022-10-05,7812289
2022-10-06,5036754
2022-10-07,6957080
2022-10-08,4509339
2022-10-09,1015200
2022-10-10,5698789
2022-10-11,6498579
2022-10-12,8212825
2022-10-13,8298777
2022-10-14,8028831
2022-10-15,5411180
2022-10-16,871000
2022-10-17,7225781
2022-10-18,6962877
2022-10-19,6662362
2022-10-20,6332973
2022-10-21,7022003
2022-10-22,4339075
2022-10-23,754718
2022-10-24,7478896
2022-10-25,7057528
2022-10-26,6547679
2022-10-27,7369248
2022-10-28,8055931
2022-10-29,4535476
2022-10-30,715462
2022-10-31,4600
2022-11-01,6681990
2022-11-02,7927683
2022-11-03,7552015
2022-11-04,7076922
2022-11-05,4341386
2022-11-06,634550
2022-11-07,7529129
2022-11-08,6904755
2022-11-09,503040
2022-11-10,6767911
2022-11-11,8425879
2022-11-12,4572462
2022-11-13,974391
2022-11-14,6544662
2022-11-15,7591673
2022-11-16,7850764
2022-11-17,7770020
2022-11-18,8292861
2022-11-19,5010551
2022-11-20,954662
2022-11-21,6476646
2022-11-22,8257789
2022-11-23,7348927
2022-11-24,8028484
2022-11-25,7944458
2022-11-26,5205348
2022-11-27,955110
2022-11-28,7818988
2022-11-29,6958267
2022-11-30,340600
2022-12-01,7464816
2022-12-02,7656572
2022-12-03,5251062
2022-12-04,856450
2022-12-05,7528761
2022-12-06,8355572
2022-12-07,7752640
2022-12-08,606632
2022-12-09,7082468
2022-12-10,4836647
2022-12-11,906861
2022-12-12,8583612
2022-12-13,7429397
2022-12-14,7679074
2022-12-15,7678537
2022-12-16,7585214
2022-12-17,5018905
2022-12-18,913965
2022-12-19,7507949
2022-12-20,7776214
2022-12-21,9948744
2022-12-22,8329362
2022-12-23,7731899
2022-12-24,3460685
2022-12-25,165382
2022-12-26,6194570
2022-12-27,6529760
2022-12-28,7360109
2022-12-29,7537150
2022-12-30,6561144
2022-12-31,257700
2023-01-01,216600
2023-01-02,5863368
2023-01-03,6205917
2023-01-04,7188162
2023-01-05,8362445
2023-01-06,7411702
2023-01-07,4768456
2023-01-08,890562
2023-01-09,8226797
2023-01-10,7547662
2023-01-11,8989627
2023-01-12,7297584
2023-01-13,6662680
2023-01-14,4470947
2023-01-15,955702
2023-01-16,7911646
2023-01-17,8245183
2023-01-18,7792560
2023-01-19,7509657
2023-01-20,7596649
2023-01-21,4157631
2023-01-22,824262
2023-01-23,6193964
2023-01-24,6841389
2023-01-25,6990706
2023-01-26,7524575
2023-01-27,7196019
2023-01-28,3600584
2023-01-29,864416
2023-01-30,7035767
2023-01-31,323100
2023-02-01,7683917
2023-02-02,7408392
2023-02-03,8640747
2023-02-04,3960101
2023-02-05,909320
2023-02-06,7506889
2023-02-07,8387329
2023-02-08,7492097
2023-02-09,6940644
2023-02-10,7578646
2023-02-11,4477007
2023-02-12,852800
2023-02-13,7260219
2023-02-14,6915033
2023-02-15,7829929
