"fecha","monto_total"
2022-01-01,36800
2022-01-02,242800
2022-01-03,1265184
2022-01-04,1685398
2022-01-05,1508024
2022-01-06,1583074
2022-01-07,1281425
2022-01-08,1203846
2022-01-10,1481748
2022-01-11,1464586
2022-01-12,1413987
2022-01-13,1563406
2022-01-14,1662800
2022-01-15,904384
2022-01-16,17900
2022-01-17,1538189
2022-01-18,1384100
2022-01-19,1407748
2022-01-20,1295406
2022-01-21,1355122
2022-01-22,1150230
2022-01-23,230900
2022-01-24,1477649
2022-01-25,1027344
2022-01-26,1546958
2022-01-27,1256124
2022-01-28,1522648
2022-01-29,1136924
2022-01-30,4600
2022-02-01,1680300
2022-02-02,1553505
2022-02-03,1467973
2022-02-04,1264906
2022-02-05,857362
2022-02-07,1645909
2022-02-08,1384762
2022-02-09,1710722
2022-02-10,1180566
2022-02-11,1367200
2022-02-12,1259117
2022-02-13,4600
2022-02-14,1153300
2022-02-15,1448700
2022-02-16,1540666
2022-02-17,1688490
2022-02-18,1608100
2022-02-19,1064496
2022-02-21,1356849
2022-02-22,1491024
2022-02-23,1387824
2022-02-24,1775462
2022-02-25,1519374
2022-02-26,1060500
2022-02-27,2300
2022-03-01,1955212
2022-03-02,1649103
2022-03-03,2126623
2022-03-04,2363139
2022-03-05,977262
2022-03-07,1956800
2022-03-08,1844956
2022-03-09,1854451
2022-03-10,1813690
2022-03-11,1913496
2022-03-12,1352841
2022-03-13,5300
2022-03-14,2003962
2022-03-15,1323262
2022-03-16,1758660
2022-03-17,1836704
2022-03-18,1890656
2022-03-19,1422700
2022-03-21,1862518
2022-03-22,1890322
2022-03-23,1068584
2022-03-24,1485846
2022-03-25,1445624
2022-03-26,1244962
2022-03-28,1555812
2022-03-29,2084456
2022-03-30,1476775
2022-03-31,22800
2022-04-01,2193436
2022-04-02,1663024
2022-04-03,36800
2022-04-04,1430874
2022-04-05,1363772
2022-04-06,2086027
2022-04-07,2178852
2022-04-08,2136000
2022-04-09,1784172
2022-04-10,9500
2022-04-11,2167348
2022-04-12,2215808
2022-04-13,1528315
2022-04-14,501700
2022-04-15,92000
2022-04-16,679000
2022-04-17,4600
2022-04-18,1735300
2022-04-19,2171051
2022-04-20,1776482
2022-04-21,1602530
2022-04-22,1704512
2022-04-23,1639750
2022-04-24,5000
2022-04-25,1940122
2022-04-26,1850751
2022-04-27,2140409
2022-04-28,1968400
2022-04-29,1724064
2022-05-02,429400
2022-05-03,1874493
2022-05-04,1833956
2022-05-05,1927284
2022-05-06,1948262
2022-05-07,1361286
2022-05-08,11500
2022-05-09,1970820
2022-05-10,2004236
2022-05-11,2307924
2022-05-12,2291417
2022-05-13,1786624
2022-05-14,639698
2022-05-16,1823795
2022-05-17,1950601
2022-05-18,2068300
2022-05-19,2294136
2022-05-20,1883212
2022-05-21,1375603
2022-05-23,2069096
2022-05-24,1792348
2022-05-25,1504324
2022-05-26,1170000
