"fecha","monto_total"
2022-01-01,413400
2022-01-02,1088386
2022-01-03,3592996
2022-01-04,3846286
2022-01-05,3303886
2022-01-06,3586367
2022-01-07,3117109
2022-01-08,2852148
2022-01-09,1118220
2022-01-10,3138728
2022-01-11,2608803
2022-01-12,3229224
2022-01-13,3733702
2022-01-14,3238095
2022-01-15,2777992
2022-01-16,958386
2022-01-17,3687366
2022-01-18,3968750
2022-01-19,5120408
2022-01-20,3411210
2022-01-21,3511629
2022-01-22,3846408
2022-01-23,1639016
2022-01-24,3829580
2022-01-25,3161210
2022-01-26,3779276
2022-01-27,2750760
2022-01-28,2949265
2022-01-29,3112740
2022-01-30,1108400
2022-01-31,4600
2022-02-01,3593428
2022-02-02,4603394
2022-02-03,4686935
2022-02-04,4092235
2022-02-05,3974232
2022-02-06,1505436
2022-02-07,4458464
2022-02-08,4403256
2022-02-09,4572441
2022-02-10,4424705
2022-02-11,4859710
2022-02-12,3542923
2022-02-13,1405172
2022-02-14,5165745
2022-02-15,5464332
2022-02-16,4466158
2022-02-17,4733540
2022-02-18,4255872
2022-02-19,3656834
2022-02-20,1378548
2022-02-21,4828692
2022-02-22,4654156
2022-02-23,4642542
2022-02-24,4684377
2022-02-25,4017522
2022-02-26,3194408
2022-02-27,999000
2022-02-28,6900
2022-03-01,4604050
2022-03-02,4273810
2022-03-03,5046249
2022-03-04,4217572
2022-03-05,3833217
2022-03-06,1155500
2022-03-07,5305224
2022-03-08,4294159
2022-03-09,4635648
2022-03-10,4627781
2022-03-11,4725091
2022-03-12,3797112
2022-03-13,1345227
2022-03-14,5050725
2022-03-15,4524513
2022-03-16,4731710
2022-03-17,3968320
2022-03-18,4632377
2022-03-19,3108475
2022-03-20,1798499
2022-03-21,5113722
2022-03-22,3788150
2022-03-23,4536612
2022-03-24,4913948
2022-03-25,5304051
2022-03-26,4224034
2022-03-27,1434198
2022-03-28,4806354
2022-03-29,4874877
2022-03-30,4624993
2022-03-31,58900
2022-04-01,4375527
2022-04-02,3460906
2022-04-03,1415151
2022-04-04,4997635
2022-04-05,4274424
2022-04-06,5417810
2022-04-07,4543800
2022-04-08,5208881
2022-04-09,4552382
2022-04-10,1495422
2022-04-11,5484507
2022-04-12,5425250
2022-04-13,4800725
2022-04-14,2501440
2022-04-15,576596
2022-04-16,2374131
2022-04-17,1510282
2022-04-18,4706299
2022-04-19,5337798
2022-04-20,4640625
2022-04-21,5028226
2022-04-22,5380078
2022-04-23,3216827
2022-04-24,1325500
2022-04-25,5064884
2022-04-26,4749503
2022-04-27,5287001
2022-04-28,5403599
2022-04-29,4962030
2022-04-30,54400
2022-05-01,1327912
2022-05-02,1961733
2022-05-03,5065758
2022-05-04,4210940
2022-05-05,5703476
2022-05-06,5050634
2022-05-07,3897356
2022-05-08,1813937
2022-05-09,5775205
2022-05-10,5090073
2022-05-11,5908501
2022-05-12,6050473
2022-05-13,5476349
2022-05-14,3485005
2022-05-15,1504548
2022-05-16,6031334
2022-05-17,6313700
2022-05-18,5926296
2022-05-19,5380023
2022-05-20,5078550
2022-05-21,3993399
2022-05-22,1575348
2022-05-23,5960374
2022-05-24,5507237
2022-05-25,5417159
2022-05-26,4626194
2022-05-27,4147050
2022-05-28,4735324
2022-05-29,1217400
2022-05-30,6000574
2022-05-31,2300
2022-06-01,5444465
2022-06-02,5250532
2022-06-03,5731055
2022-06-04,4595358
2022-06-05,1290447
2022-06-06,4869539
2022-06-07,5334888
2022-06-08,5836408
2022-06-09,5334260
2022-06-10,5340514
2022-06-11,4723667
2022-06-12,1289386
2022-06-13,5969400
2022-06-14,5576598
2022-06-15,6290265
2022-06-16,5649542
2022-06-17,5308832
2022-06-18,4429236
2022-06-19,2000303
2022-06-20,6785353
2022-06-21,6231004
2022-06-22,5569363
2022-06-23,6191861
2022-06-24,5767106
2022-06-25,4116332
2022-06-26,1401210
2022-06-27,5263294
2022-06-28,5067277
2022-06-29,6444476
2022-06-30,107500
2022-07-01,6368834
2022-07-02,5054747
2022-07-03,2001974
2022-07-04,5231312
2022-07-05,5830991
2022-07-06,5745531
2022-07-07,6830884
2022-07-08,5393583
2022-07-09,3826574
2022-07-10,1321410
2022-07-11,5298513
2022-07-12,4908222
2022-07-13,6015084
2022-07-14,5892955
2022-07-15,6271882
2022-07-16,3731786
2022-07-17,1840462
2022-07-18,6269960
2022-07-19,5324359
2022-07-20,5903095
2022-07-21,6510778
2022-07-22,5441678
2022-07-23,4181657
2022-07-24,1968220
2022-07-25,5606543
2022-07-26,5634065
2022-07-27,5239398
2022-07-28,5304960
2022-07-29,5858178
2022-07-30,4232551
2022-07-31,56500
2022-08-01,5823302
2022-08-02,6147153
2022-08-03,5826757
2022-08-04,5304189
2022-08-05,5967192
2022-08-06,3007397
2022-08-07,1505850
2022-08-08,5901114
2022-08-09,6086752
2022-08-10,6206276
2022-08-11,5379909
2022-08-12,6220893
2022-08-13,4082329
2022-08-14,1722248
2022-08-15,2694200
2022-08-16,6097044
2022-08-17,7026804
2022-08-18,6378927
2022-08-19,5870139
2022-08-20,4101736
2022-08-21,1475306
2022-08-22,6911132
2022-08-23,5668142
2022-08-24,6096773
2022-08-25,5795475
2022-08-26,6305304
2022-08-27,3881808
2022-08-28,1690318
2022-08-29,5371057
2022-08-30,5793591
2022-09-01,5366013
2022-09-02,4576755
2022-09-03,3923360
2022-09-04,1271433
2022-09-05,4928978
2022-09-06,5535516
2022-09-07,5865942
2022-09-08,4961424
2022-09-09,6648765
2022-09-10,3702603
2022-09-11,1326800
2022-09-12,5104349
2022-09-13,5674853
2022-09-14,5280554
2022-09-15,6129676
2022-09-16,5681280
2022-09-17,3646287
2022-09-18,1192760
2022-09-19,5038159
2022-09-20,5213671
2022-09-21,4859294
2022-09-22,5527506
2022-09-23,5394254
2022-09-24,4133177
2022-09-25,1026462
2022-09-26,6479777
2022-09-27,5323097
2022-09-28,6341409
2022-09-29,5913751
2022-09-30,55000
2022-10-01,3664124
2022-10-02,1404556
2022-10-03,2562418
2022-10-04,4958286
2022-10-05,4932397
2022-10-06,4674860
2022-10-07,5051814
2022-10-08,3746127
2022-10-09,1165400
2022-10-10,4723958
2022-10-11,4746468
2022-10-12,5753622
2022-10-13,4647312
2022-10-14,5752342
2022-10-15,2956032
2022-10-16,1690362
2022-10-17,6484280
2022-10-18,5885083
2022-10-19,5596765
2022-10-20,4362345
2022-10-21,5955026
2022-10-22,4013241
2022-10-23,1327750
2022-10-24,5769086
2022-10-25,6481831
2022-10-26,5002972
2022-10-27,5421731
2022-10-28,5249939
2022-10-29,3839983
2022-10-30,1529220
2022-10-31,18000
2022-11-01,6442373
2022-11-02,5290493
2022-11-03,5711610
2022-11-04,6211019
2022-11-05,4115194
2022-11-06,1662807
2022-11-07,8533510
2022-11-08,6101305
2022-11-09,114662
2022-11-10,5126515
2022-11-11,4986383
2022-11-12,3482996
2022-11-13,1183224
2022-11-14,7284588
2022-11-15,6809349
2022-11-16,6633921
2022-11-17,5358065
2022-11-18,6757559
2022-11-19,3200896
2022-11-20,1414446
2022-11-21,4889857
2022-11-22,6754380
2022-11-23,6650288
2022-11-24,5822501
2022-11-25,5814921
2022-11-26,3881840
2022-11-27,1619136
2022-11-28,5814345
2022-11-29,5364980
2022-12-01,6076825
2022-12-02,6694606
2022-12-03,4046110
2022-12-04,1467861
2022-12-05,6692839
2022-12-06,5731891
2022-12-07,5666734
2022-12-08,975900
2022-12-09,5615669
2022-12-10,3343597
2022-12-11,1536225
2022-12-12,6206295
2022-12-13,5973928
2022-12-14,5949432
2022-12-15,5315620
2022-12-16,5415479
2022-12-17,4062875
2022-12-18,2099776
2022-12-19,6427818
2022-12-20,6468793
2022-12-21,4853393
2022-12-22,5782761
2022-12-23,5300981
2022-12-24,3791253
2022-12-25,391562
2022-12-26,4669657
2022-12-27,5908482
2022-12-28,4772833
2022-12-29,5408817
2022-12-30,4504849
2023-01-01,514634
2023-01-02,3995108
2023-01-03,4090083
2023-01-04,4532668
2023-01-05,5329894
2023-01-06,4903039
2023-01-07,3268907
2023-01-08,1251686
2023-01-09,5374187
2023-01-10,4927681
2023-01-11,3959384
2023-01-12,4802177
2023-01-13,4416680
2023-01-14,3377641
2023-01-15,1294200
2023-01-16,5396163
2023-01-17,5371383
2023-01-18,3939348
2023-01-19,4098667
2023-01-20,4367197
2023-01-21,3520176
2023-01-22,1110053
2023-01-23,5728901
2023-01-24,4753419
2023-01-25,4242682
2023-01-26,4097360
2023-01-27,4702699
2023-01-28,3567017
2023-01-29,1107000
2023-01-30,4843065
2023-02-01,5585463
2023-02-02,4536185
2023-02-03,5100723
2023-02-04,3864805
2023-02-05,957112
2023-02-06,5008380
2023-02-07,4318413
2023-02-08,5552918
2023-02-09,4406200
2023-02-10,5090217
2023-02-11,3958107
2023-02-12,1313100
2023-02-13,5413273
2023-02-14,5753008
2023-02-15,4394253
2023-02-16,5325877
2023-02-17,4951104
2023-02-18,3811179
2023-02-19,1480323
2023-02-20,4359576
