"fecha","monto_total"
2022-01-01,350424
2022-01-02,899696
2022-01-03,2284231
2022-01-04,3408156
2022-01-05,3728872
2022-01-06,3196137
2022-01-07,3022520
2022-01-08,3613085
2022-01-09,761200
2022-01-10,3237421
2022-01-11,2913362
2022-01-12,2830583
2022-01-13,3132400
2022-01-14,2924896
2022-01-15,4252894
2022-01-16,851448
2022-01-17,3194086
2022-01-18,3452545
2022-01-19,5299375
2022-01-20,3138478
2022-01-21,4249285
2022-01-22,3968426
2022-01-23,731036
2022-01-24,4321009
2022-01-25,3919521
2022-01-26,2794821
2022-01-27,3356215
2022-01-28,3546825
2022-01-29,4228352
2022-01-30,1190344
2022-01-31,85100
2022-02-01,3987482
2022-02-02,4905182
2022-02-03,4868704
2022-02-04,4609724
2022-02-05,4090334
2022-02-06,1047860
2022-02-07,4932598
2022-02-08,5323180
2022-02-09,5290006
2022-02-10,5406232
2022-02-11,4772060
2022-02-12,4173634
2022-02-13,1385430
2022-02-14,4717813
2022-02-15,4683565
2022-02-16,5812130
2022-02-17,5431595
2022-02-18,5549585
2022-02-19,3954985
2022-02-20,1397324
2022-02-21,5786272
2022-02-22,4710022
2022-02-23,4868947
2022-02-24,4929847
2022-02-25,5514032
2022-02-26,4718259
2022-02-27,1584186
2022-02-28,80500
2022-03-01,5112025
2022-03-02,5567088
2022-03-03,5228707
2022-03-04,5865105
2022-03-05,4559879
2022-03-06,1411086
2022-03-07,6028620
2022-03-08,6752929
2022-03-09,5312441
2022-03-10,4944430
2022-03-11,5254561
2022-03-12,4351303
2022-03-13,1057541
2022-03-14,6637386
2022-03-15,5617726
2022-03-16,4318993
2022-03-17,4754513
2022-03-18,5502212
2022-03-19,4234766
2022-03-20,1189621
2022-03-21,5829679
2022-03-22,5024945
2022-03-23,4179337
2022-03-24,5169162
2022-03-25,5234968
2022-03-26,4362770
2022-03-27,1442112
2022-03-28,5523770
2022-03-29,5329249
2022-03-30,5028335
2022-03-31,286194
2022-04-01,5167803
2022-04-02,5613616
2022-04-03,1355898
2022-04-04,4658751
2022-04-05,4535682
2022-04-06,5839598
2022-04-07,4841196
2022-04-08,5502937
2022-04-09,5037565
2022-04-10,1303520
2022-04-11,4901694
2022-04-12,5306226
2022-04-13,5236436
2022-04-14,2585243
2022-04-15,452500
2022-04-16,3163296
2022-04-17,1464963
2022-04-18,5003607
2022-04-19,5644026
2022-04-20,5866497
2022-04-21,5415245
2022-04-22,6094796
2022-04-23,4648602
2022-04-24,1434730
2022-04-25,5125080
2022-04-26,5855170
2022-04-27,4687323
2022-04-28,5294142
2022-04-29,5402332
2022-04-30,372800
2022-05-01,1277521
2022-05-02,2337632
2022-05-03,5959466
2022-05-04,6281867
2022-05-05,5464598
2022-05-06,5498589
2022-05-07,4585548
2022-05-08,1363700
2022-05-09,4891146
2022-05-10,5561660
2022-05-11,7130627
2022-05-12,6978264
2022-05-13,8162913
2022-05-14,4325067
2022-05-15,1193124
2022-05-16,6592942
2022-05-17,6604379
2022-05-18,6541606
2022-05-19,6544770
2022-05-20,6553267
2022-05-21,4372542
2022-05-22,1255684
2022-05-23,6064201
2022-05-24,6094523
2022-05-25,6030623
2022-05-26,5296018
2022-05-27,5422896
2022-05-28,5116210
2022-05-29,987524
2022-05-30,5994910
2022-05-31,463856
2022-06-01,5755322
2022-06-02,5906546
2022-06-03,5539771
2022-06-04,5074242
2022-06-05,1287474
2022-06-06,6312404
2022-06-07,6042378
2022-06-08,5337371
2022-06-09,6042098
2022-06-10,6279735
2022-06-11,5484374
2022-06-12,1214202
2022-06-13,6318839
2022-06-14,6626210
2022-06-15,6678914
2022-06-16,7286272
2022-06-17,6801268
2022-06-18,5039556
2022-06-19,1493869
2022-06-20,6346052
2022-06-21,8015117
2022-06-22,5302265
2022-06-23,5739105
2022-06-24,5388903
2022-06-25,4601288
2022-06-26,960400
2022-06-27,5700358
2022-06-28,6635721
2022-06-29,6626205
2022-06-30,269560
2022-07-01,6477376
2022-07-02,4711167
2022-07-03,1506179
2022-07-04,5894107
2022-07-05,6989147
2022-07-06,6253315
2022-07-07,6730697
2022-07-08,7147054
2022-07-09,6031325
2022-07-10,1351924
2022-07-11,5924991
2022-07-12,6050833
2022-07-13,6448296
2022-07-14,5940584
2022-07-15,6278234
2022-07-16,4985812
2022-07-17,1478812
2022-07-18,6636039
2022-07-19,5931734
2022-07-20,6257759
2022-07-21,7215298
2022-07-22,7054428
2022-07-23,5299730
2022-07-24,1628609
2022-07-25,6853678
2022-07-26,6456017
2022-07-27,5955366
2022-07-28,7018738
2022-07-29,6415942
2022-07-30,5133306
2022-07-31,311400
2022-08-01,6082790
2022-08-02,6619833
2022-08-03,7071309
2022-08-04,5674970
2022-08-05,5947906
2022-08-06,3994597
2022-08-07,1401786
2022-08-08,5746104
2022-08-09,6525109
2022-08-10,5623336
2022-08-11,6820973
2022-08-12,8177775
2022-08-13,5123365
2022-08-14,1509800
2022-08-15,2967847
2022-08-16,5629635
2022-08-17,6812229
2022-08-18,7500693
2022-08-19,7216569
2022-08-20,5208322
2022-08-21,1415635
2022-08-22,7088209
2022-08-23,7102479
2022-08-24,8171400
2022-08-25,7660756
2022-08-26,6356966
2022-08-27,5166258
2022-08-28,1291806
2022-08-29,5661180
2022-08-30,6945530
2022-08-31,351300
2022-09-01,6598188
2022-09-02,6051435
2022-09-03,4170246
2022-09-04,1424970
2022-09-05,6351398
2022-09-06,7385353
2022-09-07,4802511
2022-09-08,5705622
2022-09-09,7015070
2022-09-10,4179950
2022-09-11,1094122
2022-09-12,6316402
2022-09-13,5902696
2022-09-14,6404069
2022-09-15,5724919
2022-09-16,6270388
2022-09-17,4484936
2022-09-18,1286112
2022-09-19,5149253
2022-09-20,6361413
2022-09-21,5992648
2022-09-22,6738178
2022-09-23,6600529
2022-09-24,4561892
2022-09-25,1075486
2022-09-26,5565134
2022-09-27,6258216
2022-09-28,7414611
2022-09-29,6511295
2022-09-30,593000
2022-10-01,4370379
2022-10-02,1220589
2022-10-03,2268042
2022-10-04,6904816
2022-10-05,5680258
2022-10-06,5681870
2022-10-07,5835107
2022-10-08,4446598
2022-10-09,954249
2022-10-10,5019575
2022-10-11,4821322
2022-10-12,6982219
2022-10-13,5778486
2022-10-14,6289821
2022-10-15,4502750
2022-10-16,1265674
2022-10-17,6322432
2022-10-18,6328572
2022-10-19,6436940
2022-10-20,5245613
2022-10-21,7308693
2022-10-22,4619340
2022-10-23,1341630
2022-10-24,7020776
2022-10-25,6436571
2022-10-26,5896790
2022-10-27,6402179
2022-10-28,6733914
2022-10-29,4785583
2022-10-30,853706
2022-10-31,59000
2022-11-01,6118092
2022-11-02,6591125
2022-11-03,7053131
2022-11-04,6788175
2022-11-05,4962908
2022-11-06,1444486
2022-11-07,7262477
2022-11-08,7090552
2022-11-09,292000
2022-11-10,6306871
2022-11-11,6762918
2022-11-12,4386965
2022-11-13,847712
2022-11-14,7531705
2022-11-15,7884161
2022-11-16,7703938
2022-11-17,6330488
2022-11-18,7385456
2022-11-19,3469344
2022-11-20,1586543
2022-11-21,5654755
2022-11-22,7633760
2022-11-23,7681478
2022-11-24,6886884
2022-11-25,6819010
2022-11-26,4009100
2022-11-27,1128553
2022-11-28,7548384
2022-11-29,7240785
2022-11-30,310200
2022-12-01,6664068
2022-12-02,7493166
2022-12-03,5027944
2022-12-04,1604422
2022-12-05,6646056
2022-12-06,6592822
2022-12-07,7098381
2022-12-08,808213
2022-12-09,5981331
2022-12-10,5037856
2022-12-11,1203700
2022-12-12,8185994
2022-12-13,6726304
2022-12-14,5628173
2022-12-15,6647072
2022-12-16,6386964
2022-12-17,5494654
2022-12-18,1311323
2022-12-19,6987734
2022-12-20,6765070
2022-12-21,6705999
2022-12-22,7545152
2022-12-23,7188100
2022-12-24,3693120
2022-12-25,217200
2022-12-26,4968677
2022-12-27,6598147
2022-12-28,5502702
2022-12-29,6450021
2022-12-30,5504493
2022-12-31,247510
2023-01-01,574538
2023-01-02,4255496
2023-01-03,5475894
2023-01-04,5707419
2023-01-05,5804448
2023-01-06,5672199
2023-01-07,4034335
2023-01-08,1043250
2023-01-09,5467080
2023-01-10,5767112
2023-01-11,5588669
2023-01-12,5265758
2023-01-13,4932048
2023-01-14,4870656
2023-01-15,1190400
2023-01-16,5633169
2023-01-17,5928971
2023-01-18,6346758
2023-01-19,5756937
2023-01-20,6670072
2023-01-21,3899081
2023-01-22,829187
2023-01-23,5935852
2023-01-24,5442274
2023-01-25,6104723
2023-01-26,5193287
2023-01-27,5430542
2023-01-28,3703501
2023-01-29,1441423
2023-01-30,5039616
2023-01-31,38100
2023-02-01,6122332
2023-02-02,6605023
2023-02-03,5627491
2023-02-04,4024256
2023-02-05,873500
2023-02-06,6327711
2023-02-07,6259150
2023-02-08,5527447
2023-02-09,5567629
2023-02-10,5840081
2023-02-11,4679499
2023-02-12,1058720
2023-02-13,5009633
2023-02-14,5702714
2023-02-15,5382259
2023-02-16,5912305
2023-02-17,5629723
2023-02-18,4172241
2023-02-19,1348417
2023-02-20,5071762
2023-02-21,6297639
2023-02-22,6165179
2023-02-23,5860386
2023-02-24,6329158
2023-02-25,4723009
2023-02-26,1384939
2023-02-27,1947719
2023-02-28,26300
2023-03-01,6106856
2023-03-02,7015113
2023-03-03,6431136
2023-03-04,5059284
2023-03-05,1518672
2023-03-06,8096832
2023-03-07,8193732
2023-03-08,7543443
2023-03-09,6777509
2023-03-10,7356167
2023-03-11,5766388
2023-03-12,1079000
2023-03-13,7866251
2023-03-14,6990765
2023-03-15,7293749
2023-03-16,6716278
2023-03-17,7729627
2023-03-18,4276914
2023-03-19,1386988
2023-03-20,7959119
2023-03-21,7611165
2023-03-22,7488372
2023-03-23,8203729
2023-03-24,7418786
2023-03-25,5260731
2023-03-26,1345012
2023-03-27,7218176
2023-03-28,7437205
2023-03-29,7143863
2023-03-30,6624730
2023-03-31,528600
