"fecha","monto_total"
2022-01-01,490088
2022-01-02,1243750
2022-01-03,4624773
2022-01-04,6540182
2022-01-05,6043737
2022-01-06,5463814
2022-01-07,6717375
2022-01-08,4336818
2022-01-09,1085024
2022-01-10,5604951
2022-01-11,5070179
2022-01-12,4806147
2022-01-13,5812402
2022-01-14,5792478
2022-01-15,3793240
2022-01-16,834070
2022-01-17,5681220
2022-01-18,5074274
2022-01-19,5993542
2022-01-20,4850502
2022-01-21,6304350
2022-01-22,4121590
2022-01-23,979700
2022-01-24,5502817
2022-01-25,5627919
2022-01-26,4977573
2022-01-27,5332108
2022-01-28,5879739
2022-01-29,4325265
2022-01-30,1024899
2022-02-01,6627227
2022-02-02,5990366
2022-02-03,6609450
2022-02-04,6540570
2022-02-05,4385232
2022-02-06,1338212
2022-02-07,7377487
2022-02-08,5919554
2022-02-09,6632893
2022-02-10,6902057
2022-02-11,6769322
2022-02-12,4327446
2022-02-13,1536524
2022-02-14,6618934
2022-02-15,6653818
2022-02-16,5655193
2022-02-17,6590743
2022-02-18,7007345
2022-02-19,4932310
2022-02-20,1307000
2022-02-21,6937863
2022-02-22,7208848
2022-02-23,6968747
2022-02-24,6069669
2022-02-25,6278451
2022-02-26,4912006
2022-02-27,1609536
2022-03-01,5493993
2022-03-02,6887829
2022-03-03,6872044
2022-03-04,6522812
2022-03-05,4695456
2022-03-06,1148524
2022-03-07,7610984
2022-03-08,7130844
2022-03-09,6809310
2022-03-10,6287829
2022-03-11,5902064
2022-03-12,4896148
2022-03-13,1209812
2022-03-14,6462924
2022-03-15,6128617
2022-03-16,6381174
2022-03-17,5825335
2022-03-18,6653809
2022-03-19,4167422
2022-03-20,1329100
2022-03-21,8122449
2022-03-22,6146544
2022-03-23,5190434
2022-03-24,6229601
2022-03-25,5536247
2022-03-26,4085596
2022-03-27,1600870
2022-03-28,7441267
2022-03-29,8215492
2022-03-30,5984326
2022-03-31,75500
2022-04-01,7085744
2022-04-02,5591950
2022-04-03,1613201
2022-04-04,6281796
2022-04-05,5885800
2022-04-06,6799969
2022-04-07,6928546
2022-04-08,6697527
2022-04-09,5204505
2022-04-10,1521549
2022-04-11,6530132
2022-04-12,6523028
2022-04-13,6206709
2022-04-14,3039958
2022-04-15,545300
2022-04-16,3091724
2022-04-17,1307405
2022-04-18,6782819
2022-04-19,8186450
2022-04-20,6328832
2022-04-21,6786921
2022-04-22,6975563
2022-04-23,4594881
2022-04-24,1901744
2022-04-25,7386073
2022-04-26,7412463
2022-04-27,6781178
2022-04-28,6837176
2022-04-29,6277836
2022-04-30,47086
2022-05-01,1321950
2022-05-02,2561058
2022-05-03,7147454
2022-05-04,7738746
2022-05-05,6598036
2022-05-06,7149129
2022-05-07,4707564
2022-05-08,1298724
2022-05-09,7520653
2022-05-10,6905957
2022-05-11,8038764
2022-05-12,8179970
2022-05-13,7845292
2022-05-14,3336119
2022-05-15,1025279
2022-05-16,6306945
2022-05-17,7684543
2022-05-18,7667396
2022-05-19,7262148
2022-05-20,7288486
2022-05-21,3899544
2022-05-22,1412850
2022-05-23,7424300
2022-05-24,6663536
2022-05-25,6485581
2022-05-26,7156758
2022-05-27,6880498
2022-05-28,4767890
2022-05-29,984000
2022-05-30,7782414
2022-05-31,124500
2022-06-01,6111118
2022-06-02,7494720
2022-06-03,7249697
2022-06-04,5162982
2022-06-05,1552060
2022-06-06,7270286
2022-06-07,6935882
2022-06-08,7481313
2022-06-09,6871417
2022-06-10,7505148
2022-06-11,4123429
2022-06-12,1072100
2022-06-13,7185134
2022-06-14,7091708
2022-06-15,7880669
