"fecha","monto_total"
2022-01-01,1177234
2022-01-02,1523898
2022-01-03,4868333
2022-01-04,7046264
2022-01-05,7377863
2022-01-06,6603539
2022-01-07,6884980
2022-01-08,4397713
2022-01-09,2482308
2022-01-10,6452631
2022-01-11,6160108
2022-01-12,5352006
2022-01-13,4989432
2022-01-14,7565913
2022-01-15,5158851
2022-01-16,2275902
2022-01-17,4800749
2022-01-18,6609595
2022-01-19,7493065
2022-01-20,6434713
2022-01-21,7761591
2022-01-22,5577061
2022-01-23,2290972
2022-01-24,8521538
2022-01-25,7310381
2022-01-26,7952721
2022-01-27,6720911
2022-01-28,6600537
2022-01-29,6276527
2022-01-30,3368361
2022-01-31,102676
2022-02-01,7498705
2022-02-02,7062737
2022-02-03,7569698
2022-02-04,6503742
2022-02-05,4089076
2022-02-06,3540246
2022-02-07,6696855
2022-02-08,7726051
2022-02-09,8479335
2022-02-10,8885624
2022-02-11,8617624
2022-02-12,7805169
2022-02-13,2531329
2022-02-14,9916716
2022-02-15,9834274
2022-02-16,9071747
2022-02-17,8546065
2022-02-18,8973814
2022-02-19,6487683
2022-02-20,3714702
2022-02-21,9534604
2022-02-22,8150795
2022-02-23,8002664
2022-02-24,8199499
2022-02-25,8597520
2022-02-26,5217508
2022-02-27,2243569
2022-02-28,3400
2022-03-01,8487624
2022-03-02,10066758
2022-03-03,9792148
2022-03-04,8858883
2022-03-05,6735096
2022-03-06,4710721
2022-03-07,9124304
2022-03-08,10350954
2022-03-09,10263320
2022-03-10,8519161
2022-03-11,7677816
2022-03-12,7293348
2022-03-13,2757636
2022-03-14,9082860
2022-03-15,8451955
2022-03-16,6832384
2022-03-17,7840074
2022-03-18,7809382
2022-03-19,6657653
2022-03-20,3728868
2022-03-21,7841965
2022-03-22,9196452
2022-03-23,5536680
2022-03-24,7910355
2022-03-25,8284257
2022-03-26,6941387
2022-03-27,3376710
2022-03-28,8443410
2022-03-29,9487559
2022-03-30,5571926
2022-03-31,546947
2022-04-01,8665118
2022-04-02,6481423
2022-04-03,3522308
2022-04-04,8438098
2022-04-05,8274989
2022-04-06,9893522
2022-04-07,9028485
2022-04-08,8854751
2022-04-09,9201622
2022-04-10,3646358
2022-04-11,8633077
2022-04-12,7294503
2022-04-13,5853316
2022-04-14,1644398
2022-04-15,787058
2022-04-16,2746472
2022-04-17,3197203
2022-04-18,9328817
2022-04-19,8710660
2022-04-20,8977475
2022-04-21,8317175
2022-04-22,8626951
2022-04-23,6610587
2022-04-24,2926136
2022-04-25,8899826
2022-04-26,7571930
2022-04-27,8299709
2022-04-28,8081498
2022-04-29,8502765
2022-04-30,158722
2022-05-01,7018534
2022-05-02,4025004
2022-05-03,13846817
2022-05-04,9104650
2022-05-05,9406466
2022-05-06,9142867
2022-05-07,7468347
2022-05-08,4306126
2022-05-09,8221227
2022-05-10,8428970
2022-05-11,9189745
2022-05-12,8617923
2022-05-13,9915165
2022-05-14,3516144
2022-05-15,3756579
2022-05-16,7960577
2022-05-17,8116461
2022-05-18,7970851
2022-05-19,9508964
2022-05-20,6978629
2022-05-21,6780514
2022-05-22,3250322
2022-05-23,8187155
2022-05-24,8471502
2022-05-25,8442865
2022-05-26,5434595
2022-05-27,7632151
2022-05-28,6161928
2022-05-29,2659750
2022-05-30,8449523
2022-05-31,335300
2022-06-01,7102748
2022-06-02,7754021
2022-06-03,9140805
2022-06-04,5914033
2022-06-05,2826634
2022-06-06,6253079
2022-06-07,6808156
2022-06-08,8978407
2022-06-09,8238939
2022-06-10,8411818
2022-06-11,5207849
2022-06-12,2620138
2022-06-13,6477112
2022-06-14,7766119
2022-06-15,8323934
2022-06-16,8111987
2022-06-17,7282925
2022-06-18,7065933
2022-06-19,4032156
2022-06-20,6906826
2022-06-21,6253412
2022-06-22,8864849
2022-06-23,6679715
2022-06-24,5718392
2022-06-25,4972338
2022-06-26,3711304
2022-06-27,6713011
2022-06-28,7960188
2022-06-29,9050532
2022-06-30,121000
2022-07-01,9356464
2022-07-02,5800118
2022-07-03,3085990
2022-07-04,7425716
2022-07-05,9075811
2022-07-06,8360922
2022-07-07,7076044
2022-07-08,6831359
2022-07-09,6060535
2022-07-10,3019608
2022-07-11,6376170
2022-07-12,6210431
2022-07-13,7039673
2022-07-14,5717823
2022-07-15,6761261
2022-07-16,5858787
2022-07-17,3097523
2022-07-18,7140851
2022-07-19,7438178
2022-07-20,8260061
2022-07-21,8464723
2022-07-22,7689944
2022-07-23,5373755
2022-07-24,4532835
