"fecha","monto_total"
2022-01-01,499772
2022-01-02,1494512
2022-01-03,5867760
2022-01-04,7439620
2022-01-05,7597208
2022-01-06,8178280
2022-01-07,7304178
2022-01-08,4946484
2022-01-09,1081449
2022-01-10,6632466
2022-01-11,6477537
2022-01-12,7181805
2022-01-13,5619778
2022-01-14,6618483
2022-01-15,4688031
2022-01-16,1824574
2022-01-17,5722626
2022-01-18,7573033
2022-01-19,6857916
2022-01-20,7170165
2022-01-21,6630300
2022-01-22,4442737
2022-01-23,1522010
2022-01-24,6671296
2022-01-25,6754660
2022-01-26,7474097
2022-01-27,6597800
2022-01-28,7405100
2022-01-29,5390889
2022-01-30,2007385
2022-01-31,97200
2022-02-01,7946033
2022-02-02,7676937
2022-02-03,7613206
2022-02-04,6627342
2022-02-05,5772348
2022-02-06,1813910
2022-02-07,7405133
2022-02-08,8830349
2022-02-09,7932969
2022-02-10,7046126
2022-02-11,8456789
2022-02-12,6059913
2022-02-13,2163916
2022-02-14,8140655
2022-02-15,8089358
2022-02-16,8990470
2022-02-17,7965068
2022-02-18,8552974
2022-02-19,7372893
2022-02-20,2642517
2022-02-21,8128768
2022-02-22,9470600
2022-02-23,8011125
2022-02-24,9396079
2022-02-25,9506624
2022-02-26,6972124
2022-02-27,2914932
2022-02-28,60500
2022-03-01,6716368
2022-03-02,9757934
2022-03-03,9372326
2022-03-04,8625808
2022-03-05,7188843
2022-03-06,2390048
2022-03-07,10003703
2022-03-08,9161863
2022-03-09,8326185
2022-03-10,8733982
2022-03-11,8038829
2022-03-12,6423917
2022-03-13,2044355
2022-03-14,9313379
2022-03-15,9563106
2022-03-16,9887676
2022-03-17,8864965
2022-03-18,10420965
2022-03-19,6589239
2022-03-20,2494162
2022-03-21,8831802
2022-03-22,8705480
2022-03-23,5917623
2022-03-24,9192479
2022-03-25,10039062
2022-03-26,7444191
2022-03-27,2736248
2022-03-28,9851795
2022-03-29,10095332
2022-03-30,7434170
2022-03-31,490324
2022-04-01,9758345
2022-04-02,6967369
2022-04-03,2112086
2022-04-04,8040101
2022-04-05,9418282
2022-04-06,9096064
2022-04-07,9149264
2022-04-08,10744218
2022-04-09,7345378
2022-04-10,2481664
2022-04-11,10238889
2022-04-12,9061853
2022-04-13,7312809
2022-04-14,3796367
2022-04-15,312762
2022-04-16,2933094
2022-04-17,1911248
2022-04-18,8699509
2022-04-19,9736441
2022-04-20,9060750
2022-04-21,9222307
2022-04-22,9891777
2022-04-23,6806998
2022-04-24,2322136
2022-04-25,9674266
2022-04-26,9315395
2022-04-27,9004042
2022-04-28,9542003
2022-04-29,8698703
2022-04-30,359500
2022-05-01,1483041
2022-05-02,1909024
2022-05-03,8709980
2022-05-04,10189141
2022-05-05,8654822
2022-05-06,10578624
2022-05-07,7301199
2022-05-08,2354175
2022-05-09,9641748
2022-05-10,9636403
2022-05-11,11232353
2022-05-12,9853281
2022-05-13,9918468
2022-05-14,4568062
2022-05-15,2077524
2022-05-16,9176765
2022-05-17,10009084
2022-05-18,8680744
2022-05-19,9882067
2022-05-20,10262617
2022-05-21,7496721
2022-05-22,2611744
2022-05-23,7853957
2022-05-24,9478597
2022-05-25,8094149
2022-05-26,6610310
2022-05-27,7112966
2022-05-28,6314391
2022-05-29,1552380
2022-05-30,8316438
2022-05-31,558344
2022-06-01,8554329
2022-06-02,7831470
2022-06-03,7793483
2022-06-04,5699305
2022-06-05,2643939
2022-06-06,8123226
2022-06-07,8069790
2022-06-08,8528476
2022-06-09,8668283
2022-06-10,8663465
2022-06-11,6450854
2022-06-12,2251780
2022-06-13,8055412
2022-06-14,8645525
2022-06-15,9562002
2022-06-16,8448797
2022-06-17,8446201
2022-06-18,7047594
2022-06-19,2273869
2022-06-20,8341360
2022-06-21,8077363
2022-06-22,8778299
2022-06-23,8938052
2022-06-24,9186591
2022-06-25,6290275
2022-06-26,2720561
2022-06-27,7341596
2022-06-28,9445802
2022-06-29,8293734
2022-06-30,698231
2022-07-01,8506934
2022-07-02,6692408
2022-07-03,2780896
2022-07-04,7988340
2022-07-05,7304775
2022-07-06,8369178
2022-07-07,8503806
2022-07-08,7133538
2022-07-09,6448400
2022-07-10,2622786
2022-07-11,7354174
2022-07-12,8261239
2022-07-13,7614106
2022-07-14,8061312
2022-07-15,7813024
2022-07-16,5391292
2022-07-17,2229166
2022-07-18,7743171
2022-07-19,8877905
2022-07-20,7582238
2022-07-21,7652190
2022-07-22,6574288
2022-07-23,6753477
2022-07-24,2496426
2022-07-25,7784989
2022-07-26,7822307
2022-07-27,8618059
2022-07-28,8608693
2022-07-29,7927535
2022-07-30,7904414
2022-07-31,203200
2022-08-01,7965824
2022-08-02,7300139
2022-08-03,8018905
2022-08-04,7198583
2022-08-05,8330773
2022-08-06,5846926
2022-08-07,2443977
2022-08-08,8643361
2022-08-09,7086148
2022-08-10,8394635
2022-08-11,8525476
2022-08-12,9588005
2022-08-13,6832507
2022-08-14,2392248
2022-08-15,3961882
2022-08-16,9716101
2022-08-17,7618925
2022-08-18,8475782
2022-08-19,8766233
2022-08-20,6489597
2022-08-21,2625710
2022-08-22,8512919
2022-08-23,9710506
2022-08-24,8225446
2022-08-25,6769881
2022-08-26,9227295
2022-08-27,6067692
2022-08-28,1665097
2022-08-29,7587104
2022-08-30,8531665
2022-08-31,535933
2022-09-01,7738824
2022-09-02,8581799
2022-09-03,5942605
2022-09-04,2840275
2022-09-05,8429154
2022-09-06,8197846
2022-09-07,7948689
2022-09-08,8450005
2022-09-09,8168997
2022-09-10,6607353
2022-09-11,1939724
2022-09-12,9032810
2022-09-13,8519064
2022-09-14,7557842
2022-09-15,8338574
2022-09-16,8026689
2022-09-17,5049899
2022-09-18,2974942
2022-09-19,6527285
2022-09-20,8267429
2022-09-21,7574116
2022-09-22,7785128
2022-09-23,9342245
2022-09-24,4576584
2022-09-25,1766884
2022-09-26,7934966
2022-09-27,9161334
2022-09-28,8465612
2022-09-29,8121356
2022-09-30,461787
2022-10-01,6483069
2022-10-02,2375685
2022-10-03,3369470
2022-10-04,8373942
2022-10-05,8487658
2022-10-06,5642853
2022-10-07,9094732
2022-10-08,6313390
2022-10-09,1395454
2022-10-10,7200735
2022-10-11,6699989
2022-10-12,8653180
2022-10-13,7620735
2022-10-14,7860619
2022-10-15,5497327
2022-10-16,2357325
2022-10-17,7931371
2022-10-18,8418172
2022-10-19,7577678
2022-10-20,6150797
2022-10-21,8136754
2022-10-22,5897338
2022-10-23,2343540
2022-10-24,7710833
2022-10-25,7594735
2022-10-26,6371371
2022-10-27,6648645
2022-10-28,8038436
2022-10-29,6832099
2022-10-30,2017289
2022-10-31,6800
2022-11-01,7630649
2022-11-02,7904846
2022-11-03,8404478
2022-11-04,10094339
2022-11-05,6707972
2022-11-06,2313861
2022-11-07,8052274
2022-11-08,8706623
2022-11-09,231100
2022-11-10,8003003
2022-11-11,8019549
2022-11-12,6121585
2022-11-13,2285080
2022-11-14,7706510
2022-11-15,8648062
2022-11-16,8294018
2022-11-17,8697717
2022-11-18,8772085
2022-11-19,7149821
2022-11-20,2001850
2022-11-21,5977636
2022-11-22,6941208
2022-11-23,7021380
2022-11-24,6976521
2022-11-25,6834706
2022-11-26,6309096
2022-11-27,2932032
2022-11-28,7205182
2022-11-29,7753716
2022-11-30,209370
2022-12-01,7178169
2022-12-02,8392607
2022-12-03,5728406
2022-12-04,1697165
2022-12-05,6603903
2022-12-06,7855297
2022-12-07,7225408
2022-12-08,1670317
2022-12-09,7651037
2022-12-10,6147261
2022-12-11,2264599
2022-12-12,8752742
2022-12-13,8608372
2022-12-14,7786857
2022-12-15,7859000
2022-12-16,9058343
2022-12-17,7117568
2022-12-18,2419581
2022-12-19,8217822
2022-12-20,8593228
2022-12-21,9213558
2022-12-22,8536062
2022-12-23,10214145
2022-12-24,6418201
2022-12-25,724104
2022-12-26,6809187
2022-12-27,6920308
2022-12-28,7004330
2022-12-29,8766526
2022-12-30,7738531
2022-12-31,105800
2023-01-01,189400
2023-01-02,5030205
2023-01-03,5336255
2023-01-04,8591935
2023-01-05,8046066
2023-01-06,8888511
2023-01-07,5040362
2023-01-08,2623426
2023-01-09,7140624
2023-01-10,6468733
2023-01-11,8067834
2023-01-12,7529792
2023-01-13,5803164
2023-01-14,5450306
2023-01-15,1997068
2023-01-16,7378317
2023-01-17,6461515
2023-01-18,6277289
2023-01-19,8147155
2023-01-20,8234896
2023-01-21,4389144
2023-01-22,1080075
2023-01-23,7015410
2023-01-24,7661689
2023-01-25,6454651
2023-01-26,8570339
2023-01-27,7964985
2023-01-28,5122356
2023-01-29,1847909
2023-01-30,7656769
2023-01-31,41500
2023-02-01,8895089
2023-02-02,8094502
2023-02-03,8807713
2023-02-04,6783085
2023-02-05,1836166
2023-02-06,10569048
2023-02-07,10277102
2023-02-08,8436059
2023-02-09,8982266
2023-02-10,10038771
2023-02-11,6920640
2023-02-12,2728011
2023-02-13,8970529
2023-02-14,10273801
2023-02-15,9467228
2023-02-16,9164517
2023-02-17,9772200
2023-02-18,6766053
2023-02-19,2048415
2023-02-20,9230538
2023-02-21,8597308
2023-02-22,8891638
2023-02-23,8027454
2023-02-24,7489623
2023-02-25,7076935
2023-02-26,2338098
2023-02-27,1711985
2023-02-28,6900
2023-03-01,6919135
2023-03-02,7321874
2023-03-03,7236852
2023-03-04,5466681
2023-03-05,1247313
2023-03-06,7669283
2023-03-07,7029373
2023-03-08,6013754
2023-03-09,6973613
2023-03-10,8528613
2023-03-11,6704159
2023-03-12,1779162
2023-03-13,7267438
2023-03-14,8252389
2023-03-15,6925109
2023-03-16,6532302
2023-03-17,7606814
2023-03-18,7328258
2023-03-19,1919265
2023-03-20,7767226
2023-03-21,7618129
2023-03-22,7249899
2023-03-23,8154941
2023-03-24,7546985
2023-03-25,4217459
2023-03-26,2245796
2023-03-27,7920487
2023-03-28,9030989
2023-03-29,7940054
2023-03-30,6961606
2023-03-31,312844
