"fecha","monto_total"
2022-01-01,464042
2022-01-02,2574744
2022-01-03,5550210
2022-01-04,6282348
2022-01-05,6656312
2022-01-06,6650626
2022-01-07,6147522
2022-01-08,4292330
2022-01-09,2680020
2022-01-10,7210546
2022-01-11,6316096
2022-01-12,5993281
2022-01-13,5199317
2022-01-14,5919730
2022-01-15,4931497
2022-01-16,2162422
2022-01-17,6637187
2022-01-18,6144703
2022-01-19,6099469
2022-01-20,5283957
2022-01-21,5915060
2022-01-22,4486455
2022-01-23,1276824
2022-01-24,6324709
2022-01-25,6248337
2022-01-26,5732758
2022-01-27,5346544
2022-01-28,6437807
2022-01-29,5317160
2022-01-30,2618833
2022-02-01,6184620
2022-02-02,5264004
2022-02-03,6063551
2022-02-04,6472279
2022-02-05,5335762
2022-02-06,3414463
2022-02-07,6483432
2022-02-08,7490434
2022-02-09,6436872
2022-02-10,7279111
2022-02-11,6353453
2022-02-12,5830233
2022-02-13,2502540
2022-02-14,8157811
2022-02-15,7827320
2022-02-16,6743095
2022-02-17,6964817
2022-02-18,8028997
2022-02-19,6047735
2022-02-20,3078300
2022-02-21,6362600
2022-02-22,7433311
2022-02-23,6557520
2022-02-24,7192365
2022-02-25,7068129
2022-02-26,6014894
2022-02-27,2780200
2022-02-28,51000
2022-03-01,5682657
2022-03-02,7475295
2022-03-03,6910968
2022-03-04,8015096
2022-03-05,6623239
2022-03-06,3024286
2022-03-07,7768226
2022-03-08,7715335
2022-03-09,7515240
2022-03-10,7633647
2022-03-11,6771320
2022-03-12,5889365
2022-03-13,2404616
2022-03-14,7857312
2022-03-15,7486474
2022-03-16,6447148
2022-03-17,6613328
2022-03-18,7374030
2022-03-19,5558399
2022-03-20,3304199
2022-03-21,7672640
2022-03-22,7440449
2022-03-23,4918798
2022-03-24,5577044
2022-03-25,5648934
2022-03-26,4380574
2022-03-27,1534100
2022-03-28,5815003
2022-03-29,5908902
2022-03-30,5050516
2022-03-31,449400
2022-04-01,5524918
2022-04-02,5002009
2022-04-03,3197829
