"fecha","monto_total"
2022-01-01,353200
2022-01-02,1382420
2022-01-03,2005128
2022-01-04,2935860
2022-01-05,2739610
2022-01-06,2301211
2022-01-07,2367662
2022-01-08,1856098
2022-01-09,1032662
2022-01-10,3536700
2022-01-11,3237962
2022-01-12,1920446
2022-01-13,2592837
2022-01-14,2703359
2022-01-15,2107689
2022-01-16,1142362
2022-01-17,2330116
2022-01-18,2683594
2022-01-19,3120044
2022-01-20,3079292
2022-01-21,2368630
2022-01-22,1997374
2022-01-23,959000
2022-01-24,1928135
2022-01-25,2585426
2022-01-26,2705423
2022-01-27,2676200
2022-01-28,2577060
2022-01-29,2799107
2022-01-30,1054699
2022-02-01,2094690
2022-02-02,3307200
2022-02-03,2546267
2022-02-04,3200941
2022-02-05,2244010
2022-02-06,981324
2022-02-07,3718100
2022-02-08,3442632
2022-02-09,1865150
2022-02-10,2328162
2022-02-11,3862705
2022-02-12,3145104
2022-02-13,1121450
2022-02-14,3584474
2022-02-15,3202986
2022-02-16,3504672
2022-02-17,3822494
2022-02-18,3752197
2022-02-19,3157314
2022-02-20,1340100
2022-02-21,3682009
2022-02-22,2934962
2022-02-23,3572122
2022-02-24,3727208
2022-02-25,3605010
2022-02-26,3729199
2022-02-27,1086900
2022-02-28,50600
2022-03-01,2835952
2022-03-02,3183900
2022-03-03,3076995
2022-03-04,2768205
2022-03-05,2010856
2022-03-06,1217662
2022-03-07,2404661
2022-03-08,4059554
2022-03-09,4057266
2022-03-10,3365320
2022-03-11,2908579
2022-03-12,3220983
2022-03-13,582762
2022-03-14,2824107
2022-03-15,3574446
2022-03-16,2996915
2022-03-17,3218422
2022-03-18,3813520
2022-03-19,2910584
2022-03-20,907124
2022-03-21,3374829
2022-03-22,3565284
2022-03-23,2675705
2022-03-24,3443499
2022-03-25,4722314
2022-03-26,3551633
2022-03-27,1657068
2022-03-28,4404564
2022-03-29,4956506
2022-03-30,3364386
2022-03-31,199250
2022-04-01,4654232
2022-04-02,3306536
2022-04-03,1896400
2022-04-04,3668374
2022-04-05,3949369
2022-04-06,4529124
2022-04-07,4870374
2022-04-08,4820154
2022-04-09,3994958
2022-04-10,1895434
2022-04-11,4526190
2022-04-12,5414484
2022-04-13,3995243
2022-04-14,2300216
2022-04-15,268800
2022-04-16,1579800
2022-04-17,1232232
2022-04-18,4801634
2022-04-19,6104917
2022-04-20,4478896
2022-04-21,5235206
2022-04-22,5399061
2022-04-23,3425962
2022-04-24,2089685
2022-04-25,4982675
2022-04-26,5491985
2022-04-27,4668973
2022-04-28,5122187
2022-04-29,4787842
2022-04-30,436700
2022-05-01,882119
2022-05-02,1400879
2022-05-03,3889595
2022-05-04,4751256
2022-05-05,4688907
2022-05-06,4605398
2022-05-07,4213738
2022-05-08,2010336
2022-05-09,5473160
2022-05-10,4602217
2022-05-11,5532442
2022-05-12,5406872
2022-05-13,4600128
2022-05-14,3516698
2022-05-15,1387124
2022-05-16,4780632
2022-05-17,4838286
2022-05-18,5072345
2022-05-19,4930455
2022-05-20,4837146
2022-05-21,4654539
2022-05-22,1634500
2022-05-23,4902862
2022-05-24,6286508
2022-05-25,6673025
2022-05-26,5180525
2022-05-27,5615995
2022-05-28,4290195
2022-05-29,1301318
2022-05-30,5500677
2022-05-31,375322
2022-06-01,5027857
2022-06-02,5039908
2022-06-03,5925479
2022-06-04,3878259
2022-06-05,1747180
2022-06-06,4820264
2022-06-07,4985778
2022-06-08,5503263
2022-06-09,6009976
2022-06-10,6557243
2022-06-11,3587812
2022-06-12,1431812
2022-06-13,5642861
2022-06-14,6718053
2022-06-15,5673711
2022-06-16,5781432
2022-06-17,6012357
2022-06-18,4011234
2022-06-19,1665000
2022-06-20,4836689
2022-06-21,5856552
2022-06-22,5693324
2022-06-23,4683239
2022-06-24,6152551
2022-06-25,3833779
2022-06-26,1555016
2022-06-27,5589432
2022-06-28,6853546
2022-06-29,6277621
2022-06-30,660900
2022-07-01,4964348
2022-07-02,5223904
2022-07-03,2529766
2022-07-04,4901283
2022-07-05,7215775
2022-07-06,5355210
2022-07-07,5965036
2022-07-08,6754666
2022-07-09,3820860
2022-07-10,2335312
2022-07-11,6055481
2022-07-12,6254245
2022-07-13,5224704
2022-07-14,6769790
2022-07-15,5717366
2022-07-16,2889985
2022-07-17,2007499
2022-07-18,5523704
2022-07-19,5871377
2022-07-20,5977526
2022-07-21,5853612
2022-07-22,5712626
2022-07-23,4497756
2022-07-24,1697999
2022-07-25,7131944
2022-07-26,5824681
2022-07-27,6217017
2022-07-28,6434371
2022-07-29,6974076
2022-07-30,5757961
2022-07-31,130100
2022-08-01,6103577
2022-08-02,7652223
2022-08-03,7196606
2022-08-04,6653584
2022-08-05,6764880
2022-08-06,3586360
2022-08-07,1874509
2022-08-08,6104428
2022-08-09,5583276
2022-08-10,4648200
2022-08-11,4737075
2022-08-12,4882537
2022-08-13,3925066
2022-08-14,1399534
2022-08-15,2442944
2022-08-16,5343035
2022-08-17,7022501
2022-08-18,5581805
2022-08-19,6064435
2022-08-20,3402125
2022-08-21,1864010
2022-08-22,6021560
2022-08-23,6313214
2022-08-24,5546581
2022-08-25,5646972
2022-08-26,6030358
2022-08-27,4601801
2022-08-28,1963631
2022-08-29,5279020
2022-08-30,5917415
2022-08-31,69709
2022-09-01,6061728
2022-09-02,4836204
2022-09-03,3800804
2022-09-04,1501522
2022-09-05,6299887
2022-09-06,4670943
2022-09-07,6577248
2022-09-08,4807723
2022-09-09,8262993
2022-09-10,3422182
2022-09-11,1857580
2022-09-12,5502580
2022-09-13,5573382
2022-09-14,5644282
2022-09-15,6054861
2022-09-16,6577538
2022-09-17,3473969
2022-09-18,1368100
2022-09-19,6002867
2022-09-20,5872080
2022-09-21,5996426
2022-09-22,5539011
2022-09-23,6919092
2022-09-24,3979425
2022-09-25,1385850
2022-09-26,6490763
2022-09-27,6167032
2022-09-28,5815790
2022-09-29,5326260
2022-09-30,112700
2022-10-01,3327016
2022-10-02,1712569
2022-10-03,2290329
2022-10-04,7418849
2022-10-05,6692462
2022-10-06,2823503
2022-10-07,5280331
2022-10-08,3585612
2022-10-09,2015560
2022-10-10,5424314
2022-10-11,6436261
2022-10-12,6662866
2022-10-13,5731563
2022-10-14,5896528
2022-10-15,3454786
2022-10-16,1100380
2022-10-17,6988540
2022-10-18,6321336
2022-10-19,6233090
2022-10-20,5450459
2022-10-21,7678931
2022-10-22,3492213
2022-10-23,1753580
2022-10-24,5060742
2022-10-25,4584991
2022-10-26,5909816
2022-10-27,5213860
2022-10-28,7803204
2022-10-29,4092619
2022-10-30,1285699
2022-11-01,5562316
2022-11-02,5225512
2022-11-03,5982577
2022-11-04,6602780
2022-11-05,4104120
2022-11-06,1907950
2022-11-07,5862883
2022-11-08,4963395
2022-11-09,82000
2022-11-10,4552372
2022-11-11,5560581
2022-11-12,3775554
2022-11-13,1462410
2022-11-14,6538231
2022-11-15,7423369
2022-11-16,5608240
2022-11-17,5632378
2022-11-18,7527908
2022-11-19,3975471
2022-11-20,2416925
2022-11-21,4019463
2022-11-22,5730409
2022-11-23,4569412
2022-11-24,5853368
2022-11-25,4482956
2022-11-26,3846125
2022-11-27,1530273
2022-11-28,6005008
2022-11-29,4442817
2022-11-30,191850
2022-12-01,4287266
2022-12-02,6268909
2022-12-03,1846599
2022-12-04,1175475
2022-12-05,5662078
2022-12-06,5305582
2022-12-07,4371575
2022-12-08,1735700
2022-12-09,5220767
2022-12-10,3901198
2022-12-11,1582100
2022-12-12,7425997
2022-12-13,7164814
2022-12-14,6815972
2022-12-15,6673074
2022-12-16,8345753
2022-12-17,5369233
2022-12-18,1416707
2022-12-19,6251849
2022-12-20,6493037
2022-12-21,6644215
2022-12-22,7190905
2022-12-23,4848575
2022-12-24,3268775
2022-12-25,451855
2022-12-26,4486074
2022-12-27,5436850
2022-12-28,6307265
2022-12-29,5608198
2022-12-30,4983397
2023-01-01,221200
2023-01-02,4391912
2023-01-03,3604561
2023-01-04,2123082
2023-01-05,2582043
2023-01-06,2445617
2023-01-07,3373830
2023-01-08,1922676
2023-01-09,3454119
2023-01-10,3724699
2023-01-11,4136421
2023-01-12,3822568
2023-01-13,3028786
2023-01-14,4100959
2023-01-15,890150
2023-01-16,3367574
2023-01-17,4169320
2023-01-18,3506510
2023-01-19,2682061
2023-01-20,3099437
2023-01-21,3345961
2023-01-22,976400
2023-01-23,3731099
2023-01-24,3669388
2023-01-25,3727474
2023-01-26,3186571
2023-01-27,3526129
2023-01-28,3939148
2023-01-29,953847
2023-01-30,3734262
2023-02-01,3048378
2023-02-02,3938154
2023-02-03,3161062
2023-02-04,3063808
2023-02-05,1075445
2023-02-06,4099188
2023-02-07,4196030
2023-02-08,4220193
2023-02-09,3662820
2023-02-10,4488804
2023-02-11,2418527
2023-02-12,715308
2023-02-13,4792256
2023-02-14,4252683
2023-02-15,2895300
2023-02-16,4074323
2023-02-17,3968635
