"fecha","monto_total"
2022-01-01,9200
2022-01-02,142462
2022-01-03,701362
2022-01-04,750287
2022-01-05,972686
2022-01-06,1149734
2022-01-07,1123058
2022-01-08,561196
2022-01-09,141000
2022-01-10,960662
2022-01-11,890310
2022-01-12,938924
2022-01-13,1007610
2022-01-14,1124200
2022-01-15,847158
2022-01-16,277936
2022-01-17,737117
2022-01-18,788448
2022-01-19,1086724
2022-01-20,950962
2022-01-21,814534
2022-01-22,559882
2022-01-23,243700
2022-01-24,938062
2022-01-25,936600
2022-01-26,815010
2022-01-27,1212512
2022-01-28,753499
2022-01-29,552424
2022-01-30,318107
2022-01-31,2300
2022-02-01,954248
2022-02-02,1175598
2022-02-03,1183600
2022-02-04,938494
2022-02-05,690200
2022-02-06,431500
2022-02-07,1243656
2022-02-08,1482292
2022-02-09,1142410
2022-02-10,957560
2022-02-11,946594
2022-02-12,785341
2022-02-13,246184
2022-02-14,1509310
2022-02-15,1191451
2022-02-16,1145100
2022-02-17,1039086
2022-02-18,1279959
2022-02-19,764620
2022-02-20,263000
2022-02-21,1358858
2022-02-22,1279200
2022-02-23,1026600
2022-02-24,1212078
2022-02-25,1261972
2022-02-26,818800
2022-02-27,346298
2022-03-01,1010386
2022-03-02,1114692
2022-03-03,1000648
2022-03-04,1583100
2022-03-05,927900
2022-03-06,289062
2022-03-07,1042800
2022-03-08,1445846
2022-03-09,939106
2022-03-10,1092524
2022-03-11,1241410
2022-03-12,1087896
2022-03-13,167200
2022-03-14,1118210
2022-03-15,1354752
2022-03-16,1179736
2022-03-17,1233640
2022-03-18,1343151
2022-03-19,713800
2022-03-20,46000
2022-03-21,1305530
2022-03-22,1404810
2022-03-23,845645
2022-03-24,1212546
2022-03-25,1499264
2022-03-26,601043
2022-03-27,36800
2022-03-28,1596211
2022-03-29,1301403
2022-03-30,943885
2022-03-31,31886
2022-04-01,1256422
2022-04-02,1369483
2022-04-03,6900
2022-04-04,1333062
2022-04-05,1221275
2022-04-06,1562216
2022-04-07,1347922
2022-04-08,1671405
2022-04-09,940414
2022-04-10,13600
2022-04-11,1476761
2022-04-12,1492724
2022-04-13,496100
2022-04-18,821547
2022-04-19,1136200
2022-04-20,1186512
2022-04-21,1279602
2022-04-22,1492462
2022-04-23,665848
2022-04-24,2300
2022-04-25,1263162
2022-04-26,1204586
2022-04-27,1224758
2022-04-28,869400
2022-04-29,1253585
