"fecha","monto_total"
2022-01-01,13800
2022-01-02,83762
2022-01-03,2159592
2022-01-04,1444512
2022-01-05,1889610
2022-01-06,1524436
2022-01-07,2044062
2022-01-08,1037700
2022-01-09,500800
2022-01-10,1645311
2022-01-11,1428024
2022-01-12,1361100
2022-01-13,1597400
2022-01-14,1286030
2022-01-15,1256862
2022-01-16,310300
2022-01-17,1172686
2022-01-18,1199910
2022-01-19,1780900
2022-01-20,1430824
2022-01-21,1303848
2022-01-22,911100
2022-01-23,521000
2022-01-24,1356324
2022-01-25,1242248
2022-01-26,1881762
2022-01-27,1789699
2022-01-28,1417886
2022-01-29,840550
2022-01-30,383000
2022-01-31,3400
2022-02-01,1643286
2022-02-02,1846001
2022-02-03,1989732
2022-02-04,1725423
2022-02-05,1351425
2022-02-06,473100
2022-02-07,1995510
2022-02-08,2443446
2022-02-09,1900424
2022-02-10,1748286
2022-02-11,1992664
2022-02-12,1301510
2022-02-13,455662
2022-02-14,2447641
2022-02-15,1768634
2022-02-16,1821960
2022-02-17,1929924
2022-02-18,1915890
2022-02-19,1616273
2022-02-20,514998
2022-02-21,2017103
2022-02-22,2073009
2022-02-23,1621810
2022-02-24,1430849
2022-02-25,1652326
2022-02-26,1326500
2022-02-27,477024
2022-03-01,1411950
2022-03-02,1777462
2022-03-03,1613762
2022-03-04,1539674
2022-03-05,1550146
2022-03-06,449700
2022-03-07,1886700
2022-03-08,2138405
2022-03-09,1639524
2022-03-10,1602112
2022-03-11,2144581
2022-03-12,1365960
2022-03-13,543800
2022-03-14,1927562
2022-03-15,2327671
2022-03-16,2318310
2022-03-17,1886507
2022-03-18,2117835
2022-03-19,937386
2022-03-20,433750
2022-03-21,2167640
2022-03-22,2306284
2022-03-23,1445099
2022-03-24,1572905
2022-03-25,1877200
2022-03-26,1257762
2022-03-27,1025652
2022-03-28,2383660
2022-03-29,1821136
2022-03-30,2049659
2022-03-31,32200
2022-04-01,2384698
2022-04-02,1499710
2022-04-03,418600
2022-04-04,1879472
2022-04-05,1486998
2022-04-06,2056535
2022-04-07,2038124
2022-04-08,1966006
2022-04-09,1359500
2022-04-10,387224
2022-04-11,1782647
2022-04-12,1977524
2022-04-13,1011110
2022-04-14,73600
2022-04-15,32200
2022-04-16,564672
2022-04-17,158900
2022-04-18,1198984
2022-04-19,1505300
2022-04-20,1671734
2022-04-21,317500
2022-04-22,589762
2022-04-23,300962
2022-04-24,27300
2022-04-25,1019324
2022-04-26,848700
2022-04-27,488686
2022-04-28,381300
2022-04-29,976361
2022-04-30,11500
2022-05-01,232200
2022-05-04,16100
2022-05-05,204100
2022-05-06,200000
2022-05-10,227037
2022-05-12,110400
2022-05-15,233400
2022-05-16,294700
2022-05-17,218400
2022-05-18,15600
2022-05-19,188500
2022-05-20,103300
2022-05-21,174100
2022-05-22,101600
2022-05-23,270600
2022-05-24,99100
2022-05-25,198700
2022-05-26,323500
2022-06-01,276500
2022-06-02,125800
2022-06-10,16100
2022-06-11,2300
2022-06-12,189100
2022-06-17,134800
2022-06-29,254500
2022-07-05,220200
2022-07-06,63600
2022-07-10,2300
2022-07-12,240100
2022-07-14,233762
2022-07-16,101000
2022-07-19,193200
2022-07-23,157800
2022-07-26,257200
2022-07-30,110000
2022-08-05,2300
2022-08-06,47700
2022-08-19,193200
2022-08-24,36800
2022-08-29,20700
2022-08-30,77900
2022-09-01,11500
2022-09-04,111600
2022-09-09,3400
2022-09-24,131100
2022-09-29,98666
2022-10-01,227300
2022-10-09,27447
2022-10-16,179700
2022-10-17,140486
2022-10-18,94700
2022-10-19,85500
2022-10-20,442000
2022-10-22,343829
2022-10-24,54400
2022-10-28,99786
2022-11-18,108050
2022-11-24,71150
2023-01-16,50200
2023-01-20,4600
2023-01-21,9200
2023-02-02,25300
2023-02-04,168800
2023-02-24,60900
2023-02-25,2300
