"fecha","monto_total"
2022-01-01,62900
2022-01-02,73100
2022-01-03,2784424
2022-01-04,3227743
2022-01-05,3263262
2022-01-06,2835884
2022-01-07,2891918
2022-01-08,1923852
2022-01-09,321400
2022-01-10,2877860
2022-01-11,2234360
2022-01-12,3169150
2022-01-13,2703122
2022-01-14,2588943
2022-01-15,2039357
2022-01-16,171600
2022-01-17,3786398
2022-01-18,3325512
2022-01-19,3114615
2022-01-20,2869249
2022-01-21,2716181
2022-01-22,1514241
2022-01-23,496500
2022-01-24,2457845
2022-01-25,2687619
2022-01-26,2704368
2022-01-27,2485125
2022-01-28,2490230
2022-01-29,1241273
2022-01-30,488424
2022-02-01,3351320
2022-02-02,2997084
2022-02-03,3591408
2022-02-04,3489012
2022-02-05,1407700
2022-02-06,856243
2022-02-07,3781116
2022-02-08,3785994
2022-02-09,3479341
2022-02-10,3381108
2022-02-11,3709420
2022-02-12,1823248
2022-02-13,394600
2022-02-14,3225541
2022-02-15,3359827
2022-02-16,3696410
2022-02-17,3329028
2022-02-18,3424013
2022-02-19,2075743
2022-02-20,695100
2022-02-21,3250572
2022-02-22,4290522
2022-02-23,3928487
2022-02-24,3917081
2022-02-25,3595171
2022-02-26,2349823
2022-02-27,623245
2022-03-01,2981424
2022-03-02,3410417
2022-03-03,2804685
2022-03-04,5451099
2022-03-05,1880897
2022-03-06,660135
2022-03-07,4330563
2022-03-08,3921111
2022-03-09,3905213
2022-03-10,4119858
2022-03-11,3395521
2022-03-12,2539040
2022-03-13,223612
2022-03-14,3028022
2022-03-15,3836676
2022-03-16,3430937
2022-03-17,3161747
2022-03-18,3540068
2022-03-19,1775311
2022-03-21,3458231
2022-03-22,4370886
2022-03-23,2549707
2022-03-24,3179611
2022-03-25,3144494
2022-03-26,1991810
2022-03-27,79800
2022-03-28,4248777
2022-03-29,3349505
2022-03-30,3620926
2022-03-31,44700
2022-04-01,3659542
2022-04-02,1765707
2022-04-04,3047358
2022-04-05,3240796
2022-04-06,3967175
2022-04-07,4005345
2022-04-08,4453603
2022-04-09,2325020
2022-04-11,2846182
2022-04-12,4479861
2022-04-13,1704340
2022-04-18,4268219
2022-04-19,4658978
2022-04-20,3466688
2022-04-21,3455030
2022-04-22,3751374
2022-04-23,2500408
2022-04-25,4671994
2022-04-26,4643529
2022-04-27,4147350
2022-04-28,4043353
2022-04-29,4446988
2022-05-02,4600
2022-05-03,4132349
2022-05-04,3791955
2022-05-05,3727656
2022-05-06,3531193
2022-05-07,2212065
2022-05-09,3418264
2022-05-10,3360159
2022-05-11,3701452
2022-05-12,3708634
2022-05-13,4026609
2022-05-14,28100
2022-05-16,3751058
2022-05-17,3314248
2022-05-18,3905940
2022-05-19,3737396
2022-05-20,3723313
2022-05-21,2649110
2022-05-23,2992038
2022-05-24,3529862
2022-05-25,3742451
2022-05-26,2917258
2022-05-27,2634248
2022-05-28,2281860
2022-05-30,3602849
2022-05-31,13600
2022-06-01,3289400
2022-06-02,3239518
2022-06-03,2907672
2022-06-04,1745324
2022-06-06,3390607
2022-06-07,3154771
2022-06-08,2938221
2022-06-09,3058048
2022-06-10,3012807
2022-06-11,1414081
2022-06-13,3337758
2022-06-14,3312003
2022-06-15,2902636
2022-06-16,2873856
2022-06-17,2840744
2022-06-18,2380089
2022-06-19,108800
2022-06-20,2714058
2022-06-21,2758850
2022-06-22,3185820
2022-06-23,2716344
2022-06-24,2387375
2022-06-25,2017604
2022-06-26,2300
2022-06-27,3047135
