"fecha","monto_total"
2022-01-01,20700
2022-01-02,34500
2022-01-03,2535060
2022-01-04,2827962
2022-01-05,2552324
2022-01-06,2689595
2022-01-07,2162762
2022-01-08,1499300
2022-01-09,320300
2022-01-10,2847222
2022-01-11,2928384
2022-01-12,2610782
2022-01-13,2282551
2022-01-14,2668271
2022-01-15,1393389
2022-01-16,98200
2022-01-17,3731375
2022-01-18,2561045
2022-01-19,2829501
2022-01-20,2145797
2022-01-21,1910737
2022-01-22,958100
2022-01-23,205800
2022-01-24,1709199
2022-01-25,2039847
2022-01-26,1946432
2022-01-27,2111860
2022-01-28,2159121
2022-01-29,920698
2022-01-30,208900
2022-01-31,3400
2022-02-01,2576628
2022-02-02,3219150
2022-02-03,2701894
2022-02-04,3291532
2022-02-05,1103061
2022-02-06,221800
2022-02-07,3619065
2022-02-08,3173500
2022-02-09,3547764
2022-02-10,3570650
2022-02-11,2362502
2022-02-12,1523400
2022-02-13,367700
2022-02-14,3375281
2022-02-15,3867324
2022-02-16,3069931
2022-02-17,3291132
2022-02-18,3266200
2022-02-19,1249398
2022-02-20,172224
2022-02-21,3066287
2022-02-22,3769716
2022-02-23,3107174
2022-02-24,4688662
2022-02-25,4347656
2022-02-26,1555114
2022-02-27,311168
2022-03-01,2788236
2022-03-02,2982624
2022-03-03,2471899
2022-03-04,3637978
2022-03-05,1515583
2022-03-06,243000
2022-03-07,3557583
2022-03-08,4001535
2022-03-09,4104076
2022-03-10,3414404
2022-03-11,3457209
2022-03-12,1847608
2022-03-13,159200
2022-03-14,3987402
2022-03-15,3695842
2022-03-16,3646808
2022-03-17,3065949
2022-03-18,3904204
2022-03-19,1464162
2022-03-21,3308832
2022-03-22,3589476
2022-03-23,2661719
2022-03-24,3464345
2022-03-25,2648124
2022-03-26,1532304
2022-03-28,3553846
2022-03-29,2941938
2022-03-30,2728798
2022-03-31,10800
2022-04-01,3993944
2022-04-02,1658250
2022-04-04,3056609
2022-04-05,2792462
2022-04-06,3111132
2022-04-07,3150455
2022-04-08,3319103
2022-04-09,1836100
2022-04-11,3195742
2022-04-12,4097445
2022-04-13,1837100
2022-04-18,4035228
2022-04-19,3924824
2022-04-20,3455731
2022-04-21,2650759
2022-04-22,3548046
2022-04-23,1122589
2022-04-24,3400
2022-04-25,3684730
2022-04-26,3982911
2022-04-27,2893414
2022-04-28,3571009
2022-04-29,3413585
2022-04-30,23800
2022-05-03,3448003
2022-05-04,4828407
2022-05-05,3638959
2022-05-06,4290178
2022-05-07,2043478
2022-05-09,3246941
2022-05-10,3446955
2022-05-11,3502473
2022-05-12,3183145
2022-05-13,3554183
2022-05-14,3400
2022-05-16,3438678
2022-05-17,3413332
2022-05-18,3335600
2022-05-19,2934538
2022-05-20,4094720
2022-05-21,1885395
2022-05-23,3548707
2022-05-24,3352074
2022-05-25,3220617
2022-05-26,3412239
2022-05-27,2987454
2022-05-28,1434774
2022-05-30,2935946
2022-05-31,3400
2022-06-01,2964576
2022-06-02,3151818
2022-06-03,3130764
2022-06-04,2173648
2022-06-06,3023333
2022-06-07,2354862
2022-06-08,2967964
2022-06-09,2884764
2022-06-10,3004616
2022-06-11,1940766
2022-06-13,2914984
2022-06-14,3390051
2022-06-15,2948512
2022-06-16,2830160
2022-06-17,2444813
2022-06-18,1970712
2022-06-20,3321723
2022-06-21,2994839
2022-06-22,3360001
2022-06-23,2639330
2022-06-24,2818081
2022-06-25,2167636
2022-06-27,3701434
2022-06-28,2701700
2022-06-29,2498758
2022-07-01,3194031
2022-07-02,2058322
2022-07-04,3478448
2022-07-05,3957658
2022-07-06,3643786
2022-07-07,3509224
2022-07-08,3365651
2022-07-09,2121236
2022-07-11,2508773
2022-07-12,2448618
2022-07-13,2482498
2022-07-14,2256732
2022-07-15,3032055
2022-07-16,1747562
2022-07-18,3220954
2022-07-19,3706833
2022-07-20,2918280
2022-07-21,3400078
2022-07-22,2765555
2022-07-23,1769272
2022-07-25,2799738
2022-07-26,2561322
2022-07-27,3114885
2022-07-28,2691263
2022-07-29,2455697
2022-07-30,2041186
2022-08-01,3243237
2022-08-02,3313684
2022-08-03,3002727
2022-08-04,2712065
2022-08-05,2579270
2022-08-06,1890489
2022-08-08,3374909
2022-08-09,3148748
2022-08-10,2637400
2022-08-11,3177822
2022-08-12,2752154
2022-08-13,2063025
2022-08-16,2906512
2022-08-17,3995651
2022-08-18,2531389
2022-08-19,2482712
2022-08-20,2250415
