"fecha","monto_total"
2022-01-02,2342800
2022-01-03,14507796
2022-01-04,18410871
2022-01-05,18186640
2022-01-06,14682862
2022-01-07,14517409
2022-01-08,12845028
2022-01-09,9083104
2022-01-10,14137621
2022-01-11,14489901
2022-01-12,13341465
2022-01-13,14688163
2022-01-14,16215119
2022-01-15,13704640
2022-01-16,8477699
2022-01-17,14054514
2022-01-18,14042785
2022-01-19,12663653
2022-01-20,12003949
2022-01-21,12679248
2022-01-22,7510148
2022-01-23,5428301
2022-01-24,14037630
2022-01-25,14462326
2022-01-26,14858695
2022-01-27,12354619
2022-01-28,12837730
2022-01-29,12681833
2022-01-30,6950291
2022-01-31,61200
2022-02-01,14210563
2022-02-02,17925949
2022-02-03,17080982
2022-02-04,14984674
2022-02-05,12573575
2022-02-06,6564750
2022-02-07,16899810
2022-02-08,17164114
2022-02-09,13705815
2022-02-10,16408024
2022-02-11,18189475
2022-02-12,15150705
2022-02-13,6814106
2022-02-14,13937987
2022-02-15,13311535
2022-02-16,16309009
2022-02-17,14643131
2022-02-18,13774281
2022-02-19,13377301
2022-02-20,5767787
2022-02-21,13003191
2022-02-22,16147111
2022-02-23,14873654
2022-02-24,14904193
2022-02-25,15561602
2022-02-26,12550137
2022-02-27,5592524
2022-02-28,67400
2022-03-01,10880407
2022-03-02,14158094
2022-03-03,15234019
2022-03-04,16719557
2022-03-05,11544535
2022-03-06,4487773
2022-03-07,12964970
2022-03-08,16900028
2022-03-09,18550047
2022-03-10,19564920
2022-03-11,13050509
2022-03-12,13448321
2022-03-13,9401977
2022-03-14,14659426
2022-03-15,14716334
2022-03-16,12616310
2022-03-17,12403007
2022-03-18,16595898
2022-03-19,15297095
2022-03-20,4367515
2022-03-21,14317407
2022-03-22,11580933
2022-03-23,7796322
2022-03-24,10281157
2022-03-25,13465541
2022-03-26,14675905
2022-03-27,8352920
2022-03-28,15457304
2022-03-29,16600180
2022-03-30,13095717
2022-03-31,364362
2022-04-01,13308566
2022-04-02,14004076
2022-04-03,9259478
2022-04-04,13475019
2022-04-05,12507013
2022-04-06,17154271
2022-04-07,20075931
2022-04-08,19378153
2022-04-09,15234899
2022-04-10,8368887
2022-04-11,14805084
2022-04-12,16798985
2022-04-13,13225907
2022-04-14,6941434
2022-04-15,1963100
2022-04-16,6849921
2022-04-17,8016162
2022-04-18,14930602
2022-04-19,15982820
2022-04-20,17431854
2022-04-21,16698592
2022-04-22,16291382
2022-04-23,14889938
2022-04-24,8061930
2022-04-25,15767512
2022-04-26,16881059
2022-04-27,16771496
2022-04-28,18720459
2022-04-29,15781511
2022-04-30,815358
2022-05-01,7946014
2022-05-02,7684974
2022-05-03,13679155
2022-05-04,17320092
2022-05-05,15851553
2022-05-06,17049622
2022-05-07,18345697
2022-05-08,8178844
2022-05-09,16087117
2022-05-10,17012800
2022-05-11,18588985
2022-05-12,14652753
2022-05-13,15507741
2022-05-14,11420347
2022-05-15,10007468
2022-05-16,16825225
2022-05-17,15976263
2022-05-18,16633802
2022-05-19,17860803
2022-05-20,12978716
2022-05-21,14835338
2022-05-22,7022250
2022-05-23,13402816
2022-05-24,13899317
2022-05-25,15019792
2022-05-26,13203394
2022-05-27,11918782
2022-05-28,12171915
2022-05-29,5597789
2022-05-30,14433255
2022-05-31,807289
2022-06-01,15590786
2022-06-02,19051481
2022-06-03,15921021
2022-06-04,14796067
2022-06-05,6905108
2022-06-06,13031396
2022-06-07,13594537
2022-06-08,16300001
2022-06-09,17188201
2022-06-10,17479124
2022-06-11,13236494
