"fecha","monto_total"
2022-01-01,996100
2022-01-02,2463574
2022-01-03,12111051
2022-01-04,13911152
2022-01-05,13088195
2022-01-06,11674432
2022-01-07,12699747
2022-01-08,10046505
2022-01-09,1916020
2022-01-10,13732438
2022-01-11,13920292
2022-01-12,13579545
2022-01-13,12974952
2022-01-14,12432265
2022-01-15,11675974
2022-01-16,2903062
2022-01-17,14869193
2022-01-18,14700238
2022-01-19,14065936
2022-01-20,13169030
2022-01-21,13220127
2022-01-22,10145591
2022-01-23,1968000
2022-01-24,15402312
2022-01-25,14755360
2022-01-26,14247981
2022-01-27,11980963
2022-01-28,12671703
2022-01-29,11811318
2022-01-30,2261712
2022-02-01,15043146
2022-02-02,15064911
2022-02-03,14801523
2022-02-04,15384067
2022-02-05,11057915
2022-02-06,1971218
2022-02-07,14907676
2022-02-08,15511518
2022-02-09,16900134
2022-02-10,13623049
2022-02-11,14753629
2022-02-12,11075808
2022-02-13,2662784
2022-02-14,16470982
2022-02-15,14208328
2022-02-16,14871847
2022-02-17,14469345
2022-02-18,15934289
2022-02-19,14113389
2022-02-20,2630096
2022-02-21,16467638
2022-02-22,16248850
2022-02-23,15815245
2022-02-24,16065261
2022-02-25,15946721
2022-02-26,12570766
2022-02-27,2137258
2022-03-01,15234619
2022-03-02,16323628
2022-03-03,15579538
2022-03-04,17104511
2022-03-05,14199049
2022-03-06,2262251
2022-03-07,18788222
2022-03-08,17696856
2022-03-09,16614341
2022-03-10,17189482
2022-03-11,13501224
2022-03-12,13021658
2022-03-13,3152462
2022-03-14,16319361
2022-03-15,15545469
2022-03-16,17059410
2022-03-17,17752564
2022-03-18,17759752
2022-03-19,11934190
2022-03-20,3014944
2022-03-21,17605682
2022-03-22,16432890
2022-03-23,11124375
2022-03-24,15597725
2022-03-25,13969979
2022-03-26,13273801
2022-03-27,2842168
2022-03-28,17162230
2022-03-29,15948812
2022-03-30,12763932
2022-03-31,238700
2022-04-01,13487864
2022-04-02,13363954
2022-04-03,2193591
2022-04-04,13569918
2022-04-05,14729689
2022-04-06,15800327
2022-04-07,15503340
2022-04-08,17329479
2022-04-09,15273555
2022-04-10,2942100
2022-04-11,15147883
2022-04-12,13948479
2022-04-13,12758070
2022-04-14,3772349
2022-04-15,561900
2022-04-16,7517168
2022-04-17,2212368
2022-04-18,16366405
2022-04-19,19542975
2022-04-20,18000289
2022-04-21,16652481
2022-04-22,15296671
2022-04-23,11745926
2022-04-24,2489906
2022-04-25,16420851
2022-04-26,16380264
2022-04-27,16163010
2022-04-28,16159495
2022-04-29,15357668
2022-04-30,478787
2022-05-01,2337586
2022-05-02,1687099
2022-05-03,17040367
2022-05-04,17399214
2022-05-05,16048738
2022-05-06,16320544
2022-05-07,13336804
2022-05-08,2641843
2022-05-09,17267020
2022-05-10,17381407
2022-05-11,16754403
2022-05-12,18569435
2022-05-13,17438971
2022-05-14,6477695
2022-05-15,2784869
2022-05-16,16541590
2022-05-17,18396680
2022-05-18,17785162
2022-05-19,18725870
2022-05-20,17657280
2022-05-21,12405824
2022-05-22,2704762
2022-05-23,17510268
2022-05-24,17835881
2022-05-25,18492077
2022-05-26,15754047
2022-05-27,16770784
2022-05-28,13612141
2022-05-29,2076925
2022-05-30,17656949
2022-05-31,276300
2022-06-01,19080920
2022-06-02,16006884
2022-06-03,15798934
2022-06-04,12942919
2022-06-05,2237462
2022-06-06,17222270
2022-06-07,15401137
2022-06-08,17626257
2022-06-09,17469884
2022-06-10,16512240
2022-06-11,12895349
2022-06-12,2515761
2022-06-13,18924681
2022-06-14,17746982
2022-06-15,18343058
2022-06-16,16830771
2022-06-17,17219590
2022-06-18,14632776
2022-06-19,2833577
2022-06-20,17468937
2022-06-21,17232517
2022-06-22,15823723
