"fecha","monto_total"
2022-01-01,339700
2022-01-02,1184300
2022-01-03,2544178
2022-01-04,2870000
2022-01-05,2797958
2022-01-06,2049886
2022-01-07,2162057
2022-01-08,2782201
2022-01-09,1244700
2022-01-10,2863100
2022-01-11,2292600
2022-01-12,2942700
2022-01-13,2420755
2022-01-14,3453081
2022-01-15,1601684
2022-01-16,277700
2022-01-17,2114899
2022-01-18,1703250
2022-01-19,2195300
2022-01-20,1219709
2022-01-21,2300898
2022-01-22,1795850
2022-01-23,853378
2022-01-24,2325000
2022-01-25,1913340
2022-01-26,1663974
2022-01-27,1640676
2022-01-28,1962501
2022-01-29,1638620
2022-01-30,1513100
2022-01-31,2300
2022-02-01,2060001
2022-02-02,2094800
2022-02-03,2342150
2022-02-04,2042200
2022-02-05,2295102
2022-02-06,1278362
2022-02-07,3233253
2022-02-08,2581387
2022-02-09,3031550
2022-02-10,3942631
2022-02-11,1615400
2022-02-12,2165600
2022-02-13,791300
2022-02-14,2241300
2022-02-15,2274899
2022-02-16,3317998
2022-02-17,2909755
2022-02-18,3544762
2022-02-19,3119863
2022-02-20,2174012
2022-02-21,4271695
2022-02-22,4017029
2022-02-23,2636100
2022-02-24,3992360
2022-02-25,2914499
2022-02-26,1560000
2022-02-27,675800
2022-03-01,2074299
2022-03-02,1276988
2022-03-03,1664762
2022-03-04,1590251
2022-03-05,2168500
2022-03-06,529400
2022-03-07,2418162
2022-03-08,1506888
2022-03-09,1480362
2022-03-10,1209900
2022-03-11,1289750
2022-03-12,1444350
2022-03-13,1825400
2022-03-14,1310500
2022-03-15,1318762
2022-03-16,1260860
2022-03-17,1357488
2022-03-18,1275762
2022-03-19,1804324
2022-03-20,249700
2022-03-21,863299
2022-03-22,1876399
2022-03-23,1141500
2022-03-24,1427000
2022-03-25,892900
2022-03-26,1340900
2022-03-27,766000
2022-03-28,1921701
2022-03-29,833800
2022-03-30,706800
2022-03-31,22862
2022-04-01,1544959
2022-04-02,1253000
2022-04-03,531700
2022-04-04,1420288
2022-04-05,1726500
2022-04-06,1485162
2022-04-07,1714510
2022-04-08,1147000
2022-04-09,1890560
2022-04-10,973710
2022-04-11,1022859
2022-04-12,1277310
2022-04-13,1431264
2022-04-14,876742
2022-04-15,39400
