"fecha","monto_total"
2022-01-01,1076200
2022-01-02,3462934
2022-01-03,6981996
2022-01-04,6982353
2022-01-05,9938960
2022-01-06,8242024
2022-01-07,6670245
2022-01-08,6075394
2022-01-09,2617500
2022-01-10,8270956
2022-01-11,8304560
2022-01-12,9321829
2022-01-13,8882748
2022-01-14,9101830
2022-01-15,7130324
2022-01-16,3281100
2022-01-17,7083502
2022-01-18,9938041
2022-01-19,9044180
2022-01-20,6607679
2022-01-21,8088419
2022-01-22,5331972
2022-01-23,3768936
2022-01-24,6430048
2022-01-25,8839665
2022-01-26,7349038
2022-01-27,6266771
2022-01-28,7613720
2022-01-29,6400956
2022-01-30,4452806
2022-01-31,347600
2022-02-01,8442431
2022-02-02,9394608
2022-02-03,9817632
2022-02-04,9152026
2022-02-05,7449611
2022-02-06,4087008
2022-02-07,9905246
2022-02-08,7945344
2022-02-09,7171352
2022-02-10,7057281
2022-02-11,6797287
2022-02-12,7200501
2022-02-13,4663474
2022-02-14,7694119
2022-02-15,7221795
2022-02-16,7955074
2022-02-17,8402524
2022-02-18,7475106
2022-02-19,4756193
2022-02-20,2570264
2022-02-21,7325415
2022-02-22,8620172
2022-02-23,7933621
2022-02-24,10659852
2022-02-25,8295537
2022-02-26,8162658
2022-02-27,3784173
2022-02-28,9200
2022-03-01,6563880
2022-03-02,7664666
2022-03-03,7792598
2022-03-04,9294935
2022-03-05,8627052
2022-03-06,3697849
2022-03-07,9051659
2022-03-08,9713359
2022-03-09,10301822
2022-03-10,9175863
2022-03-11,8153520
2022-03-12,7891823
2022-03-13,4439599
2022-03-14,11295076
2022-03-15,9901462
2022-03-16,7082155
2022-03-17,8540653
2022-03-18,9501741
2022-03-19,9149667
2022-03-20,4789136
2022-03-21,11887898
2022-03-22,9253081
2022-03-23,7075855
2022-03-24,9684459
2022-03-25,10315631
2022-03-26,8610194
2022-03-27,4508509
2022-03-28,10281188
2022-03-29,9220752
2022-03-30,7840032
2022-03-31,330100
2022-04-01,10279913
2022-04-02,10202785
2022-04-03,5143746
2022-04-04,9812644
2022-04-05,9339704
2022-04-06,8941393
2022-04-07,10259324
2022-04-08,10594571
2022-04-09,10476023
2022-04-10,5573900
2022-04-11,9699349
2022-04-12,11438882
2022-04-13,8920131
2022-04-14,4050453
2022-04-15,668500
2022-04-16,6154864
2022-04-17,5641404
2022-04-18,11877967
2022-04-19,11239224
2022-04-20,13081897
2022-04-21,10249078
2022-04-22,9655502
2022-04-23,9300285
2022-04-24,5113774
2022-04-25,12528662
2022-04-26,14410980
2022-04-27,13106995
2022-04-28,11556769
2022-04-29,9116296
2022-04-30,405700
2022-05-01,3122136
2022-05-02,3563000
2022-05-03,10320249
2022-05-04,14631408
2022-05-05,14308894
2022-05-06,12717212
2022-05-07,12915422
2022-05-08,4559203
2022-05-09,10010744
2022-05-10,11600283
2022-05-11,13354692
2022-05-12,13655130
2022-05-13,11643619
2022-05-14,8406996
2022-05-15,8167502
2022-05-16,12954343
2022-05-17,12215043
2022-05-18,13025152
2022-05-19,12056876
2022-05-20,12258017
2022-05-21,10904883
2022-05-22,5856433
2022-05-23,10723884
2022-05-24,14371927
2022-05-25,18510056
2022-05-26,14431426
2022-05-27,12956036
2022-05-28,13028155
2022-05-29,5181786
2022-05-30,11628488
2022-05-31,570824
2022-06-01,8403194
2022-06-02,9661988
2022-06-03,9474564
2022-06-04,10332210
2022-06-05,5057512
2022-06-06,9349230
2022-06-07,10716600
2022-06-08,12091034
2022-06-09,9353668
2022-06-10,10236399
2022-06-11,6346474
2022-06-12,3010336
2022-06-13,11456612
2022-06-14,10690552
2022-06-15,12636145
2022-06-16,12364492
2022-06-17,13192916
2022-06-18,11546366
2022-06-19,6118420
2022-06-20,11955852
2022-06-21,11902452
2022-06-22,11122980
2022-06-23,11014997
2022-06-24,11470141
2022-06-25,8653331
2022-06-26,3710859
2022-06-27,11077306
2022-06-28,10426977
2022-06-29,10874097
2022-06-30,437500
2022-07-01,10256430
2022-07-02,10236918
2022-07-03,5075422
2022-07-04,10726972
2022-07-05,8884494
2022-07-06,11486832
2022-07-07,9794891
2022-07-08,9662079
2022-07-09,7960270
2022-07-10,5627249
2022-07-11,11838969
2022-07-12,11018794
2022-07-13,10847755
2022-07-14,10424612
2022-07-15,9223149
2022-07-16,6332114
2022-07-17,3391023
2022-07-18,10120021
2022-07-19,8123191
2022-07-20,10825746
2022-07-21,9523582
2022-07-22,10415877
2022-07-23,8734426
2022-07-24,4706757
2022-07-25,11560116
2022-07-26,9836686
2022-07-27,9867589
2022-07-28,10764361
2022-07-29,8951182
2022-07-30,8375082
2022-07-31,581359
2022-08-01,8281207
2022-08-02,10440167
2022-08-03,10590737
2022-08-04,9991912
2022-08-05,10674804
2022-08-06,7629197
2022-08-07,5445970
2022-08-08,10852448
2022-08-09,9221784
2022-08-10,10423217
2022-08-11,10846955
2022-08-12,11355540
2022-08-13,8204120
2022-08-14,4973512
2022-08-15,5621105
2022-08-16,11033546
2022-08-17,8788039
2022-08-18,9948162
2022-08-19,10568960
2022-08-20,9569896
2022-08-21,4236215
2022-08-22,9683919
2022-08-23,10832988
2022-08-24,8754810
2022-08-25,8382383
2022-08-26,8926097
2022-08-27,9321342
2022-08-28,4355517
2022-08-29,10837978
2022-08-30,10102809
2022-08-31,718309
2022-09-01,10449450
2022-09-02,9489594
2022-09-03,9985868
