"fecha","monto_total"
2022-01-01,10200
2022-01-02,102000
2022-01-03,538769
2022-01-04,589724
2022-01-05,740813
2022-01-06,813843
2022-01-07,911814
2022-01-08,630100
2022-01-09,43100
2022-01-10,789636
2022-01-11,906370
2022-01-12,889317
2022-01-13,860454
2022-01-14,1011890
2022-01-15,693500
2022-01-16,105700
2022-01-17,960400
2022-01-18,928650
2022-01-19,1050936
2022-01-20,867624
2022-01-21,842300
2022-01-22,492400
2022-01-23,141479
2022-01-24,774840
2022-01-25,809094
2022-01-26,839111
2022-01-27,876840
2022-01-28,844514
2022-01-29,834257
2022-01-30,695747
2022-02-01,940572
2022-02-02,986736
2022-02-03,959965
2022-02-04,781603
2022-02-05,932897
2022-02-06,94899
2022-02-07,1099994
2022-02-08,1771462
2022-02-09,1140100
2022-02-10,1296411
2022-02-11,1162900
2022-02-12,883529
2022-02-13,149424
2022-02-14,1019000
2022-02-15,1119883
2022-02-16,1090562
2022-02-17,1085100
2022-02-18,1195812
2022-02-19,945661
2022-02-20,1183824
2022-02-21,1009479
2022-02-22,1335726
2022-02-23,1845001
2022-02-24,1139000
2022-02-25,1383971
2022-02-26,1614307
2022-02-27,247362
2022-03-01,1263693
2022-03-02,1614945
2022-03-03,1304524
2022-03-04,1568497
2022-03-05,805900
2022-03-06,186600
2022-03-07,1100631
2022-03-08,1528273
2022-03-09,1023622
2022-03-10,1273586
2022-03-11,1108071
2022-03-12,848857
2022-03-13,226974
2022-03-14,1467400
2022-03-15,1524059
2022-03-16,1526794
2022-03-17,1223787
2022-03-18,1287582
2022-03-19,945707
2022-03-20,247800
2022-03-21,1167851
2022-03-22,953762
2022-03-23,547154
2022-03-24,1114872
2022-03-25,807336
2022-03-26,693638
2022-03-27,208580
2022-03-28,1467605
2022-03-29,1537818
2022-03-30,928200
2022-03-31,82200
2022-04-01,1510984
2022-04-02,745820
2022-04-03,225462
2022-04-04,1254638
2022-04-05,1197024
2022-04-06,1189549
2022-04-07,1311964
2022-04-08,1126799
2022-04-09,1046183
2022-04-10,266047
2022-04-11,853143
2022-04-12,1306462
2022-04-13,841361
2022-04-14,250000
2022-04-16,276300
2022-04-17,228336
2022-04-18,907200
2022-04-19,1241639
2022-04-20,1344592
2022-04-21,1220696
2022-04-22,1038921
2022-04-23,631801
2022-04-24,237700
2022-04-25,2156304
2022-04-26,1383668
2022-04-27,1860496
2022-04-28,1403762
2022-04-29,1275062
2022-04-30,134841
2022-05-01,438400
2022-05-02,417000
2022-05-03,1281996
2022-05-04,1447958
2022-05-05,1064994
2022-05-06,1076353
2022-05-07,843672
2022-05-08,300124
2022-05-09,1874335
2022-05-10,1344336
2022-05-11,1205986
2022-05-12,1175647
2022-05-13,1490424
2022-05-14,367747
2022-05-15,476270
2022-05-16,1069588
2022-05-17,1393686
2022-05-18,1271363
2022-05-19,1595265
2022-05-20,1277624
2022-05-21,800400
2022-05-22,280200
2022-05-23,1219660
2022-05-24,1886456
2022-05-25,1392014
2022-05-26,1286596
2022-05-27,1385730
2022-05-28,819900
2022-05-29,288800
2022-05-30,1130809
2022-05-31,79600
2022-06-01,1119431
2022-06-02,1098600
2022-06-03,1138689
2022-06-04,836200
2022-06-05,332265
2022-06-06,1291883
2022-06-07,1475670
2022-06-08,1339224
2022-06-09,1160274
2022-06-10,1544139
2022-06-11,883734
2022-06-12,297013
2022-06-13,1185924
2022-06-14,1161062
2022-06-15,1130606
2022-06-16,1189700
2022-06-17,1101474
2022-06-18,723555
2022-06-19,323700
2022-06-20,1903423
2022-06-21,1563743
2022-06-22,1160624
2022-06-23,1249540
2022-06-24,1244028
2022-06-25,795785
2022-06-26,209660
2022-06-27,1226336
2022-06-28,1517398
2022-06-29,953957
2022-06-30,122700
2022-07-01,1609374
2022-07-02,757460
2022-07-03,235900
2022-07-04,942600
2022-07-05,1351195
2022-07-06,1182418
2022-07-07,1169300
2022-07-08,1109000
2022-07-09,910107
2022-07-10,371320
2022-07-11,1221980
2022-07-12,1122575
2022-07-13,973863
2022-07-14,1135950
2022-07-15,790342
2022-07-16,690851
2022-07-17,246596
2022-07-18,1000516
2022-07-19,1040670
2022-07-20,1217488
2022-07-21,1422213
2022-07-22,1058747
2022-07-23,1151898
2022-07-24,582800
2022-07-25,951162
2022-07-26,1302218
2022-07-27,1307589
2022-07-28,1447742
2022-07-29,1159437
2022-07-30,675201
2022-07-31,78300
2022-08-01,1049463
2022-08-02,1149809
2022-08-03,1121102
2022-08-04,1230240
2022-08-05,1173343
2022-08-06,649462
2022-08-07,269212
2022-08-08,1093900
2022-08-09,1137357
2022-08-10,1045327
2022-08-11,1067700
2022-08-12,1124600
2022-08-13,686910
2022-08-14,252024
2022-08-15,334151
2022-08-16,1294025
2022-08-17,1215750
2022-08-18,1058051
2022-08-19,1092646
2022-08-20,689600
2022-08-21,273962
2022-08-22,1002556
2022-08-23,1365431
2022-08-24,1210965
2022-08-25,1135360
2022-08-26,1396934
2022-08-27,876700
2022-08-28,406350
2022-08-29,1006350
2022-08-30,1138600
2022-08-31,150545
2022-09-01,991574
2022-09-02,1150261
2022-09-03,879236
2022-09-04,294900
2022-09-05,1235638
2022-09-06,1194640
2022-09-07,1356200
2022-09-08,1086769
2022-09-09,1020324
2022-09-10,764960
2022-09-11,312762
2022-09-12,969349
2022-09-13,1271131
2022-09-14,1097063
2022-09-15,1200221
2022-09-16,1142600
2022-09-17,914509
2022-09-18,308560
2022-09-19,731016
2022-09-20,1406400
2022-09-21,1017225
2022-09-22,1372458
2022-09-23,1203887
2022-09-24,934037
2022-09-25,344500
2022-09-26,1218570
2022-09-27,1231570
2022-09-28,1182150
2022-09-29,1163998
2022-09-30,292924
2022-10-01,695512
2022-10-02,467512
2022-10-03,350584
2022-10-04,1281871
2022-10-05,1186004
2022-10-06,979705
2022-10-07,1149694
