"fecha","monto_total"
2022-01-01,1266472
2022-01-02,2744308
2022-01-03,2623386
2022-01-04,3612262
2022-01-05,3161751
2022-01-06,1474800
2022-01-07,1058600
2022-01-08,432800
2022-01-09,1099500
2022-01-10,2510236
2022-01-11,3784158
2022-01-12,1944300
2022-01-13,1850624
2022-01-14,956862
2022-01-15,2000760
2022-01-16,289099
2022-01-17,426900
2022-01-18,1788300
2022-01-19,1933486
2022-01-20,1470134
2022-01-22,1068300
2022-01-23,395800
2022-01-24,1104198
2022-01-26,1306850
2022-01-27,2766414
2022-01-28,1209600
2022-01-29,758962
2022-01-30,467862
2022-02-01,2403484
2022-02-02,2411275
2022-02-03,3077460
2022-02-04,3167721
2022-02-05,2400305
2022-02-06,2124958
2022-02-07,1951834
2022-02-08,1655600
2022-02-09,1913379
2022-02-10,1767628
2022-03-22,136600
2022-05-23,1011024
2022-05-24,1526497
2022-05-25,1409850
2022-05-26,1817162
2022-05-27,1493447
2022-05-28,1045650
2022-05-29,616472
2022-05-30,1412318
2022-05-31,86500
2022-06-01,1059600
2022-06-02,938709
2022-06-03,631142
2022-06-04,469010
2022-07-04,601435
2022-07-21,1811299
2022-07-22,2468633
2022-07-23,2003246
2022-07-24,1315366
2022-07-25,2118332
2022-07-26,5192350
2022-07-27,7236436
2022-07-28,3776938
2022-07-29,3768460
2022-07-30,2952633
2022-07-31,279124
2022-08-01,2599504
2022-08-02,4571694
2022-08-03,5727474
2022-08-04,3613262
2022-08-05,4039266
2022-08-06,2232369
2022-08-07,2039225
2022-08-08,3837868
2022-08-09,2542968
2022-08-10,3015350
2022-08-11,2735086
2022-08-12,2588124
2022-08-27,320048
2022-08-29,301700
