"fecha","monto_total"
2022-01-01,87500
2022-01-02,599500
2022-01-03,1281700
2022-01-04,2121550
2022-01-05,1433209
2022-01-06,2075120
2022-01-07,1979895
2022-01-08,1329162
2022-01-09,507836
2022-01-10,1231512
2022-01-11,2012396
2022-01-12,1367774
2022-01-13,1446962
2022-01-14,1580762
2022-01-15,1375600
2022-01-16,548296
2022-01-17,1544765
2022-01-18,1552015
2022-01-19,2083822
2022-01-20,1850768
2022-01-21,1778906
2022-01-22,1480998
2022-01-23,363100
2022-01-24,1728373
2022-01-25,1674511
2022-01-26,1829464
2022-01-27,1579039
2022-01-28,1844278
2022-01-29,1174258
2022-01-30,685900
2022-01-31,15000
2022-02-01,2420034
2022-02-02,1651301
2022-02-03,2052462
2022-02-04,2319497
2022-02-05,1391865
2022-02-06,622250
2022-02-07,1667200
2022-02-08,2266423
2022-02-09,1913350
2022-02-10,1865200
2022-02-11,1870396
2022-02-12,1728462
2022-02-13,835800
2022-02-14,1615200
2022-02-15,2018459
2022-02-16,2292958
2022-02-17,1956721
2022-02-18,2012865
2022-02-19,1967624
2022-02-20,744700
2022-02-21,1519271
2022-02-22,2057462
2022-02-23,2144067
2022-02-24,1856162
2022-02-25,1712782
2022-02-26,1263436
2022-02-27,739265
2022-03-01,2132935
2022-03-02,1914850
2022-03-03,1736274
2022-03-04,1958460
2022-03-05,2065106
2022-03-06,776424
2022-03-07,1748848
2022-03-08,2417876
2022-03-09,2079308
2022-03-10,2690246
2022-03-11,1709446
2022-03-12,1712845
2022-03-13,766286
2022-03-14,1509864
2022-03-15,2961622
2022-03-16,2114762
2022-03-17,1882001
2022-03-18,2028474
2022-03-19,1750894
2022-03-20,776700
2022-03-21,1355700
2022-03-22,2427932
2022-03-23,1213574
2022-03-24,2066248
2022-03-25,1381273
2022-03-26,1933598
2022-03-27,899983
2022-03-28,2266600
2022-03-29,2009442
2022-03-30,2412033
2022-03-31,264050
2022-04-01,2487272
2022-04-02,1541120
2022-04-03,652800
2022-04-04,1549524
2022-04-05,2002605
2022-04-06,2329580
2022-04-07,2957322
2022-04-08,2598716
2022-04-09,1400648
2022-04-10,966100
2022-04-11,1827762
2022-04-12,2764252
2022-04-13,1983048
2022-04-14,889211
2022-04-15,132500
2022-04-16,1121972
2022-04-17,606800
2022-04-18,2793097
2022-04-19,3081877
2022-04-20,2210490
2022-04-21,1472400
2022-04-22,1678100
2022-04-23,1975874
2022-04-24,960550
2022-04-25,2034062
2022-04-26,1632124
2022-04-27,1949300
2022-04-28,2385866
2022-04-29,1884414
2022-04-30,118444
2022-05-01,616455
2022-05-02,723200
2022-05-03,2111450
2022-05-04,2070328
2022-05-05,2315210
2022-05-06,2362951
2022-05-07,2140296
2022-05-08,450000
2022-05-09,1552309
2022-05-10,2679874
2022-05-11,3368024
2022-05-12,2114363
2022-05-13,2834986
2022-05-14,1368905
2022-05-15,657100
2022-05-16,2689476
2022-05-17,2716038
2022-05-18,2097786
2022-05-19,2580670
2022-05-20,1948122
2022-05-21,2281039
2022-05-22,807262
2022-05-23,2211974
2022-05-24,1985634
2022-05-25,1702599
2022-05-26,1241363
2022-05-27,1300148
2022-05-28,1461313
2022-05-29,312000
2022-05-30,1801186
2022-05-31,144062
2022-06-01,1874700
2022-06-02,2205713
2022-06-03,2374222
2022-06-04,1951484
2022-06-05,818069
2022-06-06,1876414
2022-06-07,1608886
2022-06-08,2391222
2022-06-09,1597200
2022-06-10,2164223
2022-06-11,1657114
2022-06-12,669662
2022-06-13,2048906
2022-06-14,2309010
2022-06-15,2608583
2022-06-16,2398367
2022-06-17,2088494
2022-06-18,1969181
2022-06-19,742600
2022-06-20,2105985
2022-06-21,2829359
2022-06-22,1737668
2022-06-23,1345800
2022-06-24,1749508
2022-06-25,1095686
2022-06-26,840710
2022-06-27,1701354
2022-06-28,1972200
2022-06-29,2055544
2022-06-30,62400
2022-07-01,2193982
2022-07-02,2005059
2022-07-03,571201
2022-07-04,2298667
2022-07-05,1828600
2022-07-06,1768350
2022-07-07,2266678
2022-07-08,1796781
2022-07-09,1750872
2022-07-10,764463
2022-07-11,1875086
2022-07-12,1860026
2022-07-13,2022636
2022-07-14,2874305
2022-07-15,1575342
2022-07-16,2120210
2022-07-17,980900
2022-07-18,2236846
2022-07-19,1803862
2022-07-20,2212713
2022-07-21,2215400
2022-07-22,2152104
2022-07-23,1951183
2022-07-24,881391
2022-07-25,1982736
2022-07-26,2459760
2022-07-27,2299015
2022-07-28,2440926
2022-07-29,1915922
2022-07-30,1961235
2022-07-31,93900
2022-08-01,2113446
2022-08-02,2697415
2022-08-03,2945562
2022-08-04,3116240
2022-08-05,2656252
2022-08-06,2103877
2022-08-07,955885
2022-08-08,2198847
2022-08-09,2653300
2022-08-10,1897170
2022-08-11,2895486
2022-08-12,2272793
2022-08-13,3036619
2022-08-14,1071310
2022-08-15,1579874
2022-08-16,2346068
2022-08-17,2435072
2022-08-18,1968834
2022-08-19,2465411
2022-08-20,1993991
2022-08-21,985161
2022-08-22,2145107
2022-08-23,3255303
2022-08-24,2303362
2022-08-25,1869782
2022-08-26,1600800
2022-08-27,2002942
2022-08-28,786503
2022-08-29,1659081
2022-08-30,1669160
2022-08-31,185612
2022-09-01,2180244
2022-09-02,2099661
2022-09-03,1554060
2022-09-04,1015613
2022-09-05,2140424
2022-09-06,2242771
2022-09-07,1610850
2022-09-08,2069912
2022-09-09,3283343
2022-09-10,1824541
2022-09-11,701000
2022-09-12,2598196
2022-09-13,3072855
2022-09-14,2513236
2022-09-15,1879069
2022-09-16,2537689
2022-09-17,1924767
2022-09-18,1028844
2022-09-19,2003250
2022-09-20,2726770
2022-09-21,1912689
2022-09-22,2853977
2022-09-23,1567047
2022-09-24,2309719
2022-09-25,933974
2022-09-26,1587761
2022-09-27,1398574
2022-09-28,1805445
2022-09-29,2517815
2022-09-30,124100
2022-10-01,1722836
2022-10-02,1137783
2022-10-03,1239138
2022-10-04,1242959
2022-10-05,1904779
2022-10-06,2298429
2022-10-07,2105585
2022-10-08,2100105
2022-10-09,632450
2022-10-10,2041034
2022-10-11,1857037
2022-10-12,2877307
2022-10-13,2311248
2022-10-14,2963522
2022-10-15,1790480
2022-10-16,642540
2022-10-17,1946783
2022-10-18,1716489
2022-10-19,1147440
2022-10-20,1405103
2022-10-21,1257525
2022-10-22,1677866
2022-10-23,1026040
2022-10-24,2112300
2022-10-25,1250771
2022-10-26,1943088
2022-10-27,2385773
2022-10-28,2622332
2022-10-29,2105498
2022-10-30,774199
2022-10-31,4600
2022-11-01,2250535
2022-11-02,2495162
2022-11-03,2252298
2022-11-04,3212000
2022-11-05,2271343
2022-11-06,937600
2022-11-07,2391295
2022-11-08,3004484
2022-11-09,328000
2022-11-10,3242174
2022-11-11,3305371
2022-11-12,2182633
2022-11-13,371624
2022-11-14,2861625
2022-11-15,3541586
2022-11-16,2873925
2022-11-17,2391466
2022-11-18,2540005
2022-11-19,1830127
2022-11-20,975886
2022-11-21,1681336
2022-11-22,2324617
2022-11-23,2081335
2022-11-24,2409368
2022-11-25,2682722
2022-11-26,1870048
2022-11-27,884104
2022-11-28,1936631
2022-11-29,2276112
2022-11-30,151900
2022-12-01,1239625
2022-12-02,2341906
2022-12-03,1718348
2022-12-04,859334
2022-12-05,1700321
2022-12-06,2256883
2022-12-07,2118309
2022-12-08,554475
2022-12-09,2146107
2022-12-10,1954486
2022-12-11,395300
2022-12-12,3139059
2022-12-13,2669580
2022-12-14,2544929
2022-12-15,3397537
2022-12-16,2584331
2022-12-17,2434933
2022-12-18,1093312
2022-12-19,2386807
2022-12-20,2837179
2022-12-21,2455247
2022-12-22,2568295
2022-12-23,2094667
2022-12-24,1070786
2022-12-25,414861
2022-12-26,1819221
2022-12-27,2767754
2022-12-28,2387018
2022-12-29,2362280
2022-12-30,2258010
2022-12-31,204700
2023-01-01,473000
2023-01-02,1484725
2023-01-03,2002367
2023-01-04,2210289
2023-01-05,2418407
2023-01-06,1903441
2023-01-07,1446663
2023-01-08,631420
2023-01-09,2654900
2023-01-10,1511365
2023-01-11,2533058
2023-01-12,2614871
2023-01-13,1393148
2023-01-14,2294567
2023-01-15,765005
2023-01-16,2641753
2023-01-17,2912684
2023-01-18,2272054
2023-01-19,3013865
2023-01-20,2610106
2023-01-21,1628337
2023-01-22,726300
2023-01-23,1667100
2023-01-24,1979760
2023-01-25,2092986
2023-01-26,2468696
2023-01-27,2290425
2023-01-28,979624
2023-01-29,861693
2023-01-30,1886376
2023-01-31,189724
2023-02-01,2106577
2023-02-02,1448267
2023-02-03,2601766
2023-02-04,1386762
2023-02-05,672000
2023-02-06,1761406
2023-02-07,2201433
2023-02-08,2290360
2023-02-09,2103853
2023-02-10,2002371
2023-02-11,1392548
2023-02-12,684062
2023-02-13,2955922
2023-02-14,2165598
2023-02-15,2113819
2023-02-16,2865334
2023-02-17,2788571
2023-02-18,1860420
2023-02-19,898982
2023-02-20,4073828
2023-02-21,3061894
2023-02-22,2211206
2023-02-23,2149193
2023-02-24,2784060
2023-02-25,1760830
2023-02-26,900923
2023-02-27,1016500
2023-02-28,4600
2023-03-01,2408716
2023-03-02,2377086
2023-03-03,3595285
2023-03-04,2410488
2023-03-05,1019100
2023-03-06,3384103
2023-03-07,2562606
2023-03-08,2770786
2023-03-09,2109874
2023-03-10,2741520
2023-03-11,2227857
2023-03-12,961900
2023-03-13,2144682
2023-03-14,3087667
2023-03-15,2286510
2023-03-16,2428668
2023-03-17,2877418
2023-03-18,2102936
2023-03-19,1004461
2023-03-20,3345219
2023-03-21,2770873
2023-03-22,2206240
2023-03-23,2810753
2023-03-24,3153196
2023-03-25,1947035
2023-03-26,736950
2023-03-27,2524928
2023-03-28,3372810
2023-03-29,2777813
2023-03-30,2307465
2023-03-31,170700
