"fecha","monto_total"
2022-01-01,47862
2022-01-02,259500
2022-01-03,1044810
2022-01-04,795924
2022-01-05,822000
2022-01-06,1098310
2022-01-07,1040596
2022-01-08,308798
2022-01-09,761200
2022-01-10,820261
2022-01-11,1366100
2022-01-12,1191848
2022-01-13,467200
2022-01-14,1011000
2022-01-15,221124
2022-01-16,851448
2022-01-17,1266398
2022-01-18,1563048
2022-01-19,2095160
2022-01-20,1744685
2022-01-21,498724
2022-01-22,154500
2022-01-23,602036
2022-01-24,1502962
2022-01-25,690024
2022-01-26,1245458
2022-01-27,940950
2022-01-28,1125458
2022-01-29,341650
2022-01-30,934544
2022-01-31,85100
2022-02-01,507048
2022-02-02,1084362
2022-02-03,1470669
2022-02-04,1611754
2022-02-05,517962
2022-02-06,675624
2022-02-07,1516586
2022-02-08,1738936
2022-02-09,2032480
2022-02-10,1778472
2022-02-11,2412913
2022-02-12,168700
2022-02-13,1215382
2022-02-14,1831062
2022-02-15,2083700
2022-02-16,1708937
2022-02-17,1524858
2022-02-18,1136524
2022-02-19,535400
2022-02-20,1176924
2022-02-21,2202694
2022-02-22,1722100
2022-02-23,1900483
2022-02-24,953034
2022-02-25,1258148
2022-02-26,125700
2022-02-27,1256024
2022-02-28,80500
2022-03-01,1397694
2022-03-02,1453634
2022-03-03,1396400
2022-03-04,1309712
2022-03-05,179100
2022-03-06,1277186
2022-03-07,1132000
2022-03-08,1674047
2022-03-09,1835200
2022-03-10,2429068
2022-03-11,1620428
2022-03-12,440300
2022-03-13,973247
2022-03-14,1361209
2022-03-15,1460054
2022-03-16,1773695
2022-03-17,1587703
2022-03-18,1935048
2022-03-19,569662
2022-03-20,891723
2022-03-21,1769648
2022-03-22,1582221
2022-03-23,1707044
2022-03-24,1334958
2022-03-25,2033852
2022-03-26,145610
2022-03-27,1222462
2022-03-28,2133914
2022-03-29,1160224
2022-03-30,2369858
2022-03-31,185994
2022-04-01,1249924
2022-04-02,364600
2022-04-03,1206798
2022-04-04,1462836
2022-04-05,1151148
2022-04-06,1748487
2022-04-07,1973972
2022-04-08,1819124
2022-04-09,833400
2022-04-10,1075272
2022-04-11,1213046
2022-04-12,1456800
2022-04-13,903700
2022-04-14,613236
2022-04-15,391300
2022-04-16,353560
2022-04-17,1143715
2022-04-18,1148164
2022-04-19,1958745
2022-04-20,2184290
2022-04-21,1207500
2022-04-22,2269924
2022-04-23,530285
2022-04-24,916834
2022-04-25,1980238
2022-04-26,2234200
2022-04-27,3045425
2022-04-28,2801063
2022-04-29,1257624
2022-04-30,88200
2022-05-01,1277521
2022-05-02,297700
2022-05-03,1510269
2022-05-04,1632748
2022-05-05,2111184
2022-05-06,2620743
2022-05-07,97600
2022-05-08,1229900
2022-05-09,2027723
2022-05-10,1710272
2022-05-11,1715471
2022-05-12,1838012
2022-05-13,2535100
2022-05-14,269800
2022-05-15,1002400
2022-05-16,1378542
2022-05-17,2451281
2022-05-18,1825165
2022-05-19,1739362
2022-05-20,2631536
2022-05-21,1098124
2022-05-22,1153760
2022-05-23,1612372
2022-05-24,725536
2022-05-25,1989324
2022-05-26,1266151
2022-05-27,1834698
2022-05-28,272100
2022-05-29,827124
2022-05-30,1612210
2022-05-31,387956
2022-06-01,822986
2022-06-02,1515710
2022-06-03,1638241
2022-06-04,881200
2022-06-05,1182974
2022-06-06,2996006
2022-06-07,2606512
2022-06-08,3166859
2022-06-09,2520141
2022-06-10,3184973
2022-06-11,1067524
2022-06-12,1087202
2022-06-13,2515082
2022-06-14,2021924
2022-06-15,2410500
2022-06-16,1882620
2022-06-17,1887486
2022-06-18,194862
2022-06-19,855300
2022-06-20,2175156
2022-06-21,2521810
2022-06-22,2331829
2022-06-23,1712664
2022-06-24,2120063
2022-06-25,755600
2022-06-26,769400
2022-06-27,2504500
2022-06-28,1618576
2022-06-29,2297519
2022-06-30,225360
2022-07-01,1299024
2022-07-02,475624
2022-07-03,927343
2022-07-04,1862424
2022-07-05,2288994
2022-07-06,2074100
2022-07-07,1486251
2022-07-08,1603480
2022-07-09,1016918
2022-07-10,883024
2022-07-11,1946162
2022-07-12,2066598
2022-07-13,2340410
2022-07-14,1840350
2022-07-15,1957124
2022-07-16,580400
2022-07-17,709600
2022-07-18,1529024
