"fecha","monto_total"
2022-01-02,231686
2022-01-03,2790534
2022-01-04,4465822
2022-01-05,5358222
2022-01-06,4313122
2022-01-07,4856144
2022-01-08,2814519
2022-01-09,584000
2022-01-10,4700261
2022-01-11,5434486
2022-01-12,5245113
2022-01-13,2984954
2022-01-14,4235936
2022-01-15,2543630
2022-01-16,944690
2022-01-17,4269244
2022-01-18,5690788
2022-01-19,6508863
2022-01-20,6785565
2022-01-21,6245353
2022-01-22,3476349
2022-01-23,1446024
2022-01-24,5820420
2022-01-25,6291954
2022-01-26,5740486
2022-01-27,5427907
2022-01-28,5872018
2022-01-29,4091100
2022-01-30,611800
2022-01-31,89700
2022-02-01,6390498
2022-02-02,7436620
2022-02-03,7410917
2022-02-04,7040844
2022-02-05,3543462
2022-02-06,420900
2022-02-07,5995186
2022-02-08,6127200
2022-02-09,6452115
2022-02-10,6647004
2022-02-11,6626582
2022-02-12,2281600
2022-02-13,59800
2022-02-14,4859900
2022-02-15,4991000
2022-02-16,4970300
2022-02-17,4620700
2022-02-18,3594900
2022-02-19,3116500
2022-02-20,805000
2022-02-21,4885200
2022-02-22,3634000
2022-02-23,4218200
2022-02-24,3148700
2022-02-25,3155600
2022-02-26,3047500
2022-02-27,29900
2022-03-01,4206700
2022-03-02,4110100
2022-03-03,5112900
2022-03-04,4733400
2022-03-05,2297700
2022-03-06,779700
2022-03-07,4432100
2022-03-08,4643700
2022-03-09,5524600
2022-03-10,5575200
2022-03-11,3751300
2022-03-12,3022200
2022-03-13,133400
2022-03-14,5237100
2022-03-15,5922500
2022-03-16,6028300
2022-03-17,5250900
2022-03-18,5163500
2022-03-19,2495500
2022-03-20,558900
2022-03-21,5851200
2022-03-22,5476300
2022-03-23,2674900
2022-03-24,4618400
2022-03-25,4091700
2022-03-26,4006600
2022-03-27,190900
2022-03-28,4931200
2022-03-29,5225600
2022-03-30,5225600
2022-03-31,202400
2022-04-01,4671300
2022-04-02,3636300
2022-04-03,243800
2022-04-04,4259600
2022-04-05,5345200
2022-04-06,4521800
2022-04-07,5043900
2022-04-08,4922000
2022-04-09,2709400
2022-04-10,434700
2022-04-11,5929400
2022-04-12,4977200
2022-04-13,4209000
2022-04-14,177100
2022-04-18,4988700
2022-04-19,5400400
2022-04-20,6831000
2022-04-21,5968500
2022-04-22,4899000
2022-04-23,2477100
2022-04-24,167900
2022-04-25,5089900
2022-04-26,5159662
2022-04-27,4634500
2022-04-28,5062300
2022-04-29,3661600
2022-04-30,312800
2022-05-01,126500
2022-05-02,156400
2022-05-03,4788600
2022-05-04,6456946
2022-05-05,6244842
2022-05-06,6462325
2022-05-07,4497152
2022-05-08,302400
2022-05-09,5151679
2022-05-10,6193096
2022-05-11,5414917
2022-05-12,5561971
2022-05-13,5034754
2022-05-14,2099204
2022-05-15,381024
2022-05-16,4494402
2022-05-17,5348678
2022-05-18,4386161
2022-05-19,4236333
2022-05-20,5408744
2022-05-21,3918056
2022-05-22,314324
2022-05-23,4960863
2022-05-24,4902461
2022-05-25,4712205
2022-05-26,2826133
2022-05-27,3092743
2022-05-28,1504131
2022-05-29,38500
2022-05-30,2810908
2022-05-31,109800
2022-06-01,3499824
2022-06-02,3177660
2022-06-03,3913814
2022-06-04,2363881
2022-06-05,149162
2022-06-06,3238834
2022-06-07,3611083
2022-06-08,3768548
2022-06-09,4585212
2022-06-10,3311460
2022-06-11,2904504
2022-06-12,87800
2022-06-13,4071508
2022-06-14,3946074
2022-06-15,4879314
2022-06-16,5277212
2022-06-17,4557574
2022-06-18,3282333
2022-06-19,186298
2022-06-20,4269516
2022-06-21,4982712
2022-06-22,3728636
2022-06-23,4744755
2022-06-24,5106137
2022-06-25,3801158
2022-06-26,401336
2022-06-27,5250991
2022-06-28,5615087
2022-06-29,6657200
2022-06-30,389399
2022-07-01,4848815
2022-07-02,3909332
2022-07-03,175300
2022-07-04,5542716
2022-07-05,7434927
2022-07-06,6503028
2022-07-07,4542305
2022-07-08,5409760
2022-07-09,3703909
2022-07-10,414080
2022-07-11,4530094
2022-07-12,4019730
2022-07-13,5189412
2022-07-14,5418712
2022-07-15,5291940
2022-07-16,4605545
2022-07-17,194958
2022-07-18,4669469
2022-07-19,5374436
2022-07-20,5342485
2022-07-21,5842034
2022-07-22,5363105
2022-07-23,4505841
2022-07-24,1426856
2022-07-25,5432125
2022-07-26,5253294
2022-07-27,5201250
2022-07-28,3172296
2022-07-29,4425027
2022-07-30,4008450
2022-07-31,109200
2022-08-01,5041394
2022-08-02,4523595
2022-08-03,4777270
2022-08-04,4285595
2022-08-05,5201347
2022-08-06,3456354
2022-08-07,228800
2022-08-08,5991763
2022-08-09,4676258
2022-08-10,4263339
2022-08-11,4437125
2022-08-12,5336790
2022-08-13,4861197
2022-08-14,850800
2022-08-15,1402900
2022-08-16,6774379
2022-08-17,3333280
2022-08-18,3940900
2022-08-19,4899424
2022-08-20,3373449
2022-08-21,728424
2022-08-22,4900078
2022-08-23,5649033
2022-08-24,5758860
2022-08-25,5145604
2022-08-26,6452999
2022-08-27,3249229
2022-08-28,494400
2022-08-29,5063207
2022-08-30,5737399
2022-08-31,25662
2022-09-01,5414650
2022-09-02,6037450
2022-09-03,4460267
2022-09-04,470146
2022-09-05,5632245
2022-09-06,6196082
2022-09-07,6336855
2022-09-08,5787767
2022-09-09,4232839
2022-09-10,3543305
2022-09-11,483386
2022-09-12,4356026
2022-09-13,4413910
2022-09-14,5862804
2022-09-15,5851819
2022-09-16,5184756
2022-09-17,2779124
2022-09-18,461824
2022-09-19,4225322
2022-09-20,5720734
2022-09-21,4976190
2022-09-22,4347436
2022-09-23,5256147
2022-09-24,3213162
2022-09-25,224500
2022-09-26,4824602
2022-09-27,4900781
2022-09-28,4969331
2022-09-29,4945946
2022-09-30,430060
2022-10-01,2494173
2022-10-02,475510
2022-10-03,708886
2022-10-04,5929374
2022-10-05,6315783
2022-10-06,4261912
2022-10-07,6221857
2022-10-08,3377364
2022-10-09,9400
2022-10-10,5071099
2022-10-11,4203949
2022-10-12,4776365
2022-10-13,6023818
2022-10-14,5643339
2022-10-15,4414377
2022-10-16,739400
2022-10-17,5004836
2022-10-18,4963997
2022-10-19,5817108
2022-10-20,3943139
2022-10-21,3640146
2022-10-22,3324746
2022-10-23,1043962
2022-10-24,5609986
2022-10-25,6138457
2022-10-26,5535723
2022-10-27,4677935
2022-10-28,3866747
2022-10-29,3293359
2022-10-30,127400
2022-11-01,4517644
2022-11-02,5325347
2022-11-03,5339596
2022-11-04,6349319
2022-11-05,3199212
2022-11-06,915560
2022-11-07,5720496
2022-11-08,7010918
2022-11-09,434899
2022-11-10,5548862
2022-11-11,5361967
2022-11-12,3699595
2022-11-13,302200
2022-11-14,5319164
2022-11-15,5023820
2022-11-16,4165122
2022-11-17,5002164
2022-11-18,4999908
2022-11-19,4032356
2022-11-20,936024
2022-11-21,3493915
2022-11-22,4308867
2022-11-23,7017285
2022-11-24,6855080
