"fecha","monto_total"
2022-01-02,244550
2022-01-03,1750086
2022-01-04,2300674
2022-01-05,2706022
2022-01-06,3134374
2022-01-07,2078398
2022-01-08,2084200
2022-01-09,412500
2022-01-10,2664356
2022-01-11,2827491
2022-01-12,1665548
2022-01-13,2437812
2022-01-14,2665885
2022-01-15,2834309
2022-01-16,82200
2022-01-17,2432124
2022-01-18,2032899
2022-01-19,2306659
2022-01-20,2344248
2022-01-21,2383119
2022-01-22,1815749
2022-01-23,130948
2022-01-24,3057076
2022-01-25,2670372
2022-01-26,2658562
2022-01-27,2179300
2022-01-28,2496982
2022-01-29,2259940
2022-01-30,288324
2022-01-31,97200
2022-02-01,2897965
2022-02-02,2619562
2022-02-03,2146379
2022-02-04,2305184
2022-02-05,1920486
2022-02-06,283500
2022-02-07,1560762
2022-02-08,3111748
2022-02-09,2339162
2022-02-10,2168440
2022-02-11,3355524
2022-02-12,2263300
2022-02-13,139900
2022-02-14,2443286
2022-02-15,2476955
2022-02-16,2876058
2022-02-17,2711748
2022-02-18,3362112
2022-02-19,2709222
2022-02-20,523671
2022-02-21,2653817
2022-02-22,2586011
2022-02-23,2492672
2022-02-24,3200649
2022-02-25,3824174
2022-02-26,2478850
2022-02-27,514924
2022-03-01,2038874
2022-03-02,2298224
2022-03-03,2501709
2022-03-04,3414349
2022-03-05,2192693
2022-03-06,586300
2022-03-07,3021287
2022-03-08,3780230
2022-03-09,3310562
2022-03-10,2072243
2022-03-11,2309874
2022-03-12,2767312
2022-03-13,468399
2022-03-14,2786813
2022-03-15,4366848
2022-03-16,2754787
2022-03-17,3364322
2022-03-18,3221809
2022-03-19,1788466
2022-03-20,621500
2022-03-21,3663907
2022-03-22,3259679
2022-03-23,3037703
2022-03-24,3076229
2022-03-25,2459212
2022-03-26,2760813
2022-03-27,315600
2022-03-28,3262335
2022-03-29,3945397
2022-03-30,2610195
2022-03-31,9200
2022-04-01,4342794
2022-04-02,3649114
2022-04-03,213424
2022-04-04,1877248
2022-04-05,2364824
2022-04-06,3616522
2022-04-07,3113710
2022-04-08,3894508
2022-04-09,2515534
2022-04-10,287262
2022-04-11,3278245
2022-04-12,4196659
2022-04-13,3378511
2022-04-14,667682
2022-04-16,625199
2022-04-17,310524
2022-04-18,3334976
2022-04-19,3976949
2022-04-20,3286513
2022-04-21,2494086
2022-04-22,4504160
2022-04-23,2094541
2022-04-24,598600
2022-04-25,3960494
2022-04-26,5053828
2022-04-27,3418678
2022-04-28,3177832
2022-04-29,2956146
2022-04-30,227500
2022-05-01,379200
2022-05-02,964224
2022-05-03,3652465
