"fecha","monto_total"
2022-01-01,299700
2022-01-02,719600
2022-01-03,3621072
2022-01-04,5542618
2022-01-05,5238360
2022-01-06,6258805
2022-01-07,6246786
2022-01-08,5113179
2022-01-09,1272162
2022-01-10,4173880
2022-01-11,3737701
2022-01-12,3658024
2022-01-13,4320684
2022-01-14,4152048
2022-01-15,3205865
2022-01-16,1158500
2022-01-17,3247599
2022-01-18,4720448
2022-01-19,4805102
2022-01-20,4729875
2022-01-21,6033816
2022-01-22,5289262
2022-01-23,1403062
2022-01-24,4339448
2022-01-25,4869040
2022-01-26,4225277
2022-01-27,4598009
2022-01-28,4339260
2022-01-29,3683710
2022-01-30,759400
2022-01-31,99000
2022-02-01,4097524
2022-02-02,5237782
2022-02-03,4770464
2022-02-04,4966948
2022-02-05,3877889
2022-02-06,2096801
2022-02-07,4528262
2022-02-08,5212458
2022-02-09,5209948
2022-02-10,5711023
2022-02-11,6211495
2022-02-12,3998567
2022-02-13,1473863
2022-02-14,3383449
2022-02-15,4106473
2022-02-16,4845666
2022-02-17,3998162
2022-02-18,5249082
2022-02-19,4324660
2022-02-20,1444748
2022-02-21,4627048
2022-02-22,4081435
2022-02-23,4207642
2022-02-24,5154650
2022-02-25,6353472
2022-02-26,5134369
2022-02-27,1618917
2022-02-28,85700
2022-03-01,5110761
2022-03-02,6379448
2022-03-03,7099039
2022-03-04,6183123
2022-03-05,4687483
2022-03-06,2605885
2022-03-07,4866086
2022-03-08,6391444
2022-03-09,6536584
2022-03-10,5168759
2022-03-11,4874627
2022-03-12,5146248
2022-03-13,2041600
2022-03-14,5442976
2022-03-15,4904486
2022-03-16,5920054
2022-03-17,7110737
2022-03-18,6674162
2022-03-19,6148211
2022-03-20,1719177
2022-03-21,4645417
2022-03-22,6426780
2022-03-23,4039433
2022-03-24,6415085
2022-03-25,7051316
2022-03-26,5149063
2022-03-27,1133186
2022-03-28,6294089
2022-03-29,7461763
2022-03-30,6497374
2022-03-31,657399
2022-04-01,7617151
2022-04-02,6258329
2022-04-03,1954110
2022-04-04,5744300
2022-04-05,7417604
2022-04-06,6888562
2022-04-07,8310490
2022-04-08,8435334
2022-04-09,6938430
2022-04-10,2915222
2022-04-11,5736324
2022-04-12,7244347
2022-04-13,6859522
2022-04-14,3026350
2022-04-15,409996
2022-04-16,3552262
2022-04-17,1917054
2022-04-18,6973138
2022-04-19,8530440
2022-04-20,7567449
2022-04-21,6692393
2022-04-22,7568115
2022-04-23,5961607
2022-04-24,2012785
2022-04-25,7215621
2022-04-26,7149842
