"fecha","monto_total"
2022-01-02,151300
2022-01-03,2492073
2022-01-04,2729925
2022-01-05,2757712
2022-01-06,3438815
2022-01-07,2643500
2022-01-08,2407608
2022-01-09,265100
2022-01-10,1890255
2022-01-11,2344394
2022-01-12,3357829
2022-01-13,3238642
2022-01-14,3067112
2022-01-15,2775900
2022-01-16,790401
2022-01-17,2651500
2022-01-18,3083601
2022-01-19,2668100
2022-01-20,2867971
2022-01-21,2092499
2022-01-22,1175600
2022-01-23,846800
2022-01-24,2543041
2022-01-25,2728262
2022-01-26,2485100
2022-01-27,2303617
2022-01-28,3172159
2022-01-29,2585979
2022-01-30,962536
2022-01-31,57500
2022-02-01,3126900
2022-02-02,2457000
2022-02-03,3783499
2022-02-04,3500620
2022-02-05,2498293
2022-02-06,241000
2022-02-07,3590000
2022-02-08,3265009
2022-02-09,3041247
2022-02-10,2527462
2022-02-11,3276767
2022-02-12,2468199
2022-02-13,240200
2022-02-14,2952034
2022-02-15,3469885
2022-02-16,3227009
2022-02-17,2868501
2022-02-18,3007562
2022-02-19,2790200
2022-02-20,323000
2022-02-21,2707561
2022-02-22,2292750
2022-02-23,2474628
2022-02-24,2644140
2022-02-25,2207422
2022-02-26,2274400
2022-02-27,546300
2022-02-28,6600
2022-03-01,2132660
2022-03-02,3338600
2022-03-03,3014562
2022-03-04,3958673
2022-03-05,2640836
2022-03-06,444500
2022-03-07,2357901
2022-03-08,3855198
2022-03-09,3488172
2022-03-10,2590300
2022-03-11,2229600
2022-03-12,2615803
2022-03-13,316900
2022-03-14,2350261
2022-03-15,2440662
2022-03-16,1623112
2022-03-17,2570996
2022-03-18,2750824
2022-03-19,2472199
2022-03-20,682700
2022-03-21,2331687
2022-03-22,2087259
2022-03-23,1436062
2022-03-24,3007961
2022-03-25,2931974
2022-03-26,2921000
2022-03-27,930448
2022-03-28,2490900
2022-03-29,2354317
2022-03-30,2554049
2022-03-31,27600
2022-04-01,2220554
2022-04-02,3098501
2022-04-03,496500
2022-04-04,1531200
2022-04-05,2129700
2022-04-06,2551230
2022-04-07,3394967
2022-04-08,2549800
2022-04-09,2080700
2022-04-10,998011
2022-04-11,1684500
2022-04-12,1584100
2022-04-13,1459200
2022-04-14,1781493
2022-04-15,34500
2022-04-16,1085600
2022-04-17,675624
2022-04-18,2979600
2022-04-19,2844496
2022-04-20,2895112
2022-04-21,3937367
2022-04-22,2607619
2022-04-23,1874400
2022-04-24,98600
2022-04-25,2262900
2022-04-26,3125087
2022-04-27,4564370
2022-04-28,2161624
2022-04-29,2919567
2022-04-30,271600
2022-05-01,858812
2022-05-02,741100
2022-05-03,3099918
2022-05-04,3480670
2022-05-05,4131900
2022-05-06,3941760
2022-05-07,3932208
2022-05-08,1951650
2022-05-09,3358100
2022-05-10,4718008
2022-05-11,3435300
2022-05-12,4268988
2022-05-13,3780071
2022-05-14,2381679
2022-05-15,675808
2022-05-16,3186900
2022-05-17,3549460
2022-05-18,2977660
2022-05-19,3235582
2022-05-20,3834388
2022-05-21,3489706
2022-05-22,1219180
2022-05-23,3695325
2022-05-24,3926545
2022-05-25,3017722
2022-05-26,3575048
2022-05-27,3296436
2022-05-28,3661710
2022-05-29,934062
2022-05-30,3221619
2022-05-31,209200
2022-06-01,3130200
2022-06-02,4664567
2022-06-03,3187916
2022-06-04,4618634
2022-06-05,1845716
2022-06-06,3764562
2022-06-07,3166287
2022-06-08,4791599
2022-06-09,4407963
2022-06-10,3552561
2022-06-11,3391727
2022-06-12,1386160
2022-06-13,2951289
2022-06-14,3639895
2022-06-15,3802649
2022-06-16,3350550
2022-06-17,2873594
2022-06-18,3790719
2022-06-19,786100
2022-06-20,1912860
2022-06-21,3447530
2022-06-22,2711298
2022-06-23,3134600
2022-06-24,3810374
2022-06-25,3466200
2022-06-26,1243400
2022-06-27,3375524
2022-06-28,2551000
2022-06-29,3496952
2022-06-30,6900
2022-07-01,2689149
2022-07-02,2989808
2022-07-03,1555396
2022-07-04,2184222
2022-07-05,3372650
2022-07-06,4256520
2022-07-07,3672300
2022-07-08,3566149
2022-07-09,3391622
2022-07-10,1465600
2022-07-11,2758308
2022-07-12,3115900
2022-07-13,2656236
2022-07-14,2794962
2022-07-15,3181650
2022-07-16,3036650
2022-07-17,909550
2022-07-18,2817610
2022-07-19,3234798
2022-07-20,3108617
2022-07-21,2605662
2022-07-22,2414335
2022-07-23,3369574
2022-07-24,1861162
2022-07-25,3429315
2022-07-26,3072100
2022-07-27,3845556
2022-07-28,3482899
2022-07-29,3382986
2022-07-30,3105462
2022-07-31,223900
2022-08-01,3331642
2022-08-02,4449200
2022-08-03,2879501
2022-08-04,2904500
2022-08-05,3191500
2022-08-06,2732149
2022-08-07,1983212
2022-08-08,4310906
2022-08-09,2880965
2022-08-10,3629262
2022-08-11,4900700
2022-08-12,4672616
2022-08-13,4023662
2022-08-14,1663157
2022-08-15,1784307
