"fecha","monto_total"
2022-01-01,328200
2022-01-02,611500
2022-01-03,2027362
2022-01-04,2830400
2022-01-05,2236728
2022-01-06,2107268
2022-01-07,2821350
2022-01-08,1847500
2022-01-09,650799
2022-01-10,2956350
2022-01-11,2663650
2022-01-12,2243986
2022-01-13,2525348
2022-01-14,2541950
2022-01-15,1793423
2022-01-16,302000
2022-01-17,2421950
2022-01-18,2255699
2022-01-19,2006099
2022-01-20,835000
2022-01-21,2129439
2022-01-22,1956674
2022-01-23,716200
2022-01-24,1909601
2022-01-25,1672995
2022-01-26,1914000
2022-01-27,1587062
2022-01-28,1856800
2022-01-29,1496999
2022-01-30,1127000
2022-01-31,157400
2022-02-01,1562400
2022-02-02,2831836
2022-02-03,2087300
2022-02-04,1893800
2022-02-05,1812500
2022-02-06,1210200
2022-02-07,2373315
2022-02-08,2391324
2022-02-09,2733400
2022-02-10,1854100
2022-02-11,2176477
2022-02-12,2032100
2022-02-13,263200
2022-02-14,2215900
2022-02-15,1813900
2022-02-16,2743680
2022-02-17,2499800
2022-02-18,2589700
2022-02-19,2658274
2022-02-20,733400
2022-02-21,2371237
2022-02-22,2216962
2022-02-23,2148236
2022-02-24,2409720
2022-02-25,2310393
2022-02-26,1529300
2022-02-27,447662
2022-03-01,1343350
2022-03-02,1703077
2022-03-03,1414583
2022-03-04,1729700
2022-03-05,1333608
2022-03-06,418100
2022-03-07,2549715
2022-03-08,1279500
2022-03-09,1372300
2022-03-10,1416461
2022-03-11,814174
2022-03-12,1310900
2022-03-13,836824
2022-03-14,1742400
2022-03-15,418800
2022-03-16,901788
2022-03-17,1329099
2022-03-18,1141762
2022-03-19,1435500
2022-03-20,351300
2022-03-21,879285
2022-03-22,1159200
2022-03-23,1133300
2022-03-24,797900
2022-03-25,565800
2022-03-26,1365800
2022-03-27,794400
2022-03-28,1686413
2022-03-29,860407
2022-03-30,727024
2022-03-31,138000
2022-04-01,945491
2022-04-02,1222810
2022-04-03,385400
2022-04-04,1254700
2022-04-05,1469218
2022-04-06,1539127
2022-04-07,1148562
2022-04-08,1262307
2022-04-09,1399400
2022-04-10,573300
2022-04-11,827300
2022-04-12,1519434
2022-04-13,1486400
2022-04-14,731750
2022-04-16,895900
2022-04-17,467900
2022-04-18,735100
2022-04-19,1198600
2022-04-20,1195394
2022-04-21,627500
2022-04-22,841059
2022-04-23,1006300
2022-04-24,423300
2022-04-25,1705600
2022-04-26,1747300
2022-04-27,1321437
2022-04-28,1463600
2022-04-29,1402900
2022-04-30,23000
2022-05-01,135900
2022-05-02,680774
2022-05-03,1392099
2022-05-04,1185362
2022-05-05,1090200
2022-05-06,1447400
2022-05-07,633324
2022-05-08,332703
2022-05-09,1174000
2022-05-10,924800
2022-05-11,1093461
2022-05-12,1254200
2022-05-13,1204700
2022-05-14,836150
2022-05-15,66000
2022-05-16,838200
2022-05-17,690880
2022-05-18,685200
2022-05-19,986961
2022-05-20,831649
2022-05-21,839100
2022-05-22,476300
2022-05-23,1360887
2022-05-24,782159
2022-05-25,1028799
2022-05-26,776400
2022-05-27,1183837
2022-05-28,666200
2022-05-29,28300
2022-05-30,812800
2022-05-31,83100
2022-06-01,793862
2022-06-02,1071100
2022-06-03,1463900
2022-06-04,649600
2022-06-05,304500
2022-06-06,1063500
2022-06-07,834497
2022-06-08,1167900
2022-06-09,1318000
2022-06-10,897639
2022-06-11,1264200
2022-06-12,92700
2022-06-13,1243576
2022-06-14,1148000
2022-06-15,1125100
2022-06-16,1136662
2022-06-17,1042300
2022-06-18,837285
2022-06-19,397399
2022-06-20,1179000
2022-06-21,934386
2022-06-22,1260099
2022-06-23,560900
2022-06-24,914522
2022-06-25,918700
2022-06-26,146000
2022-06-27,668899
2022-06-28,1117200
2022-06-29,1090500
2022-07-01,1598385
2022-07-02,1056900
2022-07-03,818299
2022-07-04,1157500
2022-07-05,1835400
2022-07-06,702000
2022-07-07,732499
2022-07-08,893900
2022-07-09,1483300
2022-07-10,87200
2022-07-11,1358987
2022-07-12,1268624
2022-07-13,852300
2022-07-14,859350
2022-07-15,1014585
2022-07-16,649100
2022-07-17,697112
2022-07-18,751762
2022-07-19,894572
2022-07-20,1087579
2022-07-21,379600
2022-07-22,1303335
2022-07-23,1144550
2022-07-24,419800
2022-07-25,1510862
2022-07-26,515800
2022-07-27,777399
2022-07-28,540000
2022-07-29,1323099
2022-07-30,1015100
2022-07-31,43800
2022-08-01,995999
2022-08-02,919600
2022-08-03,571700
2022-08-04,773655
2022-08-05,963900
2022-08-06,407700
2022-08-07,670900
2022-08-08,1316500
2022-08-09,1227829
2022-08-10,938900
2022-08-11,512699
2022-08-12,882200
2022-08-13,837510
2022-08-14,321500
2022-08-15,866600
2022-08-16,1524415
2022-08-17,935800
2022-08-18,1543500
2022-08-19,1629680
2022-08-20,1163900
2022-08-21,713800
2022-08-22,1323090
2022-08-23,1092252
2022-08-24,1599393
2022-08-25,1526300
2022-08-26,1047100
2022-08-27,1005989
2022-08-28,267000
2022-08-29,752800
2022-08-30,372100
2022-08-31,54200
2022-09-01,889900
2022-09-02,692643
2022-09-03,536700
2022-09-04,414800
2022-09-05,409399
2022-09-06,869600
2022-09-07,754900
2022-09-08,1230400
2022-09-09,758904
2022-09-10,1132614
2022-09-11,279100
2022-09-12,813200
2022-09-13,720907
2022-09-14,1093500
2022-09-15,1502202
2022-09-16,1451380
2022-09-17,1186289
2022-09-18,523200
2022-09-19,1100899
2022-09-20,937862
2022-09-21,1033500
2022-09-22,721799
2022-09-23,958700
2022-09-24,565862
2022-09-25,229600
2022-09-26,1363500
2022-09-27,1099100
2022-09-28,945982
2022-09-29,975760
2022-09-30,62100
2022-10-01,754462
2022-10-02,579200
2022-10-03,464639
2022-10-04,648700
2022-10-05,705500
2022-10-06,1033000
2022-10-07,1048225
2022-10-08,1143120
2022-10-09,670450
2022-10-10,755339
2022-10-11,356300
2022-10-12,1607912
2022-10-13,1076500
2022-10-14,954486
2022-10-15,980088
2022-10-16,291700
2022-10-17,689800
2022-10-18,1561900
2022-10-19,438200
2022-10-20,1169699
2022-10-21,1016174
2022-10-22,1058599
2022-10-23,388700
2022-10-24,1293430
2022-10-25,1097400
2022-10-26,852800
2022-10-27,1069550
2022-10-28,1688300
2022-10-29,1446382
2022-10-30,606100
2022-11-01,1089236
2022-11-02,1165377
2022-11-03,1171650
2022-11-04,1543000
2022-11-05,1225651
2022-11-06,424300
2022-11-07,1084680
2022-11-08,1310750
2022-11-09,27600
2022-11-10,1513906
2022-11-11,935666
2022-11-12,1023400
2022-11-13,291800
2022-11-14,2088494
2022-11-15,2451841
2022-11-16,2962455
2022-11-17,2371187
2022-11-18,2368161
2022-11-19,1382425
2022-11-20,292800
2022-11-21,2085692
2022-11-22,2771311
2022-11-23,2871865
2022-11-24,1610086
2022-11-25,1263600
2022-11-26,2049162
