"fecha","monto_total"
2022-01-01,344800
2022-01-02,2585274
2022-01-03,1541360
2022-01-04,2160200
2022-01-05,1826950
2022-01-06,1454300
2022-01-07,2328712
2022-01-08,1329505
2022-01-09,1287923
2022-01-10,2429903
2022-01-11,2044496
2022-01-12,2104950
2022-01-13,1970233
2022-01-14,2006079
2022-01-15,1577149
2022-01-16,1512500
2022-01-17,2938600
2022-01-18,2770766
2022-01-19,2434800
2022-01-20,3054900
2022-01-21,2886500
2022-01-22,2431100
2022-01-23,2458700
2022-01-24,2212600
2022-01-25,2403500
2022-01-26,1616900
2022-01-27,2714000
2022-01-28,1810100
2022-01-29,2040100
2022-01-30,2479400
2022-01-31,6900
2022-02-01,828000
2022-02-02,2810600
2022-02-03,1902100
2022-02-04,2189600
2022-02-05,1757200
2022-02-06,2228700
2022-02-07,1124700
2022-02-08,2408100
2022-02-09,1989500
2022-02-10,3082000
2022-02-11,2217200
2022-02-12,1545600
2022-02-13,1554800
2022-02-14,2433400
2022-02-15,2254000
2022-02-16,1619200
2022-02-17,2162000
2022-02-18,3341900
2022-02-19,1414500
2022-02-20,579600
2022-02-21,1906700
2022-02-22,913100
2022-02-23,52900
2022-02-24,1373100
2022-02-25,676200
2022-02-26,294400
2022-02-27,756700
2022-03-01,841800
2022-03-02,683100
2022-03-03,972900
2022-03-04,1283400
2022-03-05,501400
2022-03-07,646300
2022-03-08,782000
2022-03-09,1467400
2022-03-10,496800
2022-03-11,1469700
2022-03-12,1317900
2022-03-14,945300
2022-03-15,1000500
2022-03-16,1959600
2022-03-17,1688200
2022-03-18,1368500
2022-03-19,844100
2022-03-21,945300
2022-03-22,855600
2022-03-23,644000
2022-03-24,644000
2022-03-25,807300
2022-03-26,483000
2022-03-27,4600
2022-03-28,791200
2022-03-29,1357000
2022-03-30,1285700
2022-04-01,947600
2022-04-02,1978000
2022-04-03,692300
2022-04-04,1219000
2022-04-05,1246600
2022-04-06,3155600
2022-04-07,1911300
2022-04-08,1237400
2022-04-09,1030400
2022-04-10,119600
2022-04-11,959100
2022-04-12,460000
2022-04-13,1623800
2022-04-14,273700
2022-04-15,611800
2022-04-16,1120100
2022-04-17,347300
2022-04-18,1787100
2022-04-19,441600
2022-04-20,1465100
2022-04-21,1182200
2022-04-22,1212100
2022-04-23,2056200
2022-04-24,938400
2022-04-25,2585200
2022-04-26,1541000
2022-04-27,713000
2022-04-28,1230500
2022-04-29,1554800
2022-04-30,46000
2022-05-01,310500
2022-05-02,1559400
2022-05-03,2130662
2022-05-04,2737748
2022-05-05,2019713
2022-05-06,3311177
2022-05-07,2980772
2022-05-08,1721914
2022-05-09,3950590
2022-05-10,3319072
2022-05-11,1999250
2022-05-12,2720363
2022-05-13,2561894
2022-05-14,827200
2022-05-15,1769574
2022-05-16,3169402
2022-05-17,3870930
2022-05-18,2736710
2022-05-19,1329250
2022-05-20,2700615
2022-05-21,1899750
2022-05-22,606450
2022-05-23,1059624
2022-05-24,861800
2022-05-25,857175
2022-05-26,1100488
2022-05-27,138300
2022-05-28,473362
2022-05-29,390000
2022-05-30,1347668
2022-06-01,182100
2022-06-02,294624
2022-06-03,138600
2022-06-04,374124
2022-06-06,328600
2022-06-07,1166156
2022-06-08,747700
2022-06-09,1141662
2022-06-10,1192763
2022-06-11,2469877
2022-06-12,1271412
2022-06-13,2810680
2022-06-14,3004814
2022-06-15,2852820
2022-06-16,2833233
2022-06-17,2478227
2022-06-18,2873312
2022-06-19,1104284
2022-06-20,911500
2022-06-21,496800
2022-06-22,3455393
2022-06-23,1980488
2022-06-24,1210960
2022-06-25,1927162
2022-06-26,1266850
2022-06-27,2862150
2022-06-28,2031680
2022-06-29,2331673
2022-06-30,108200
2022-07-01,2940477
2022-07-02,2306602
2022-07-03,792700
2022-07-04,2092763
2022-07-05,1571400
2022-07-06,2951998
2022-07-07,1902862
2022-07-08,956644
2022-07-09,929232
2022-07-10,1180172
2022-07-11,1882324
2022-07-12,1722484
2022-07-13,1485450
2022-07-14,1818286
2022-07-15,1582266
2022-07-16,1419518
2022-07-17,1119761
2022-07-18,2015102
2022-07-19,2445173
2022-07-20,1232500
2022-07-21,2484504
2022-07-22,1866505
2022-07-23,2105329
2022-07-24,444457
2022-07-25,780241
