"fecha","monto_total"
2022-01-01,1013598
2022-01-02,2263665
2022-01-03,3947262
2022-01-04,4242368
2022-01-05,5249400
2022-01-06,4538399
2022-01-07,5620871
2022-01-08,4987544
2022-01-09,3281562
2022-01-10,5319698
2022-01-11,6739537
2022-01-12,5307224
2022-01-13,4460148
2022-01-14,5683828
2022-01-15,5187499
2022-01-16,3786546
2022-01-17,5990241
2022-01-18,4099948
2022-01-19,5007192
2022-01-20,6039076
2022-01-21,6561112
2022-01-22,5800708
2022-01-23,3125105
2022-01-24,5534836
2022-01-25,5375486
2022-01-26,5848938
2022-01-27,5407840
2022-01-28,6349458
2022-01-29,6097752
2022-01-30,4176809
2022-01-31,159900
2022-02-01,6749856
2022-02-02,7856256
2022-02-03,7302143
2022-02-04,7170768
2022-02-05,5660297
2022-02-06,3683895
2022-02-07,6955622
2022-02-08,7390670
2022-02-09,4199772
2022-02-10,7208423
2022-02-11,6707101
2022-02-12,6342022
2022-02-13,3717358
2022-02-14,5792748
2022-02-15,5585724
2022-02-16,6199031
2022-02-17,5869005
2022-02-18,6861309
2022-02-19,5359953
2022-02-20,4816907
2022-02-21,5653410
2022-02-22,6359101
2022-02-23,7211236
2022-02-24,5032465
2022-02-25,6381455
2022-02-26,4143292
2022-02-27,3223781
2022-02-28,156800
2022-03-01,5510801
2022-03-02,6865172
2022-03-03,7391953
2022-03-04,6530552
2022-03-05,4401558
2022-03-06,4626936
2022-03-07,6138299
2022-03-08,6077206
2022-03-09,6393995
2022-03-10,5055562
2022-03-11,3674343
2022-03-12,6808949
2022-03-13,3789523
2022-03-14,8455448
2022-03-15,7730276
2022-03-16,7058034
2022-03-17,7974049
2022-03-18,7033265
2022-03-19,4106519
2022-03-20,4599909
2022-03-21,7510666
2022-03-22,8080304
2022-03-23,2795153
2022-03-24,7677847
2022-03-25,7873727
2022-03-26,5653322
2022-03-27,3091605
2022-03-28,7990652
2022-03-29,7869831
2022-03-30,6184857
2022-03-31,208162
2022-04-01,7221313
2022-04-02,6792918
2022-04-03,4212110
2022-04-04,6122112
2022-04-05,5256556
2022-04-06,6490494
2022-04-07,4648908
2022-04-08,8397394
2022-04-09,6243834
2022-04-10,3882048
2022-04-11,6294434
2022-04-12,6873388
2022-04-13,6177472
2022-04-14,3769547
2022-04-15,764500
2022-04-16,3086840
2022-04-17,3850198
2022-04-18,5490958
2022-04-19,7391108
2022-04-20,7821322
2022-04-21,5476005
2022-04-22,5063661
2022-04-23,4372810
2022-04-24,3150461
2022-04-25,7023988
2022-04-26,6653925
2022-04-27,7886786
2022-04-28,7892202
2022-04-29,5180767
2022-04-30,271200
2022-05-01,3610634
2022-05-02,2899224
2022-05-03,4506698
2022-05-04,5399636
2022-05-05,6173507
2022-05-06,8249338
2022-05-07,5006705
2022-05-08,2602920
2022-05-09,6861059
2022-05-10,6355657
2022-05-11,6113372
2022-05-12,4866670
2022-05-13,5613184
2022-05-14,3177448
2022-05-15,3085012
2022-05-16,8227940
2022-05-17,8114681
2022-05-18,8063799
2022-05-19,7610860
2022-05-20,7679303
2022-05-21,4785858
2022-05-22,3483948
2022-05-23,7042450
2022-05-24,5734059
2022-05-25,4633689
2022-05-26,4517883
2022-05-27,7132269
2022-05-28,5029498
2022-05-29,2060200
2022-05-30,7730307
2022-05-31,427698
2022-06-01,8157945
2022-06-02,8262366
2022-06-03,7603822
2022-06-04,5204272
2022-06-05,3669800
2022-06-06,5798934
2022-06-07,6500385
2022-06-08,6832486
2022-06-09,7336936
2022-06-10,6706101
2022-06-11,6176871
2022-06-12,3112655
2022-06-13,6265907
2022-06-14,8752533
2022-06-15,8606262
2022-06-16,8947541
2022-06-17,7176083
2022-06-18,7767399
2022-06-19,4212872
2022-06-20,6532942
2022-06-21,8347787
2022-06-22,7218972
2022-06-23,5440727
2022-06-24,6608091
2022-06-25,4709844
2022-06-26,3057777
2022-06-27,5163689
2022-06-28,5221905
2022-06-29,6197270
2022-06-30,310600
2022-07-01,6195985
2022-07-02,5572190
2022-07-03,3510848
2022-07-04,7157760
2022-07-05,5205799
2022-07-06,6702148
2022-07-07,7029702
2022-07-08,6632944
2022-07-09,6660156
2022-07-10,3562400
2022-07-11,7058876
2022-07-12,5151482
2022-07-13,7328909
2022-07-14,8190326
2022-07-15,7435900
2022-07-16,6356872
2022-07-17,3216360
2022-07-18,7771650
2022-07-19,7572971
2022-07-20,7925620
2022-07-21,8100263
2022-07-22,8095384
2022-07-23,6441528
2022-07-24,4306436
2022-07-25,7109931
2022-07-26,7605725
2022-07-27,5898471
2022-07-28,5764118
2022-07-29,6082922
2022-07-30,8181201
2022-07-31,670286
2022-08-01,4943983
2022-08-02,6967705
2022-08-03,6214726
2022-08-04,7128406
2022-08-05,6496633
2022-08-06,4564148
2022-08-07,3536835
2022-08-08,6672009
2022-08-09,8055470
2022-08-10,7446322
2022-08-11,6506951
2022-08-12,6160679
2022-08-13,5077746
2022-08-14,4531240
2022-08-15,4596669
2022-08-16,5576041
2022-08-17,6795524
2022-08-18,6619244
2022-08-19,6030077
2022-08-20,6318292
2022-08-21,3861165
2022-08-22,6603396
2022-08-23,7681041
2022-08-24,7222987
2022-08-25,6959047
2022-08-26,8141622
2022-08-27,6229816
2022-08-28,3661102
2022-08-29,5488776
2022-08-30,7124008
2022-08-31,468098
2022-09-01,5227364
2022-09-02,6316308
2022-09-03,6372944
2022-09-04,3526995
2022-09-05,6237643
2022-09-06,7335690
2022-09-07,6806874
2022-09-08,6565869
2022-09-09,4973510
2022-09-10,6013056
2022-09-11,5082888
2022-09-12,6635144
2022-09-13,7129345
