"fecha","monto_total"
2022-01-01,633052
2022-01-02,993500
2022-01-03,2729522
2022-01-04,3252019
2022-01-05,3769286
2022-01-06,3069844
2022-01-07,3463686
2022-01-08,2541186
2022-01-09,1341524
2022-01-10,2672405
2022-01-11,3426412
2022-01-12,3292748
2022-01-13,2903044
2022-01-14,3632309
2022-01-15,2495246
2022-01-16,1942777
2022-01-17,2991624
2022-01-18,3539499
2022-01-19,2962660
2022-01-20,3310148
2022-01-21,3309823
2022-01-22,2587806
2022-01-23,1780200
2022-01-24,2909969
2022-01-25,3297294
2022-01-26,3054815
2022-01-27,3455547
2022-01-28,3504022
2022-01-29,2784125
2022-01-30,1558562
2022-01-31,9200
2022-02-01,3270559
2022-02-02,3493233
2022-02-03,3148350
2022-02-04,2882222
2022-02-05,3003252
2022-02-06,1810250
2022-02-07,3794424
2022-02-08,3338700
2022-02-09,3477573
2022-02-10,3545708
2022-02-11,3176067
2022-02-12,2958453
2022-02-13,1573459
2022-02-14,3506720
2022-02-15,3412398
2022-02-16,3402062
2022-02-17,3421498
2022-02-18,3936218
2022-02-19,3660429
2022-02-20,1555600
2022-02-21,3310609
2022-02-22,3886112
2022-02-23,4243494
2022-02-24,4436368
2022-02-25,5141888
2022-02-26,3068383
2022-02-27,1699349
2022-02-28,34500
2022-03-01,3210023
2022-03-02,4317493
2022-03-03,3970868
2022-03-04,4912866
2022-03-05,3582648
2022-03-06,1757527
2022-03-07,3924155
2022-03-08,4096147
2022-03-09,4312834
2022-03-10,3643136
2022-03-11,3129899
2022-03-12,3574510
2022-03-13,1834361
2022-03-14,3070200
2022-03-15,3951060
2022-03-16,3748020
2022-03-17,3279528
2022-03-18,3843794
2022-03-19,3612610
2022-03-20,1699610
2022-03-21,3879707
2022-03-22,4428179
2022-03-23,3357705
2022-03-24,4383223
2022-03-25,3893843
2022-03-26,3551898
2022-03-27,1314000
2022-03-28,4471602
2022-03-29,4735481
2022-03-30,3191360
2022-03-31,350400
2022-04-01,5091109
2022-04-02,3554517
2022-04-03,1748096
2022-04-04,3480433
2022-04-05,4714961
2022-04-06,3876918
2022-04-07,5815194
2022-04-08,5847641
2022-04-09,4528789
2022-04-10,1712011
2022-04-11,5067662
2022-04-12,4760671
2022-04-13,4864154
2022-04-14,1888110
2022-04-15,335700
2022-04-16,2094224
2022-04-17,1515024
2022-04-18,5149963
2022-04-19,5061074
2022-04-20,6364551
2022-04-21,4519949
2022-04-22,5148423
2022-04-23,3453767
2022-04-24,1602699
2022-04-25,4904390
2022-04-26,4372806
2022-04-27,4253792
2022-04-28,4463754
2022-04-29,4720119
2022-04-30,353900
2022-05-01,1631024
2022-05-02,1430600
2022-05-03,3997724
2022-05-04,4710310
2022-05-05,4742962
2022-05-06,5386526
2022-05-07,3364272
2022-05-08,1997609
2022-05-09,5148528
2022-05-10,4655374
2022-05-11,5276801
2022-05-12,5611722
2022-05-13,5144186
2022-05-14,2893404
2022-05-15,2383899
2022-05-16,4153874
2022-05-17,5430157
2022-05-18,4798013
2022-05-19,4705172
2022-05-20,3879285
2022-05-21,4095207
2022-05-22,1712258
2022-05-23,4608465
2022-05-24,5219655
2022-05-25,4672387
2022-05-26,3903472
2022-05-27,3694337
2022-05-28,3429407
2022-05-29,1533900
2022-05-30,4398183
2022-05-31,336100
2022-06-01,3457477
2022-06-02,4021951
2022-06-03,4670647
2022-06-04,3690122
2022-06-05,1877754
2022-06-06,3807787
2022-06-07,4242110
2022-06-08,4434010
2022-06-09,4976789
2022-06-10,3851350
2022-06-11,3445467
2022-06-12,1430560
2022-06-13,3979723
2022-06-14,4585938
2022-06-15,4450473
2022-06-16,5885949
2022-06-17,4229603
2022-06-18,3982949
2022-06-19,1958400
2022-06-20,4276863
2022-06-21,4895372
2022-06-22,5751819
2022-06-23,4803306
2022-06-24,5036086
2022-06-25,3767285
2022-06-26,1749858
2022-06-27,4437334
2022-06-28,4853387
2022-06-29,3953937
2022-06-30,414000
2022-07-01,4423352
2022-07-02,2967223
2022-07-03,1721769
2022-07-04,4695000
2022-07-05,4749432
2022-07-06,4225648
2022-07-07,5262840
2022-07-08,5311770
2022-07-09,3942435
2022-07-10,1875862
2022-07-11,4108831
2022-07-12,4681191
2022-07-13,5452358
2022-07-14,4165915
2022-07-15,5118163
2022-07-16,4158556
2022-07-17,1502524
2022-07-18,4517962
2022-07-19,5242139
2022-07-20,4161324
2022-07-21,5036491
2022-07-22,4623335
2022-07-23,3601934
2022-07-24,2272804
2022-07-25,4395991
2022-07-26,4228094
2022-07-27,4904808
2022-07-28,4134658
2022-07-29,4767286
2022-07-30,3398409
2022-07-31,295400
2022-08-01,3672435
2022-08-02,4280461
2022-08-03,4932824
2022-08-04,4294047
2022-08-05,4437429
2022-08-06,3538085
2022-08-07,1735562
2022-08-08,4855254
2022-08-09,5328050
2022-08-10,4234443
2022-08-11,3989328
2022-08-12,5030974
2022-08-13,4849161
2022-08-14,1822400
2022-08-15,2188900
2022-08-16,4789048
2022-08-17,5710625
2022-08-18,4835124
2022-08-19,4380362
2022-08-20,3894630
2022-08-21,1685671
2022-08-22,4942620
2022-08-23,5346187
2022-08-24,5314616
2022-08-25,4956189
2022-08-26,4960750
2022-08-27,4066338
2022-08-28,1718372
2022-08-29,4123380
2022-08-30,4573331
2022-08-31,433824
2022-09-01,4503674
2022-09-02,4384283
2022-09-03,4295153
2022-09-04,1936500
2022-09-05,4460087
2022-09-06,5071406
2022-09-07,4560687
2022-09-08,4496145
2022-09-09,4955026
2022-09-10,3975899
2022-09-11,2025682
2022-09-12,4333845
2022-09-13,4961762
2022-09-14,5290754
2022-09-15,5368668
2022-09-16,4315395
2022-09-17,4266562
2022-09-18,1835900
2022-09-19,3501823
2022-09-20,4798335
2022-09-21,4126220
2022-09-22,4633448
2022-09-23,4601272
2022-09-24,3636597
2022-09-25,1574276
2022-09-26,4038157
2022-09-27,4180952
2022-09-28,4652689
2022-09-29,3920596
2022-09-30,352746
2022-10-01,3519920
2022-10-02,1976998
2022-10-03,2914168
2022-10-04,5191308
2022-10-05,4636874
2022-10-06,3301491
2022-10-07,4969909
2022-10-08,4465645
2022-10-09,1649474
2022-10-10,4513575
2022-10-11,4175199
2022-10-12,5441378
2022-10-13,4645147
2022-10-14,4871298
2022-10-15,3688927
2022-10-16,2091398
2022-10-17,4500017
2022-10-18,4828485
2022-10-19,4483516
2022-10-20,3255024
2022-10-21,4609113
2022-10-22,4066299
2022-10-23,1705323
2022-10-24,4766560
2022-10-25,5074044
2022-10-26,5105432
2022-10-27,3666003
2022-10-28,4838914
2022-10-29,3927172
2022-10-30,1600924
2022-10-31,115000
2022-11-01,4518948
2022-11-02,5324551
2022-11-03,4384801
2022-11-04,4425675
2022-11-05,3909210
2022-11-06,1883150
2022-11-07,4097155
2022-11-08,4718749
2022-11-09,393500
2022-11-10,4966723
2022-11-11,4446059
2022-11-12,3550217
2022-11-13,1581233
2022-11-14,4383802
2022-11-15,5545389
2022-11-16,4995810
2022-11-17,4861857
2022-11-18,5443802
2022-11-19,3822995
2022-11-20,1834112
2022-11-21,3314560
2022-11-22,4212633
2022-11-23,4486336
2022-11-24,4359132
