"fecha","monto_total"
2022-01-03,578100
2022-01-04,2337924
2022-01-05,1900896
2022-01-06,2535186
2022-01-07,2219518
2022-01-08,1113800
2022-01-09,44000
2022-01-10,1316362
2022-01-11,2097100
2022-01-12,1591860
2022-01-13,1408043
2022-01-14,888179
2022-01-15,713124
2022-01-16,875962
2022-01-17,1719897
2022-01-18,1306294
2022-01-19,1357661
2022-01-20,919700
2022-01-21,1431162
2022-01-22,1182613
2022-01-23,36500
2022-01-24,1593470
2022-01-25,2065736
2022-01-26,2162091
2022-01-27,1260979
2022-01-28,2261273
2022-01-29,1105198
2022-01-30,13600
2022-02-01,2301450
2022-02-02,2354667
2022-02-03,1818700
2022-02-04,1133923
2022-02-07,1773700
2022-02-08,1408224
2022-02-09,1426124
2022-02-10,1377524
2022-02-11,1189762
2022-02-12,1000853
2022-02-13,69300
2022-02-14,2245374
2022-02-15,1805444
2022-02-16,1778952
2022-02-17,1820264
2022-02-18,1382372
2022-02-19,1088800
2022-02-20,57800
2022-02-21,1446398
2022-02-22,1696032
2022-02-23,1830736
2022-02-24,2034825
2022-02-25,1820152
2022-02-26,1087124
2022-02-27,746124
2022-03-01,2117012
2022-03-02,2480771
2022-03-03,2464622
2022-03-04,1849131
2022-03-05,2037054
2022-03-06,50300
2022-03-07,1773905
2022-03-08,1972292
2022-03-09,1995050
2022-03-10,2319694
2022-03-11,2097966
2022-03-12,1338898
2022-03-14,1771800
2022-03-15,1498688
2022-03-16,1523511
2022-03-17,1643080
2022-03-18,1604924
2022-03-19,499062
2022-03-21,1293043
2022-03-22,1275884
2022-03-23,224450
2022-03-24,1569758
2022-03-25,526591
2022-03-26,1061610
2022-03-27,29800
2022-03-28,1577791
2022-03-29,1392443
2022-03-30,396559
2022-04-01,1918211
2022-04-02,951624
2022-04-03,51000
2022-04-04,985579
2022-04-05,118700
2022-04-06,1267600
2022-04-07,1119624
2022-04-08,1578598
2022-04-09,1230200
2022-04-10,57500
2022-04-11,1046070
2022-04-12,1129900
2022-04-13,912100
2022-04-14,67200
2022-04-18,1689586
2022-04-19,1587624
2022-04-20,1565724
2022-04-21,529800
2022-04-22,1079099
2022-04-23,71400
2022-04-25,1223392
2022-04-26,1968462
2022-04-27,1263600
2022-04-28,1262174
2022-04-29,1698748
2022-04-30,57800
2022-05-03,1824229
2022-05-04,1618696
2022-05-05,1852658
2022-05-06,1810970
2022-05-07,1114646
2022-05-08,27300
2022-05-09,1043427
2022-05-10,1625300
2022-05-11,1604024
2022-05-12,1641049
2022-05-13,1749826
2022-05-14,222700
2022-05-16,1866506
2022-05-17,1726446
2022-05-18,2312398
2022-05-19,2263440
2022-05-20,1560362
2022-05-21,1077000
2022-05-22,44300
2022-05-23,1574700
2022-05-24,1471530
2022-05-25,2505567
2022-05-26,1654136
2022-05-27,1512698
2022-05-28,1558720
2022-05-29,130500
2022-05-30,1868935
2022-05-31,164800
2022-06-01,1664900
2022-06-02,2338806
2022-06-03,1599115
2022-06-04,1697188
2022-06-05,120800
2022-06-06,477800
2022-06-07,1413078
2022-06-08,2068100
2022-06-09,1924900
2022-06-10,1950198
2022-06-11,1037475
2022-06-12,88500
2022-06-13,1518161
2022-06-14,1422248
2022-06-15,1934024
2022-06-16,1636661
2022-06-17,764100
2022-06-18,1380121
2022-06-19,41200
2022-06-20,2070272
2022-06-21,1451146
2022-06-22,2102385
2022-06-23,980803
2022-06-24,1714865
2022-06-25,482600
2022-06-27,1842447
2022-06-28,2062654
2022-06-29,1709557
2022-06-30,47600
2022-07-01,1423800
2022-07-02,1943537
2022-07-03,134900
2022-07-04,1285334
2022-07-05,534798
2022-07-06,1259300
2022-07-07,1973085
2022-07-08,1843100
2022-07-09,1086934
2022-07-10,70800
2022-07-11,1255300
2022-07-12,1902703
2022-07-13,1212081
2022-07-14,1302050
2022-07-15,1841698
2022-07-16,907509
2022-07-17,92700
2022-07-18,1793564
2022-07-19,1612373
2022-07-20,1287364
2022-07-21,1875712
2022-07-22,1486500
2022-07-23,1151637
2022-07-24,61200
2022-07-25,2139867
2022-07-26,1232624
2022-07-27,1790584
2022-07-28,1526980
2022-07-29,1144012
2022-07-30,1691905
2022-07-31,176800
2022-08-01,1252955
2022-08-02,1880911
2022-08-03,1586854
2022-08-04,1690091
2022-08-05,1388760
2022-08-06,803425
2022-08-07,111600
2022-08-08,1154270
2022-08-09,1244880
2022-08-10,1658328
2022-08-11,2266831
2022-08-12,2020600
2022-08-13,2047525
2022-08-14,96500
2022-08-16,1628571
2022-08-17,2216368
2022-08-18,2057207
2022-08-19,1829000
2022-08-20,953189
2022-08-21,23200
2022-08-22,2345660
2022-08-23,1983192
2022-08-24,1670022
2022-08-25,2136564
2022-08-26,2701462
2022-08-27,2014360
2022-08-28,148962
2022-08-29,1909438
2022-08-30,1315300
2022-08-31,13600
2022-09-01,2098200
2022-09-02,1734800
2022-09-03,1782018
2022-09-04,124836
2022-09-05,1936200
2022-09-06,2452310
2022-09-07,2099341
2022-09-08,2988365
2022-09-09,3487298
2022-09-10,2118927
2022-09-11,197900
2022-09-12,2004624
2022-09-13,2153716
2022-09-14,2137275
2022-09-15,1780135
2022-09-16,1820858
2022-09-17,2098050
2022-09-18,157300
2022-09-19,1073323
2022-09-20,2286750
2022-09-21,1715954
2022-09-22,1541524
2022-09-23,1140940
2022-09-24,625097
2022-09-25,61500
2022-09-26,2140641
2022-09-27,1100266
2022-09-28,2286610
2022-09-29,1697642
2022-09-30,148600
2022-10-01,2082337
2022-10-02,93300
2022-10-04,1712675
2022-10-05,1636022
2022-10-06,665000
2022-10-07,1907285
2022-10-08,2158547
2022-10-09,93200
2022-10-10,251800
2022-10-11,495312
2022-10-12,2457748
2022-10-13,1401598
2022-10-14,2830671
2022-10-15,2540873
2022-10-16,60582
2022-10-17,2240158
2022-10-18,2455218
2022-10-19,2189620
2022-10-20,1509800
2022-10-21,2200303
2022-10-22,1402170
2022-10-23,150300
2022-10-24,2037383
2022-10-25,1461560
2022-10-26,1443000
2022-10-27,1777950
2022-10-28,2443744
2022-10-29,1130443
2022-11-01,2058151
2022-11-02,1923361
2022-11-03,1349550
2022-11-04,2320118
2022-11-05,1585414
2022-11-06,3400
2022-11-07,2638205
2022-11-08,3195078
2022-11-09,158250
2022-11-10,2712784
2022-11-11,2963954
2022-11-12,2272482
2022-11-14,2502332
2022-11-15,3519264
2022-11-16,2742898
2022-11-17,2486944
2022-11-18,2020362
2022-11-19,1239022
2022-11-21,1915998
2022-11-22,2464062
2022-11-23,2139999
2022-11-24,2569316
2022-11-25,2519008
2022-11-26,614800
2022-11-27,65900
2022-11-28,3190198
2022-11-29,2366771
2022-11-30,128843
2022-12-01,2621290
2022-12-02,2764745
2022-12-03,2248965
2022-12-04,81600
2022-12-05,2723170
2022-12-06,2992585
2022-12-07,3808095
2022-12-08,321934
2022-12-09,2676934
2022-12-10,2688948
2022-12-11,99900
2022-12-12,2897455
2022-12-13,2466227
2022-12-14,1782364
2022-12-15,2335261
2022-12-16,3219100
2022-12-17,2132250
2022-12-18,301962
2022-12-19,2791873
2022-12-20,2882170
2022-12-21,3132307
2022-12-22,3290023
2022-12-23,2513789
2022-12-24,1854725
2022-12-26,2210454
2022-12-27,2261880
2022-12-28,2584356
2022-12-29,2416833
2022-12-30,2812876
2023-01-02,2389537
2023-01-03,1955520
2023-01-04,2499917
2023-01-05,3100177
2023-01-06,2919932
2023-01-07,2136149
2023-01-08,247324
2023-01-09,2844958
2023-01-10,2266108
2023-01-11,2553662
2023-01-12,3056878
2023-01-13,2637187
2023-01-14,2287812
2023-01-15,10200
2023-01-16,2110417
2023-01-17,2437000
2023-01-18,2915145
2023-01-19,2393746
2023-01-20,3145068
2023-01-21,2221077
2023-01-22,119300
2023-01-23,2743700
2023-01-24,2921797
2023-01-25,2569527
2023-01-26,2781275
2023-01-27,2906961
2023-01-28,1899474
2023-01-29,99300
2023-01-30,2920140
2023-01-31,123836
2023-02-01,3213564
2023-02-02,2164819
2023-02-03,2579922
2023-02-04,1686892
2023-02-06,2303434
2023-02-07,2761895
2023-02-08,2241508
2023-02-09,2038049
2023-02-10,3411716
2023-02-11,2029833
2023-02-12,150850
2023-02-13,3011374
2023-02-14,3238647
2023-02-15,2225798
2023-02-16,2168849
2023-02-17,2331743
2023-02-18,2060048
2023-02-19,109400
2023-02-20,3003701
2023-02-21,2975520
2023-02-22,3138245
2023-02-23,1892631
2023-02-24,3105202
2023-02-25,1751684
2023-03-01,1977316
2023-03-02,2155847
2023-03-03,2919265
2023-03-04,2562752
2023-03-05,130372
2023-03-06,2528698
2023-03-07,2669325
2023-03-08,1965440
2023-03-09,2683650
2023-03-10,3037198
2023-03-11,2871514
2023-03-12,157700
2023-03-13,2062107
2023-03-14,3327553
2023-03-15,2154481
2023-03-16,2640282
2023-03-17,2395277
2023-03-18,2292662
2023-03-19,50600
2023-03-20,3270860
2023-03-21,3182130
2023-03-22,2900922
2023-03-23,2037492
2023-03-24,2367698
2023-03-25,1755393
2023-03-26,124100
2023-03-27,2809705
2023-03-28,2680970
2023-03-29,2087297
2023-03-30,2526436
2023-03-31,160900
