"fecha","monto_total"
2022-01-20,230900
2022-02-08,119600
2022-02-12,157060
2022-02-13,9200
2022-02-15,144900
2022-02-19,170200
2022-03-20,108298
2022-03-22,156762
2022-04-21,151400
2022-05-03,169500
2022-05-12,2300
2022-05-30,103814
2022-06-06,2300
2022-06-10,137900
2022-06-16,130100
2022-06-18,258200
2022-06-20,177900
2022-07-10,94524
2022-07-23,92000
2022-07-24,178648
2022-07-27,9200
2022-08-06,66400
2022-08-07,105800
2022-08-12,76100
2022-08-13,127468
2022-08-14,89700
2022-09-01,251962
2022-09-02,264700
2022-09-03,231300
2022-09-17,2300
2022-09-18,191200
2022-09-19,126351
2022-09-20,396000
2022-09-23,429224
2022-09-24,204500
2022-09-26,260754
2022-09-28,142600
2022-10-06,41400
2022-10-15,187000
2022-10-30,4600
2022-11-04,170400
2022-11-05,410400
2022-11-14,102800
2022-11-24,32672
2022-11-25,25300
2022-11-28,173200
2022-12-01,211234
2022-12-02,92000
2022-12-07,426700
2022-12-12,37900
2022-12-13,34500
2022-12-19,443700
2022-12-21,172825
2022-12-22,169300
2022-12-23,57700
2022-12-26,306500
2023-01-09,287148
2023-01-10,354324
2023-01-15,482750
2023-01-16,58600
2023-01-17,151200
2023-01-18,156900
2023-01-21,255000
2023-01-27,324700
2023-01-28,6900
2023-01-29,322700
2023-02-01,206326
2023-02-02,69600
2023-02-03,18400
2023-02-07,22200
2023-02-23,2300
2023-03-04,87100
2023-03-15,146198
2023-03-19,143000
2023-03-20,151641
2023-03-21,4600
2023-03-23,184000
2023-03-24,249697
