"fecha","monto_total"
2022-01-01,124200
2022-01-02,759000
2022-01-03,1274046
2022-01-04,2202800
2022-01-05,2012572
2022-01-06,1891778
2022-01-07,1271000
2022-01-08,1155581
2022-01-09,507662
2022-01-10,1696800
2022-01-11,2065584
2022-01-12,1973686
2022-01-13,2219491
2022-01-14,1816986
2022-01-15,1371953
2022-01-16,636899
2022-01-17,1835008
2022-01-18,2499062
2022-01-19,1959014
2022-01-20,1805422
2022-01-21,1919862
2022-01-22,1332216
2022-01-23,440335
2022-01-24,2386507
2022-01-25,2486062
2022-01-26,2099539
2022-01-27,2188175
2022-01-28,1751227
2022-01-29,1214893
2022-01-30,499768
2022-02-01,2231343
2022-02-02,2625000
2022-02-03,2693856
2022-02-04,2463801
2022-02-05,1070824
2022-02-06,694650
2022-02-07,2772062
2022-02-08,2405062
2022-02-09,2263762
2022-02-10,2601111
2022-02-11,2823800
2022-02-12,1694992
2022-02-13,720400
2022-02-14,2583725
2022-02-15,2557770
2022-02-16,2767325
2022-02-17,3202866
2022-02-18,2052612
2022-02-19,1806758
2022-02-20,641496
2022-02-21,3046506
2022-02-22,3169558
2022-02-23,3053100
2022-02-24,2920164
2022-02-25,2692096
2022-02-26,1910024
2022-02-27,688600
2022-03-01,2383964
2022-03-02,3435102
2022-03-03,2035248
2022-03-04,3396914
2022-03-05,1501589
2022-03-06,865000
2022-03-07,2723145
2022-03-08,3223450
2022-03-09,3266518
2022-03-10,2854890
2022-03-11,1831655
2022-03-12,1557112
2022-03-13,639260
2022-03-14,3303762
2022-03-15,2869902
2022-03-16,3753737
2022-03-17,3100248
2022-03-18,2999599
2022-03-19,2152686
2022-03-20,740600
2022-03-21,2609530
2022-03-22,3077266
2022-03-23,2787134
2022-03-24,2163484
2022-03-25,3017061
2022-03-26,1681563
2022-03-27,787700
2022-03-28,2342210
2022-03-29,2702948
2022-03-30,2422898
2022-03-31,218400
2022-04-01,3101324
2022-04-02,2176582
2022-04-03,828200
2022-04-04,2482572
2022-04-05,2660370
2022-04-06,2659870
2022-04-07,3289244
2022-04-08,3014394
2022-04-09,1980622
2022-04-10,931450
2022-04-11,2094062
2022-04-12,2921253
2022-04-13,2255554
2022-04-14,739300
2022-04-15,108299
2022-04-16,1285374
2022-04-17,697556
2022-04-18,3150462
2022-04-19,3676164
2022-04-20,3587858
2022-04-21,2717662
2022-04-22,3140565
2022-04-23,2151345
2022-04-24,840074
2022-04-25,3510649
2022-04-26,2777454
2022-04-27,3079686
2022-04-28,3348086
2022-04-29,3133138
2022-04-30,115600
2022-05-01,895358
2022-05-02,781400
2022-05-03,1982536
2022-05-04,2528771
2022-05-05,2109061
2022-05-06,3173989
2022-05-07,2215312
2022-05-08,1065993
2022-05-09,3315989
2022-05-10,3464154
2022-05-11,2549481
2022-05-12,3256541
2022-05-13,3403536
2022-05-14,1322962
2022-05-15,898200
2022-05-16,2393770
2022-05-17,3367428
2022-05-18,2048718
2022-05-19,2305006
2022-05-20,2805659
2022-05-21,2588114
2022-05-22,751500
2022-05-23,3121833
2022-05-24,3313331
2022-05-25,2435461
2022-05-26,2337400
2022-05-27,2982801
2022-05-28,1761852
2022-05-29,702624
2022-05-30,1434486
2022-05-31,249100
2022-06-01,2879806
2022-06-02,2588855
2022-06-03,3233374
2022-06-04,2308162
2022-06-05,930172
2022-06-06,3102200
2022-06-07,2770277
2022-06-08,2901099
2022-06-09,2950319
2022-06-10,2804556
2022-06-11,1751096
2022-06-12,819400
2022-06-13,2307870
2022-06-14,3413998
2022-06-15,2744846
2022-06-16,3696930
2022-06-17,3063247
2022-06-18,1917365
2022-06-19,1006950
2022-06-20,2472870
2022-06-21,2951738
2022-06-22,2991491
2022-06-23,2796366
2022-06-24,3194798
2022-06-25,2133787
2022-06-26,717050
2022-06-27,2954562
2022-06-28,3056141
2022-06-29,3080821
2022-06-30,98900
2022-07-01,2678473
2022-07-02,1639677
2022-07-03,1027534
2022-07-04,2694306
2022-07-05,3114752
2022-07-06,3352773
2022-07-07,3978360
2022-07-08,3138984
2022-07-09,2603474
2022-07-10,807600
2022-07-11,2580662
2022-07-12,3674688
2022-07-13,3914763
2022-07-14,2513611
2022-07-15,2907054
2022-07-16,1824701
2022-07-17,860224
2022-07-18,3321124
2022-07-19,2640175
2022-07-20,3300683
2022-07-21,2861658
2022-07-22,3152238
2022-07-23,1747110
2022-07-24,989986
2022-07-25,2547729
2022-07-26,2616672
2022-07-27,2196486
2022-07-28,1741634
2022-07-29,1969629
2022-07-30,2080688
2022-07-31,59100
2022-08-01,3268059
2022-08-02,3210526
2022-08-03,2877603
2022-08-04,3005724
2022-08-05,3659741
2022-08-06,2244636
2022-08-07,729312
2022-08-08,2991911
2022-08-09,3465300
2022-08-10,2798538
2022-08-11,3744583
2022-08-12,3073628
2022-08-13,2133329
2022-08-14,1045486
2022-08-15,1158731
2022-08-16,2856095
2022-08-17,2877730
2022-08-18,3426494
2022-08-19,2641876
2022-08-20,2202949
2022-08-21,929400
2022-08-22,2894306
2022-08-23,3395736
2022-08-24,2670925
2022-08-25,2397484
2022-08-26,2829528
2022-08-27,1943360
2022-08-28,816517
2022-08-29,1805548
2022-08-30,3124283
2022-08-31,403512
2022-09-01,2748514
2022-09-02,2225258
2022-09-03,1349083
2022-09-04,1130748
2022-09-05,3151421
2022-09-06,3523012
2022-09-07,3693743
2022-09-08,2873833
2022-09-09,2915547
2022-09-10,2330606
2022-09-11,806750
2022-09-12,2032374
2022-09-13,3462229
2022-09-14,3316609
2022-09-15,3391714
2022-09-16,3122482
2022-09-17,1414837
2022-09-18,941377
2022-09-19,3258285
2022-09-20,2777173
2022-09-21,2976542
2022-09-22,3507696
2022-09-23,3904296
2022-09-24,1860902
2022-09-25,573300
2022-09-26,3718924
2022-09-27,2844796
2022-09-28,3120724
2022-09-29,2630262
2022-09-30,116000
2022-10-01,1218524
2022-10-02,753757
2022-10-03,1254381
2022-10-04,2929142
2022-10-05,3522180
2022-10-06,2845544
2022-10-07,4079962
2022-10-08,2357990
2022-10-09,958762
2022-10-10,2652941
2022-10-11,2753718
2022-10-12,3268648
2022-10-13,2391409
2022-10-14,2851039
2022-10-15,2492216
2022-10-16,794500
2022-10-17,3493065
2022-10-18,3806630
2022-10-19,3440493
2022-10-20,2708849
2022-10-21,3056678
2022-10-22,2699790
2022-10-23,856000
2022-10-24,2937458
2022-10-25,3461300
2022-10-26,2713266
2022-10-27,3004973
2022-10-28,3025808
2022-10-29,1369803
2022-10-30,888773
2022-11-01,3050836
2022-11-02,3265941
2022-11-03,2914225
2022-11-04,4314366
2022-11-05,2054662
2022-11-06,704800
2022-11-07,3361450
2022-11-08,2533252
2022-11-09,43800
2022-11-10,3514867
2022-11-11,4777852
2022-11-12,2537648
2022-11-13,686427
2022-11-14,4489472
2022-11-15,3075235
2022-11-16,3143428
2022-11-17,3566683
2022-11-18,3403996
2022-11-19,1854498
2022-11-20,1017474
2022-11-21,2097273
2022-11-22,2883405
2022-11-23,3324000
2022-11-24,2692101
2022-11-25,2822134
2022-11-26,2153122
2022-11-27,1043846
2022-11-28,2740931
2022-11-29,2978755
2022-11-30,89600
2022-12-01,3088255
2022-12-02,3058532
2022-12-03,2583621
2022-12-04,914321
2022-12-05,3390667
2022-12-06,2484065
2022-12-07,2566922
2022-12-08,772577
2022-12-09,3406571
2022-12-10,2279630
2022-12-11,1126600
2022-12-12,2626856
2022-12-13,3204212
2022-12-14,2930857
2022-12-15,3540585
2022-12-16,2769463
2022-12-17,2003276
2022-12-18,1634027
2022-12-19,2942350
2022-12-20,2771100
2022-12-21,2814008
2022-12-22,3010347
2022-12-23,2431411
2022-12-24,1407012
2022-12-25,155600
2022-12-26,2795071
2022-12-27,3109185
2022-12-28,2016230
2022-12-29,2679974
2022-12-30,2325057
2022-12-31,106700
2023-01-01,191200
2023-01-02,1763092
2023-01-03,2443589
2023-01-04,2633962
2023-01-05,2661821
2023-01-06,1958111
2023-01-07,1985933
2023-01-08,906200
2023-01-09,2783826
2023-01-10,2758428
2023-01-11,2599600
2023-01-12,4011989
2023-01-13,2571892
2023-01-14,1492860
2023-01-15,683500
2023-01-16,1937182
2023-01-17,3295022
2023-01-18,2454824
2023-01-19,2255480
2023-01-20,2801606
2023-01-21,2035053
2023-01-22,734520
2023-01-23,3093537
2023-01-24,2360424
2023-01-25,3178730
2023-01-26,2685383
2023-01-27,3363363
2023-01-28,2695575
2023-01-29,851299
2023-01-30,1948672
2023-01-31,79700
2023-02-01,2684752
2023-02-02,2533873
2023-02-03,2840129
2023-02-04,1758425
2023-02-05,781300
2023-02-06,3025967
2023-02-07,2756350
2023-02-08,3557993
2023-02-09,2318262
2023-02-10,2709892
2023-02-11,2626959
2023-02-12,711200
2023-02-13,2940562
2023-02-14,2943979
2023-02-15,3786153
2023-02-16,3169244
2023-02-17,3409291
2023-02-18,1558721
2023-02-19,651534
2023-02-20,2797973
2023-02-21,3402400
2023-02-22,2928238
2023-02-23,2527920
2023-02-24,3510355
2023-02-25,1637046
2023-02-26,630398
2023-02-27,1036381
2023-03-01,3305167
2023-03-02,3156195
2023-03-03,1824085
2023-03-04,1610523
2023-03-05,805750
2023-03-06,3052559
2023-03-07,2856440
2023-03-08,3124002
2023-03-09,3739182
2023-03-10,2646458
2023-03-11,1570130
2023-03-12,915208
2023-03-13,3049862
2023-03-14,2988700
2023-03-15,2667796
2023-03-16,3302781
2023-03-17,3106438
2023-03-18,1896622
2023-03-19,762300
2023-03-20,2708147
2023-03-21,2635696
2023-03-22,2337577
2023-03-23,3202224
2023-03-24,3282280
2023-03-25,1726182
2023-03-26,1079812
2023-03-27,2845904
2023-03-28,3098939
2023-03-29,2821789
2023-03-30,3354802
2023-03-31,304900
