"fecha","monto_total"
2022-01-01,125700
2022-01-02,339200
2022-01-03,663800
2022-01-04,410800
2022-01-05,532024
2022-01-06,852298
2022-01-07,1054624
2022-01-08,247600
2022-01-09,992120
2022-01-10,722500
2022-01-11,882486
2022-01-12,572424
2022-01-13,881722
2022-01-14,653362
2022-01-15,223000
2022-01-16,951586
2022-01-17,1214834
2022-01-18,746622
2022-01-19,1173946
2022-01-20,806636
2022-01-21,604962
2022-01-22,71300
2022-01-23,1252444
2022-01-24,1016858
2022-01-25,617100
2022-01-26,760800
2022-01-27,858000
2022-01-28,418339
2022-01-29,25300
2022-01-30,1108400
2022-01-31,4600
2022-02-01,523866
2022-02-02,940762
2022-02-03,1143174
2022-02-04,780299
2022-02-05,135700
2022-02-06,952736
2022-02-07,1198248
2022-02-08,1641996
2022-02-09,1253250
2022-02-10,1205700
2022-02-11,1430910
2022-02-13,1405172
2022-02-14,1791148
2022-02-15,1893682
2022-02-16,1328422
2022-02-17,698024
2022-02-18,1283648
2022-02-19,539962
2022-02-20,1378548
2022-02-21,1359522
2022-02-22,798600
2022-02-23,1071748
2022-02-24,788156
2022-02-25,504900
2022-02-26,57500
2022-02-27,871000
2022-02-28,6900
2022-03-01,749862
2022-03-02,1230224
2022-03-03,1146500
2022-03-04,483300
2022-03-05,2300
2022-03-06,1155500
2022-03-07,1228910
2022-03-08,525900
2022-03-09,1549900
2022-03-10,1567625
2022-03-11,1088572
2022-03-12,351162
2022-03-13,1345227
2022-03-14,1119856
2022-03-15,1138097
2022-03-16,1842400
2022-03-17,1245500
2022-03-18,1538579
2022-03-19,217479
2022-03-20,1405899
2022-03-21,1035976
2022-03-22,1097600
2022-03-23,1272386
2022-03-24,944062
2022-03-25,2282467
2022-03-27,1434198
2022-03-28,1436962
2022-03-29,1448436
2022-03-30,1264374
2022-03-31,58900
2022-04-01,986880
2022-04-02,187200
2022-04-03,1415151
2022-04-04,1309286
2022-04-05,1405200
2022-04-06,972562
2022-04-07,1923962
2022-04-08,1471500
2022-04-09,630702
2022-04-10,1495422
2022-04-11,1414600
2022-04-12,1279196
2022-04-13,834800
2022-04-14,856200
2022-04-15,511910
2022-04-16,698250
2022-04-17,965582
2022-04-18,633500
2022-04-19,888400
2022-04-20,1887900
2022-04-21,1158808
2022-04-22,1703841
2022-04-23,513950
2022-04-24,1301700
2022-04-25,1345998
2022-04-26,1421898
2022-04-27,1586962
2022-04-28,2201924
2022-04-29,1108924
2022-04-30,54400
2022-05-01,1327912
2022-05-02,237400
2022-05-03,1246262
2022-05-04,1406998
2022-05-05,1516099
2022-05-06,1857100
2022-05-07,83300
2022-05-08,1813937
2022-05-09,1683022
2022-05-10,1091155
2022-05-11,1442967
2022-05-12,1016700
2022-05-13,1435700
2022-05-15,1353248
2022-05-16,1226250
2022-05-17,2272984
2022-05-18,1390851
2022-05-19,1899169
2022-05-20,1231000
2022-05-21,694800
2022-05-22,1424686
2022-05-23,1489900
2022-05-24,1133361
2022-05-25,1819267
2022-05-26,1073460
2022-05-27,1665723
2022-05-28,603824
2022-05-29,1163100
2022-05-30,1287159
2022-05-31,2300
2022-06-01,1368369
2022-06-02,1110636
2022-06-03,1424397
2022-06-04,670600
2022-06-05,1280247
2022-06-06,2313013
2022-06-07,2564962
2022-06-08,2355584
2022-06-09,1859200
2022-06-10,2347707
2022-06-11,357462
2022-06-12,1265186
2022-06-13,2307462
2022-06-14,1936700
2022-06-15,1794573
2022-06-16,1205201
2022-06-17,1877762
2022-06-19,1189503
2022-06-20,2292635
2022-06-21,1564372
2022-06-22,2016789
2022-06-23,1464121
2022-06-24,1798080
2022-06-25,623426
2022-06-26,1343410
