"fecha","monto_total"
2022-01-01,302562
2022-01-02,640196
2022-01-03,1239421
2022-01-04,2612232
2022-01-05,2906872
2022-01-06,2097827
2022-01-07,1981924
2022-01-08,3304287
2022-01-10,2417160
2022-01-11,1547262
2022-01-12,1638735
2022-01-13,2665200
2022-01-14,1913896
2022-01-15,4031770
2022-01-17,1927688
2022-01-18,1889497
2022-01-19,3204215
2022-01-20,1393793
2022-01-21,3750561
2022-01-22,3813926
2022-01-23,129000
2022-01-24,2818047
2022-01-25,3229497
2022-01-26,1549363
2022-01-27,2415265
2022-01-28,2421367
2022-01-29,3886702
2022-01-30,255800
2022-02-01,3480434
2022-02-02,3820820
2022-02-03,3398035
2022-02-04,2997970
2022-02-05,3572372
2022-02-06,372236
2022-02-07,3416012
2022-02-08,3584244
2022-02-09,3257526
2022-02-10,3627760
2022-02-11,2359147
2022-02-12,4004934
2022-02-13,170048
2022-02-14,2886751
2022-02-15,2599865
2022-02-16,4103193
2022-02-17,3906737
2022-02-18,4413061
2022-02-19,3419585
2022-02-20,220400
2022-02-21,3583578
2022-02-22,2987922
2022-02-23,2968464
2022-02-24,3976813
2022-02-25,4255884
2022-02-26,4592559
2022-02-27,328162
2022-03-01,3714331
2022-03-02,4113454
2022-03-03,3832307
2022-03-04,4555393
2022-03-05,4380779
2022-03-06,133900
2022-03-07,4896620
2022-03-08,5078882
2022-03-09,3477241
2022-03-10,2515362
2022-03-11,3634133
2022-03-12,3911003
2022-03-13,84294
2022-03-14,5276177
2022-03-15,4157672
2022-03-16,2545298
2022-03-17,3166810
2022-03-18,3567164
2022-03-19,3665104
2022-03-20,297898
2022-03-21,4060031
2022-03-22,3442724
2022-03-23,2472293
2022-03-24,3834204
2022-03-25,3201116
2022-03-26,4217160
2022-03-27,219650
2022-03-28,3389856
2022-03-29,4169025
2022-03-30,2658477
2022-03-31,100200
2022-04-01,3917879
2022-04-02,5249016
2022-04-03,149100
2022-04-04,3195915
2022-04-05,3384534
2022-04-06,4091111
2022-04-07,2867224
2022-04-08,3683813
2022-04-09,4204165
2022-04-10,228248
2022-04-11,3688648
2022-04-12,3849426
2022-04-13,4332736
2022-04-14,1972007
2022-04-15,61200
2022-04-16,2809736
2022-04-17,321248
2022-04-18,3855443
2022-04-19,3685281
2022-04-20,3682207
2022-04-21,4207745
2022-04-22,3824872
2022-04-23,4118317
2022-04-24,517896
2022-04-25,3144842
2022-04-26,3620970
2022-04-27,1641898
2022-04-28,2493079
2022-04-29,4144708
2022-04-30,284600
2022-05-02,2039932
2022-05-03,4449197
2022-05-04,4649119
2022-05-05,3353414
2022-05-06,2877846
2022-05-07,4487948
2022-05-08,133800
2022-05-09,2863423
2022-05-10,3851388
2022-05-11,5415156
2022-05-12,5140252
2022-05-13,5627813
2022-05-14,4055267
2022-05-15,190724
2022-05-16,5214400
2022-05-17,4153098
2022-05-18,4716441
2022-05-19,4805408
2022-05-20,3921731
2022-05-21,3274418
2022-05-22,101924
2022-05-23,4451829
2022-05-24,5368987
2022-05-25,4041299
2022-05-26,4029867
2022-05-27,3588198
2022-05-28,4844110
2022-05-29,160400
2022-05-30,4382700
2022-05-31,75900
2022-06-01,4932336
2022-06-02,4390836
2022-06-03,3901530
2022-06-04,4193042
2022-06-05,104500
2022-06-06,3316398
2022-06-07,3435866
2022-06-08,2170512
2022-06-09,3521957
2022-06-10,3094762
2022-06-11,4416850
2022-06-12,127000
2022-06-13,3803757
2022-06-14,4604286
2022-06-15,4268414
2022-06-16,5403652
2022-06-17,4913782
2022-06-18,4844694
2022-06-19,638569
2022-06-20,4170896
2022-06-21,5493307
2022-06-22,2970436
2022-06-23,4026441
2022-06-24,3268840
2022-06-25,3845688
2022-06-26,191000
2022-06-27,3195858
2022-06-28,5017145
2022-06-29,4328686
2022-06-30,44200
2022-07-01,5178352
2022-07-02,4235543
2022-07-03,578836
2022-07-04,4031683
2022-07-05,4700153
2022-07-06,4179215
2022-07-07,5244446
2022-07-08,5543574
2022-07-09,5014407
2022-07-10,468900
2022-07-11,3978829
2022-07-12,3984235
2022-07-13,4107886
2022-07-14,4100234
2022-07-15,4321110
2022-07-16,4405412
2022-07-17,769212
2022-07-18,5107015
2022-07-19,3930965
2022-07-20,4250337
2022-07-21,5349012
2022-07-22,4857157
2022-07-23,4872646
2022-07-24,309400
2022-07-25,4443616
2022-07-26,4083693
2022-07-27,3676465
2022-07-28,4828896
2022-07-29,4251770
2022-07-30,4262306
2022-07-31,311400
2022-08-01,4218190
2022-08-02,4540729
2022-08-03,5577873
2022-08-04,3207015
2022-08-05,4325182
2022-08-06,3796297
2022-08-07,200800
2022-08-08,4002504
2022-08-09,4873466
2022-08-10,3423076
2022-08-11,4230746
2022-08-12,5476650
2022-08-13,4452781
2022-08-14,260800
2022-08-15,2151398
2022-08-16,3579073
2022-08-17,4664787
2022-08-18,5234312
2022-08-19,4591183
2022-08-20,4772798
2022-08-21,323335
2022-08-22,5004627
2022-08-23,3927457
2022-08-24,6472070
2022-08-25,5405470
2022-08-26,4071256
2022-08-27,3314751
2022-08-28,222950
2022-08-29,3124319
2022-08-30,4707407
2022-08-31,46500
2022-09-01,4776829
2022-09-02,3582442
2022-09-03,3407145
2022-09-04,388900
2022-09-05,4650910
2022-09-06,5210005
2022-09-07,2480868
2022-09-08,3199334
2022-09-09,4891808
2022-09-10,3122350
2022-09-12,3245834
2022-09-13,3241772
2022-09-14,3325919
2022-09-15,4004847
2022-09-16,3784118
2022-09-17,3569216
2022-09-18,175200
2022-09-19,2916229
2022-09-20,4223255
2022-09-21,3690852
2022-09-22,3949997
2022-09-23,4436955
2022-09-24,3999870
2022-09-25,172000
2022-09-26,3124172
2022-09-27,3653220
2022-09-28,4518086
2022-09-29,4863551
2022-09-30,330000
2022-10-01,3576229
2022-10-02,215599
2022-10-03,2178843
2022-10-04,4558429
2022-10-05,4077377
2022-10-06,3455781
2022-10-07,3392545
2022-10-08,3422216
2022-10-09,65600
2022-10-10,2920775
2022-10-11,3409460
2022-10-12,4016257
2022-10-13,3413586
2022-10-14,4850195
2022-10-15,4045988
2022-10-16,712750
2022-10-17,4597443
2022-10-18,3833010
2022-10-19,4763337
2022-10-20,3708463
2022-10-21,4685472
2022-10-22,3993040
2022-10-23,279700
2022-10-24,4908505
2022-10-25,4234603
2022-10-26,3572880
2022-10-27,4557069
2022-10-28,4634075
2022-10-29,4082613
2022-11-01,4142333
2022-11-02,4039032
2022-11-03,4727095
2022-11-04,4555061
2022-11-05,4823047
2022-11-06,179900
2022-11-07,4241045
2022-11-08,4858090
2022-11-09,30600
2022-11-10,2924723
2022-11-11,3750857
2022-11-12,3887554
2022-11-13,51000
2022-11-14,5740943
2022-11-15,5226953
2022-11-16,5339501
2022-11-17,3188128
2022-11-18,4567479
2022-11-19,2604480
2022-11-20,321357
2022-11-21,3362629
2022-11-22,4825330
2022-11-23,4939649
2022-11-24,4208693
2022-11-25,4282416
2022-11-26,3561900
2022-11-27,201253
2022-11-28,4691922
2022-11-29,4911285
2022-11-30,307900
2022-12-01,4169318
2022-12-02,5397920
2022-12-03,4680244
2022-12-04,201000
2022-12-05,3873256
2022-12-06,3822901
2022-12-07,5406366
2022-12-08,168448
2022-12-09,3704368
2022-12-10,4574472
2022-12-12,6354670
2022-12-13,4687134
2022-12-14,3536313
2022-12-15,4538429
2022-12-16,4326178
2022-12-17,4724654
2022-12-18,263600
2022-12-19,3688586
2022-12-20,4188188
2022-12-21,3897732
2022-12-22,5873050
2022-12-23,4608016
2022-12-24,3301520
2022-12-25,6800
2022-12-26,3521810
2022-12-27,5046097
2022-12-28,3649902
2022-12-29,3922405
2022-12-30,3477157
2022-12-31,150910
2023-01-01,558438
2023-01-02,2523234
2023-01-03,3543972
2023-01-04,3829484
2023-01-05,3309021
2023-01-06,3413951
2023-01-07,2784135
2023-01-09,2695580
2023-01-10,3593397
2023-01-11,3177662
2023-01-12,3793846
2023-01-13,3789886
2023-01-14,4115656
2023-01-15,256500
2023-01-16,3235395
2023-01-17,3864460
2023-01-18,4200058
2023-01-19,3399263
2023-01-20,4105594
2023-01-21,3443581
2023-01-22,44200
2023-01-23,4458150
2023-01-24,3820674
2023-01-25,4620100
2023-01-26,3780749
2023-01-27,4100914
2023-01-28,2794851
2023-01-29,493600
2023-01-30,2862657
2023-02-01,4071160
2023-02-02,4021431
2023-02-03,3930671
2023-02-04,3157770
2023-02-06,4610118
2023-02-07,4267857
2023-02-08,3528887
2023-02-09,3154748
2023-02-10,3105781
2023-02-11,4297537
2023-02-12,3400
2023-02-13,2981620
2023-02-14,3233070
2023-02-15,3785729
2023-02-16,4504823
2023-02-17,3571190
2023-02-18,3145198
2023-02-19,19400
2023-02-20,2801012
2023-02-21,4425410
2023-02-22,2842935
2023-02-23,3910362
2023-02-24,3498418
2023-02-25,4060617
2023-02-26,239600
2023-02-27,854600
2023-03-01,3321477
2023-03-02,3973432
2023-03-03,4461447
2023-03-04,4109134
2023-03-05,925090
2023-03-06,5061548
2023-03-07,4717820
2023-03-08,5098798
2023-03-09,4162689
2023-03-10,4812408
2023-03-11,5241009
2023-03-12,177400
2023-03-13,4270679
2023-03-14,4308265
2023-03-15,5347851
2023-03-16,4744697
2023-03-17,5180395
2023-03-18,3332116
2023-03-19,231600
2023-03-20,5061893
2023-03-21,4055804
2023-03-22,3960060
2023-03-23,4309755
2023-03-24,3352122
2023-03-25,4578001
2023-03-26,244600
2023-03-27,4665700
2023-03-28,4352509
2023-03-29,3335875
2023-03-30,4516270
2023-03-31,437200
