"fecha","monto_total"
2022-01-01,420688
2022-01-02,838100
2022-01-03,2783340
2022-01-04,5133120
2022-01-05,4743257
2022-01-06,3717014
2022-01-07,5227532
2022-01-08,4063118
2022-01-09,208200
2022-01-10,4064551
2022-01-11,3764217
2022-01-12,3086547
2022-01-13,4249430
2022-01-14,4204329
2022-01-15,3646440
2022-01-16,66600
2022-01-17,4350444
2022-01-18,3649424
2022-01-19,4335443
2022-01-20,3038662
2022-01-21,4506452
2022-01-22,4102190
2022-01-23,157000
2022-01-24,4657767
2022-01-25,4151924
2022-01-26,3521014
2022-01-27,4071422
2022-01-28,3258553
2022-01-29,4013403
2022-01-30,57800
2022-02-01,5090505
2022-02-02,4316197
2022-02-03,5378292
2022-02-04,4809686
2022-02-05,4060932
2022-02-06,142812
2022-02-07,6122901
2022-02-08,4926854
2022-02-09,4578860
2022-02-10,5550296
2022-02-11,4459442
2022-02-12,4280446
2022-02-13,129862
2022-02-14,4635924
2022-02-15,5143518
2022-02-16,4440768
2022-02-17,5258823
2022-02-18,5636122
2022-02-19,4524024
2022-02-21,5518801
2022-02-22,5413080
2022-02-23,5608247
2022-02-24,4818623
2022-02-25,5059351
2022-02-26,4820306
2022-02-27,648000
2022-03-01,4682062
2022-03-02,4745883
2022-03-03,5262844
2022-03-04,5132088
2022-03-05,4541356
2022-03-06,20400
2022-03-07,6273884
2022-03-08,5270014
2022-03-09,5248963
2022-03-10,4546132
2022-03-11,4410507
2022-03-12,4791026
2022-03-13,61200
2022-03-14,5408762
2022-03-15,4323917
2022-03-16,5279674
2022-03-17,3944817
2022-03-18,4929675
2022-03-19,3627159
2022-03-20,114800
2022-03-21,6477829
2022-03-22,4746244
2022-03-23,3826368
2022-03-24,4377048
2022-03-25,3750587
2022-03-26,4057996
2022-03-27,94700
2022-03-28,5393251
2022-03-29,6153930
2022-03-30,4120324
2022-04-01,5537734
2022-04-02,5472350
2022-04-03,223093
2022-04-04,4622434
2022-04-05,4976976
2022-04-06,4691668
2022-04-07,5837034
2022-04-08,4888527
2022-04-09,4700369
2022-04-10,277075
2022-04-11,5198464
2022-04-12,4989028
2022-04-13,5206009
2022-04-14,2333996
2022-04-15,34000
2022-04-16,2667624
2022-04-17,161900
2022-04-18,5404795
2022-04-19,5959273
2022-04-20,4344176
2022-04-21,5170017
2022-04-22,4965177
2022-04-23,3880781
2022-04-24,684094
2022-04-25,5225663
2022-04-26,5443665
2022-04-27,5381356
2022-04-28,4482899
2022-04-29,4237768
2022-05-02,2190710
2022-05-03,5698019
2022-05-04,6029898
2022-05-05,5035884
2022-05-06,5433099
2022-05-07,4702964
2022-05-08,108800
2022-05-09,5373242
2022-05-10,4348870
2022-05-11,6233040
2022-05-12,6344270
2022-05-13,5532728
