"fecha","monto_total"
2022-01-01,528700
2022-01-02,493000
2022-01-03,3467422
2022-01-04,4506550
2022-01-05,4431030
2022-01-06,4877752
2022-01-07,3462443
2022-01-08,4467556
2022-01-09,244004
2022-01-10,3797603
2022-01-11,3913075
2022-01-12,4010284
2022-01-13,3599110
2022-01-14,3406192
2022-01-15,3927619
2022-01-16,135900
2022-01-17,4378587
2022-01-18,3846634
2022-01-19,4152942
2022-01-20,3402879
2022-01-21,3885830
2022-01-22,4973285
2022-01-23,44200
2022-01-24,3699136
2022-01-25,3843740
2022-01-26,4048864
2022-01-27,3649347
2022-01-28,2479999
2022-01-29,4111296
2022-01-30,99800
2022-02-01,4009398
2022-02-02,4303491
2022-02-03,4661879
2022-02-04,4333084
2022-02-05,4785685
2022-02-06,269400
2022-02-07,4671636
2022-02-08,4656565
2022-02-09,4714090
2022-02-10,4264314
2022-02-11,5290525
2022-02-12,6112814
2022-02-13,151100
2022-02-14,4657331
2022-02-15,4557330
2022-02-16,4582982
2022-02-17,5174060
2022-02-18,6900597
2022-02-19,5358201
2022-02-20,131900
2022-02-21,4438785
2022-02-22,5812919
2022-02-23,4902819
2022-02-24,5398432
2022-02-25,5851716
2022-02-26,5387391
2022-02-27,349162
2022-03-01,4396020
2022-03-02,3518372
2022-03-03,4895997
2022-03-04,5774120
2022-03-05,5844617
2022-03-06,358000
2022-03-07,5624686
2022-03-08,4717537
2022-03-09,5690291
2022-03-10,5022167
2022-03-11,5397322
2022-03-12,5385320
2022-03-13,106762
2022-03-14,4946968
2022-03-15,5422245
2022-03-16,5209018
2022-03-17,4495998
2022-03-18,4171200
2022-03-19,4237804
2022-03-20,86000
2022-03-21,4759512
2022-03-22,5370623
2022-03-23,3876161
2022-03-24,4225996
2022-03-25,3879562
2022-03-26,5826168
2022-03-27,115200
2022-03-28,4594844
2022-03-29,5830615
2022-03-30,4409724
2022-03-31,44200
2022-04-01,5635015
2022-04-02,5959902
2022-04-03,60500
2022-04-04,4621139
2022-04-05,4605926
2022-04-06,5076417
2022-04-07,5077316
2022-04-08,5766716
2022-04-09,6103436
2022-04-10,142800
2022-04-11,5745232
2022-04-12,6089923
2022-04-13,4548492
2022-04-14,2224445
2022-04-15,26700
2022-04-16,1876298
2022-04-17,441800
2022-04-18,6808372
2022-04-19,5305534
2022-04-20,5378040
2022-04-21,5062608
2022-04-22,4429809
2022-04-23,4961045
2022-04-24,388350
2022-04-25,4892524
2022-04-26,5522941
2022-04-27,5065762
2022-04-28,5340207
2022-04-29,3817669
2022-04-30,493824
