"fecha","monto_total"
2022-01-03,291862
2022-01-04,703600
2022-01-05,882336
2022-01-06,953686
2022-01-07,761293
2022-01-10,728624
2022-01-11,1124620
2022-01-12,560000
2022-01-13,787936
2022-01-14,804600
2022-01-17,856200
2022-01-18,723462
2022-01-19,1090099
2022-01-20,957500
2022-01-21,779524
2022-01-24,776462
2022-01-25,845898
2022-01-26,929022
2022-01-27,853300
2022-01-28,695462
2022-02-01,848900
2022-02-02,183500
2022-02-03,1139910
2022-02-04,320700
2022-02-07,649136
2022-02-08,1100900
2022-02-09,880596
2022-02-10,1178900
2022-02-11,1682119
2022-02-14,922310
2022-02-15,784662
2022-02-16,1170828
2022-02-17,1096850
2022-02-18,1150522
2022-02-21,1002598
2022-02-22,1166424
2022-02-23,770725
2022-02-24,493048
2022-02-25,199100
2022-03-01,856036
2022-03-02,815098
2022-03-03,600772
2022-03-04,791798
2022-03-07,1129212
2022-03-08,917148
2022-03-09,1139598
2022-03-10,615062
2022-03-11,906093
2022-03-14,1295800
2022-03-15,848124
2022-03-16,1562124
2022-03-17,390100
2022-03-18,1053450
2022-03-21,1350600
2022-03-22,749100
2022-03-23,735662
2022-03-24,852958
2022-03-25,474824
2022-03-28,780800
2022-03-29,1094100
2022-03-30,982510
2022-04-01,1103500
2022-04-04,627829
2022-04-05,948360
2022-04-06,747161
2022-04-07,1291368
2022-04-08,457536
2022-04-11,689200
2022-04-12,1375620
2022-04-13,1079386
2022-04-14,93900
2022-04-18,314000
2022-04-19,767300
2022-04-20,572200
2022-04-21,1141362
2022-04-22,1233000
2022-04-25,1127262
2022-04-26,1483410
2022-04-27,1312018
2022-04-28,1334601
2022-04-29,1010462
2022-05-03,1150088
2022-05-04,1290100
2022-05-05,1043699
2022-05-06,1099700
2022-05-09,1600486
2022-05-10,673200
2022-05-11,1033246
2022-05-12,332600
2022-05-13,970784
2022-05-16,357100
2022-05-17,882900
2022-05-18,756600
2022-05-19,1124689
2022-05-20,764063
2022-05-23,807400
2022-05-24,484400
2022-05-25,276000
2022-05-26,687100
2022-05-27,287800
2022-05-30,315508
2022-06-01,833275
2022-06-02,447700
2022-06-03,1147600
2022-06-04,2300
2022-06-06,772396
2022-06-07,695000
2022-06-08,960300
2022-06-09,1032625
2022-06-10,1026162
2022-06-11,196424
2022-06-13,1104684
2022-06-14,981300
2022-06-15,967844
2022-06-16,873700
2022-06-17,752100
2022-06-20,975764
2022-06-21,782900
2022-06-22,1203600
2022-06-23,585300
2022-06-24,655024
2022-06-27,1047048
2022-06-28,828200
2022-06-29,1363791
2022-07-01,759300
2022-07-02,246500
2022-07-04,1172400
2022-07-05,1040254
2022-07-06,1059672
2022-07-07,929624
2022-07-08,1076200
2022-07-11,727500
2022-07-12,882824
2022-07-13,611000
2022-07-14,1220796
2022-07-15,512736
2022-07-16,73200
2022-07-18,915712
2022-07-19,699500
2022-07-20,800462
2022-07-21,863848
2022-07-22,1001623
2022-07-25,1372400
2022-07-26,1294000
2022-07-27,1027483
2022-07-28,433598
2022-07-29,1110298
2022-08-01,1206500
2022-08-02,744800
2022-08-03,624784
2022-08-04,1235260
2022-08-05,1286740
2022-08-08,1215555
2022-08-09,1155424
2022-08-10,838734
2022-08-11,1042084
2022-08-12,1098712
2022-08-13,32200
2022-08-15,210800
2022-08-16,607524
2022-08-17,1240006
2022-08-18,869048
2022-08-19,971773
2022-08-20,204700
2022-08-22,1201260
2022-08-23,429700
2022-08-24,1275800
2022-08-25,1188024
2022-08-26,1313896
2022-08-27,530900
2022-08-29,848100
2022-08-30,861210
2022-09-01,1164762
2022-09-02,1267700
2022-09-03,204200
2022-09-05,828180
2022-09-06,1151500
2022-09-07,1000200
2022-09-08,840700
2022-09-09,1582648
2022-09-12,1531561
2022-09-13,1012161
2022-09-14,836000
2022-09-15,835753
2022-09-16,1506062
2022-09-17,258700
2022-09-19,1001529
2022-09-20,1066813
2022-09-21,1126700
2022-09-22,1165624
2022-09-23,1072260
2022-09-26,461986
2022-09-27,629000
2022-09-28,1235362
2022-09-29,884710
2022-10-04,653004
2022-10-05,189248
2022-10-06,700012
2022-10-07,1190101
2022-10-10,1291100
2022-10-11,632800
2022-10-12,826500
2022-10-13,916200
2022-10-14,1095136
2022-10-15,164700
2022-10-17,715250
2022-10-18,922900
2022-10-19,383160
2022-10-20,388276
2022-10-21,973187
2022-10-24,739600
2022-10-25,720300
2022-10-26,685708
2022-10-27,818400
2022-10-28,1155131
2022-11-01,696346
2022-11-02,573200
2022-11-03,914000
2022-11-04,671120
2022-11-07,1402241
2022-11-08,807131
2022-11-10,635800
2022-11-11,814233
2022-11-12,196160
2022-11-14,1356482
2022-11-15,930448
2022-11-16,1210857
2022-11-17,1402414
2022-11-18,963343
2022-11-19,255900
2022-11-21,997329
2022-11-22,506568
2022-11-23,812224
2022-11-24,723600
2022-11-25,1010325
2022-11-26,230824
2022-11-28,765955
2022-11-29,824800
2022-12-01,891356
2022-12-02,848300
2022-12-05,674199
2022-12-06,1175207
2022-12-07,434200
2022-12-09,868362
2022-12-10,144900
2022-12-12,213772
2022-12-13,909588
2022-12-14,679700
2022-12-15,588238
2022-12-16,606300
2022-12-17,383800
2022-12-19,817500
2022-12-20,983074
2022-12-21,496600
2022-12-22,651284
2022-12-23,534800
2022-12-24,43700
2022-12-26,473012
2022-12-27,197782
2022-12-28,476024
2022-12-29,548200
2022-12-30,715550
2023-01-02,502000
2023-01-03,727850
2023-01-04,1027200
2023-01-05,257500
2023-01-06,707777
2023-01-07,448700
2023-01-09,1113098
