"fecha","monto_total"
2022-01-03,127800
2022-01-04,808924
2022-01-05,957000
2022-01-06,445500
2022-01-07,741762
2022-01-08,711000
2022-01-09,222286
2022-01-10,703600
2022-01-11,455700
2022-01-12,257655
2022-01-13,556900
2022-01-15,179000
2022-01-18,254800
2022-01-22,197300
2022-01-23,30000
2022-01-27,3900
2022-01-28,262366
2022-01-29,10500
2022-01-30,1400
2022-02-01,12962
2022-02-02,199958
2022-02-03,12186
2022-02-04,18200
2022-02-05,210200
2022-02-07,8262
2022-02-08,216428
2022-02-09,277662
2022-02-10,306324
2022-02-11,18441
2022-02-12,202762
2022-02-14,231969
2022-02-15,12349
2022-02-16,349436
2022-02-17,9248
2022-02-18,9200
2022-02-19,195100
2022-02-21,27118
2022-02-22,13500
2022-02-23,254924
2022-02-24,12586
2022-02-25,13100
2022-03-01,12148
2022-03-02,333624
2022-03-03,345934
2022-03-04,523071
2022-03-05,1200
2022-03-07,225985
2022-03-08,14521
2022-03-09,19562
2022-03-10,9800
2022-03-11,15553
2022-03-12,7152
2022-03-14,554896
2022-03-15,17433
2022-03-16,516412
2022-03-17,8600
2022-03-18,8347
2022-03-19,207024
2022-03-21,315676
2022-03-22,212024
2022-03-23,242724
2022-03-24,7900
2022-03-25,240262
2022-03-26,4100
2022-03-28,338732
2022-03-29,532200
2022-03-30,49073
2022-03-31,208400
2022-04-01,13358
2022-04-02,8424
2022-04-04,229500
2022-04-05,14886
2022-04-06,5546
2022-04-07,14700
2022-04-08,13224
2022-04-11,11070
2022-04-12,493652
2022-04-13,62324
2022-04-16,81600
2022-04-18,5300
2022-04-19,7262
2022-04-20,4500
2022-04-21,26224
2022-04-22,264700
2022-04-23,274262
2022-04-25,535672
2022-04-26,348699
2022-04-27,469582
2022-04-28,11800
2022-04-29,201600
2022-05-03,1275120
2022-05-05,142500
2022-05-06,118100
2022-05-07,259200
2022-05-09,547925
2022-05-10,284000
2022-05-11,171624
2022-05-12,547898
2022-05-14,135200
2022-05-16,309200
2022-05-19,298700
2022-05-20,459800
2022-05-23,123224
2022-05-24,263234
2022-05-25,273100
2022-05-26,321100
2022-05-27,369900
2022-05-28,141600
2022-05-30,396586
2022-06-01,297498
2022-06-02,285348
2022-06-03,543375
2022-06-04,322700
2022-06-06,360400
2022-06-07,487008
2022-06-08,1053884
2022-06-09,253533
2022-06-10,179324
2022-06-11,237200
2022-06-13,539148
2022-06-14,388255
2022-06-15,522200
2022-06-16,196100
2022-06-20,283000
2022-06-27,227600
2022-06-28,115800
2022-07-07,444500
2022-07-11,125800
2022-07-12,162800
2022-07-13,123700
2022-07-20,164220
2022-07-25,374318
2022-07-27,282000
2022-08-01,263210
2022-08-11,306600
2022-08-18,173400
2022-09-03,186850
2022-09-04,176800
2022-09-10,310200
2022-09-13,186500
2022-09-16,252200
2022-09-21,379600
2022-09-22,180554
2022-09-24,206200
2022-09-26,334162
2022-10-01,235010
2022-10-03,19800
2022-10-07,304500
2022-10-14,101800
2022-10-15,95200
2022-10-19,153700
2022-10-28,286386
2022-12-06,179800
2022-12-23,247241
2022-12-26,90600
2022-12-28,132600
2023-01-03,137700
2023-01-06,93000
2023-01-09,330500
2023-01-23,201200
2023-01-26,152600
2023-01-28,92000
2023-02-03,299100
2023-02-11,16500
2023-03-19,168862
2023-03-22,98400
2023-03-24,87900
2023-03-28,226946
