"fecha","monto_total"
2022-01-03,430624
2022-01-04,557900
2022-01-05,692962
2022-01-06,361700
2022-01-07,658200
2022-01-08,347762
2022-01-10,405200
2022-01-11,917224
2022-01-12,499636
2022-01-13,1236548
2022-01-14,725098
2022-01-15,253100
2022-01-17,997862
2022-01-18,498308
2022-01-19,606211
2022-01-20,558700
2022-01-21,432362
2022-01-22,491562
2022-01-24,353099
2022-01-25,770299
2022-01-26,483904
2022-01-27,339999
2022-01-28,674400
2022-01-29,395100
2022-02-01,427400
2022-02-02,1121162
2022-02-03,553912
2022-02-04,650500
2022-02-05,91600
2022-02-07,807148
2022-02-08,172600
2022-02-09,826200
2022-02-10,885175
2022-02-11,713870
2022-02-12,406800
2022-02-14,463200
2022-02-15,1167389
2022-02-16,453300
2022-02-17,390362
2022-02-18,338308
2022-02-19,550400
2022-02-21,428400
2022-02-22,1190865
2022-02-23,716101
2022-02-24,1761786
2022-02-25,381200
2022-02-26,119000
2022-03-02,620000
2022-03-03,169824
2022-03-04,335400
2022-03-05,83800
2022-03-07,554860
2022-03-08,564200
2022-03-09,735962
2022-03-10,283662
2022-03-11,45562
2022-03-14,834128
2022-03-15,461512
2022-03-16,258622
2022-03-17,1013120
2022-03-18,473100
2022-03-19,815572
2022-03-21,519086
2022-03-22,399424
2022-03-23,73700
2022-03-24,513700
2022-03-25,412200
2022-03-26,549883
2022-03-28,736700
2022-03-29,371300
2022-03-30,96800
2022-04-01,916800
2022-04-02,860288
2022-04-04,296900
2022-04-05,625286
2022-04-06,846499
2022-04-07,1968318
2022-04-08,691262
2022-04-09,741962
2022-04-11,830862
2022-04-12,772086
2022-04-13,940023
2022-04-14,217644
2022-04-15,13600
2022-04-16,682000
2022-04-18,708700
2022-04-19,993100
2022-04-20,1110162
2022-04-21,606262
2022-04-22,1247796
2022-04-23,1100062
2022-04-25,1172616
2022-04-26,2016987
2022-04-27,870100
2022-04-28,1215919
2022-04-29,741200
2022-05-03,722400
