"fecha","monto_total"
2022-01-01,339200
2022-01-02,1362962
2022-01-03,3842970
2022-01-04,4008372
2022-01-05,5673110
2022-01-06,4834146
2022-01-07,4591028
2022-01-08,3595612
2022-01-09,2040401
2022-01-10,4929442
2022-01-11,3404090
2022-01-12,4936611
2022-01-13,4074977
2022-01-14,4918682
2022-01-15,2390690
2022-01-16,1748874
2022-01-17,4156686
2022-01-18,4311324
2022-01-19,3366295
2022-01-20,3574060
2022-01-21,3452830
2022-01-22,3303347
2022-01-23,1164312
2022-01-24,3627313
2022-01-25,4351507
2022-01-26,2836842
2022-01-27,3464197
2022-01-28,4138146
2022-01-29,3365645
2022-01-30,2121874
2022-02-01,4584320
2022-02-02,3430858
2022-02-03,4040208
2022-02-04,4010474
2022-02-05,3910806
2022-02-06,1734774
2022-02-07,5050516
2022-02-08,4980222
2022-02-09,5794310
2022-02-10,5200247
2022-02-11,5606886
2022-02-12,3781421
2022-02-13,2455057
2022-02-14,4888523
2022-02-15,5060787
2022-02-16,4587611
2022-02-17,5157272
2022-02-18,4649643
2022-02-19,3612796
2022-02-20,2014500
2022-02-21,4055504
2022-02-22,4593202
2022-02-23,3948062
2022-02-24,4410135
2022-02-25,5323835
2022-02-26,4692398
2022-02-27,1816786
2022-03-01,5265629
2022-03-02,5535166
2022-03-03,5708342
2022-03-04,5327729
2022-03-05,4393827
2022-03-06,2449357
2022-03-07,4388316
2022-03-08,4275386
2022-03-09,5075916
2022-03-10,5343724
2022-03-11,4862983
2022-03-12,4524464
2022-03-13,2250272
2022-03-14,4659004
2022-03-15,6156519
2022-03-16,5289608
2022-03-17,4707013
2022-03-18,4675497
2022-03-19,4314902
2022-03-20,2448900
2022-03-21,4960392
2022-03-22,4555428
2022-03-23,2960143
2022-03-24,4278553
2022-03-25,4764241
2022-03-26,3585382
2022-03-27,1648961
2022-03-28,4301242
2022-03-29,5344524
2022-03-30,4678275
2022-04-01,5170410
2022-04-02,3181784
2022-04-03,2811961
2022-04-04,5008296
2022-04-05,4508113
2022-04-06,4845882
2022-04-07,6103376
2022-04-08,4850190
2022-04-09,4449447
2022-04-10,2876342
2022-04-11,4864790
2022-04-12,4477207
2022-04-13,3432434
2022-04-14,1896045
