"fecha","monto_total"
2022-01-03,1993824
2022-01-04,1880586
2022-01-05,1872886
2022-01-06,2417391
2022-01-07,2082796
2022-01-08,775700
2022-01-10,2060812
2022-01-11,1898586
2022-01-12,1255434
2022-01-13,2109538
2022-01-14,1691463
2022-01-15,886170
2022-01-16,348362
2022-01-17,1238700
2022-01-18,1299414
2022-01-19,2127762
2022-01-20,2261159
2022-01-21,1708599
2022-01-22,1634159
2022-01-23,359500
2022-01-24,1013300
2022-01-25,2059475
2022-01-26,1874168
2022-01-27,1504682
2022-01-28,1872712
2022-01-29,1751962
2022-01-30,225200
2022-02-01,1594462
2022-02-02,2004170
2022-02-03,1482736
2022-02-04,2278846
2022-02-05,585300
2022-02-06,233950
2022-02-07,2404748
2022-02-08,844900
2022-02-09,1502900
2022-02-10,1868286
2022-02-11,2283250
2022-02-12,1487379
2022-02-13,545950
2022-02-14,2053561
2022-02-15,2131700
2022-02-16,2471964
2022-02-17,2529769
2022-02-18,2600608
2022-02-19,2284450
2022-02-20,203900
2022-02-21,3410100
2022-02-22,1859600
2022-02-23,3244931
2022-02-24,1256700
2022-02-25,1659272
2022-02-26,571300
2022-02-27,170800
2022-03-01,746500
2022-03-02,1882636
2022-03-03,2743766
2022-03-04,1972804
2022-03-05,944400
2022-03-06,270800
2022-03-07,3045478
2022-03-08,2078986
2022-03-09,1943282
2022-03-10,2729961
2022-03-11,1410611
2022-03-12,1689973
2022-03-13,78200
2022-03-14,2135220
2022-03-15,1515875
2022-03-16,1946435
2022-03-17,1847810
2022-03-18,2436117
2022-03-19,865924
2022-03-20,474692
2022-03-21,3131957
2022-03-22,2927880
2022-03-23,1310089
2022-03-24,2946248
2022-03-25,1707914
2022-03-26,1660261
2022-03-27,153800
2022-03-28,2113143
2022-03-29,1552762
2022-03-30,1376754
2022-04-01,1839200
2022-04-02,1292600
2022-04-03,258600
2022-04-04,1031300
2022-04-05,1833500
2022-04-06,1892000
2022-04-07,1231800
2022-04-08,2460460
2022-04-09,1425660
2022-04-10,29900
2022-04-11,1242055
2022-04-12,1908727
2022-04-13,1081524
2022-04-14,82900
2022-04-16,231600
2022-04-18,1119062
2022-04-19,1897700
2022-04-20,1644400
2022-04-21,919324
2022-04-22,1340800
2022-04-23,2031475
2022-04-24,72800
2022-04-25,2123035
2022-04-26,1364202
2022-04-27,1497981
2022-04-28,2324725
2022-04-29,1192362
2022-04-30,118000
2022-05-01,630998
2022-05-02,994462
2022-05-03,910708
2022-05-04,2189100
2022-05-05,1546671
2022-05-06,1583049
2022-05-07,1499686
2022-05-08,327900
2022-05-09,1768550
2022-05-10,1657474
2022-05-11,1674010
2022-05-12,2147897
2022-05-13,1288738
2022-05-14,1011200
2022-05-16,1201200
2022-05-17,1587362
2022-05-18,1150236
2022-05-19,1570500
2022-05-20,1141010
2022-05-21,695900
2022-05-22,406848
2022-05-23,2312679
2022-05-24,2772321
2022-05-25,1901816
2022-05-26,2363762
2022-05-27,2529559
2022-05-28,2013534
2022-05-29,150300
2022-05-30,2291879
2022-05-31,48300
2022-06-01,1659000
2022-06-02,1134886
2022-06-03,2669862
2022-06-04,1585486
2022-06-05,487800
2022-06-06,976925
2022-06-07,2190000
2022-06-08,1791300
2022-06-09,1987081
2022-06-10,2735007
2022-06-11,1731599
2022-06-12,208700
2022-06-13,2069572
2022-06-14,2603922
2022-06-15,3030066
2022-06-16,2753420
2022-06-17,2083312
2022-06-18,2169097
2022-06-20,2176459
2022-06-21,3260255
2022-06-22,2571943
2022-06-23,2586284
2022-06-24,2405598
2022-06-25,1080100
2022-06-26,229000
2022-06-27,2451740
2022-06-28,2062217
2022-06-29,2446836
2022-06-30,104600
2022-07-01,1549984
2022-07-02,1190350
2022-07-03,405199
2022-07-04,1425638
2022-07-05,2413338
2022-07-06,1525055
2022-07-07,2223700
2022-07-08,3162988
2022-07-09,906350
2022-07-10,428799
2022-07-11,1992328
2022-07-12,1574912
2022-07-13,2045204
2022-07-14,2580462
2022-07-15,1761612
2022-07-16,1768700
2022-07-17,672824
2022-07-18,1500074
2022-07-19,1551763
2022-07-20,1864424
2022-07-21,2689682
2022-07-22,1954134
2022-07-23,2079886
2022-07-24,193000
2022-07-25,2713857
2022-07-26,2038952
2022-07-27,1789474
2022-07-28,2220620
2022-07-29,2178050
2022-07-30,1698412
2022-07-31,66300
2022-08-01,3391832
2022-08-02,2407368
2022-08-03,2779846
2022-08-04,1586237
2022-08-05,2349910
2022-08-06,1365700
2022-08-08,2377750
2022-08-09,2252286
2022-08-10,2166722
2022-08-11,2431399
2022-08-12,2155382
2022-08-13,1823658
2022-08-14,248800
2022-08-15,1428350
2022-08-16,1745742
2022-08-17,2227170
2022-08-18,1827500
2022-08-19,1047005
2022-08-20,2202219
2022-08-21,560499
2022-08-22,1851900
2022-08-23,2710831
2022-08-24,1478200
2022-08-25,2337219
2022-08-26,2522629
2022-08-27,1840999
2022-08-28,491250
2022-08-29,1564247
2022-08-30,3237400
2022-08-31,297900
2022-09-01,1578512
2022-09-02,1943287
2022-09-03,1105900
2022-09-04,420700
2022-09-05,1900689
2022-09-06,1827210
2022-09-07,2853271
2022-09-08,2656047
2022-09-09,1237486
2022-09-10,1233300
2022-09-11,97400
2022-09-12,1973899
2022-09-13,1901136
2022-09-14,1679636
2022-09-15,1898073
2022-09-16,1939200
2022-09-17,1144346
2022-09-18,702200
2022-09-19,923924
2022-09-20,1973386
2022-09-21,1527632
2022-09-22,1657434
2022-09-23,3115859
2022-09-24,1262324
2022-09-25,246900
2022-09-26,1810172
2022-09-27,1478424
2022-09-28,1741762
2022-09-29,1946547
2022-09-30,2300
2022-10-01,1280786
2022-10-02,9200
2022-10-03,809217
2022-10-04,2973444
2022-10-05,2579723
2022-10-06,619548
2022-10-07,2753898
2022-10-08,509809
2022-10-09,561150
2022-10-10,1979448
2022-10-11,1950300
2022-10-12,1865735
2022-10-13,2271234
2022-10-14,2015710
2022-10-15,1046015
2022-10-16,237100
2022-10-17,2632235
2022-10-18,2682671
2022-10-19,2133927
2022-10-20,1881053
2022-10-21,870524
2022-10-22,1286574
2022-10-23,198200
2022-10-24,1399095
2022-10-25,1776411
2022-10-26,1474649
2022-10-27,1313662
2022-10-28,2396417
2022-10-29,655400
2022-10-30,67400
