"fecha","monto_total"
2022-01-01,724224
2022-01-02,1197200
2022-01-03,4190668
2022-01-04,4586288
2022-01-05,4650481
2022-01-06,4670728
2022-01-07,4055243
2022-01-08,3130814
2022-01-09,1923786
2022-01-10,5668113
2022-01-11,4582657
2022-01-12,3947135
2022-01-13,4624852
2022-01-14,4576211
2022-01-15,3775033
2022-01-16,2043216
2022-01-17,2986320
2022-01-18,4490533
2022-01-19,4453964
2022-01-20,3740482
2022-01-21,4163893
2022-01-22,3158182
2022-01-23,1770760
2022-01-24,4232555
2022-01-25,3329700
2022-01-26,3566182
2022-01-27,4819998
2022-01-28,5438417
2022-01-29,3622679
2022-01-30,2178134
2022-02-01,3862145
2022-02-02,4583238
2022-02-03,4614526
2022-02-04,4511646
2022-02-05,4218322
2022-02-06,2697648
2022-02-07,5294542
2022-02-08,5167294
2022-02-09,5235323
2022-02-10,5167364
2022-02-11,4674213
2022-02-12,3988222
2022-02-13,2129763
2022-02-14,5092559
2022-02-15,4337468
2022-02-16,6200332
2022-02-17,4637524
2022-02-18,5282932
2022-02-19,3082899
2022-02-20,2615148
2022-02-21,5768029
2022-02-22,4314260
2022-02-23,5236458
2022-02-24,6172621
2022-02-25,5073428
2022-02-26,3745923
2022-02-27,2692932
2022-02-28,20400
2022-03-01,4578421
2022-03-02,4915343
2022-03-03,5529023
2022-03-04,5969171
2022-03-05,3939465
2022-03-06,2784630
2022-03-07,5741079
2022-03-08,4841838
2022-03-09,4992783
2022-03-10,4565060
2022-03-11,4059100
2022-03-12,3923904
2022-03-13,2386350
2022-03-14,4775271
2022-03-15,5302435
2022-03-16,5121762
2022-03-17,3513693
2022-03-18,4458275
2022-03-19,3599214
2022-03-20,3553381
2022-03-21,4501747
2022-03-22,3827067
2022-03-23,2838939
2022-03-24,3562582
2022-03-25,3480848
2022-03-26,3410302
2022-03-27,1616988
2022-03-28,5710307
2022-03-29,4424014
2022-03-30,3190125
2022-03-31,61200
2022-04-01,4769298
2022-04-02,3051852
2022-04-03,1878762
2022-04-04,2934844
2022-04-05,4008412
2022-04-06,3411316
2022-04-07,4382069
2022-04-08,5157119
2022-04-09,3480473
2022-04-10,1923192
2022-04-11,4382299
