"fecha","monto_total"
2022-01-01,385600
2022-01-02,1561820
2022-01-03,3588362
2022-01-04,5647174
2022-01-05,6117783
2022-01-06,4751225
2022-01-07,5129273
2022-01-08,3807732
2022-01-09,1785060
2022-01-10,4208986
2022-01-11,3450308
2022-01-12,2314912
2022-01-13,4441255
2022-01-14,5496490
2022-01-15,3828312
2022-01-16,2269032
2022-01-17,4196199
2022-01-18,4447962
2022-01-19,3979685
2022-01-20,3426223
2022-01-21,3583970
2022-01-22,2739894
2022-01-23,2575897
2022-01-24,3605562
2022-01-25,3330710
2022-01-26,4461537
2022-01-27,1928065
2022-01-28,4157862
2022-01-29,3712585
2022-01-30,1112532
2022-01-31,52100
2022-02-01,3968888
2022-02-02,4861703
2022-02-03,2940734
2022-02-04,4960162
2022-02-05,2304230
2022-02-06,2067487
2022-02-07,4528220
2022-02-08,4525408
2022-02-09,5217433
2022-02-10,3984009
2022-02-11,6430107
2022-02-12,4375161
2022-02-13,2471202
2022-02-14,5000359
2022-02-15,5293802
2022-02-16,3971773
2022-02-17,4864400
2022-02-18,5818982
2022-02-19,4390627
2022-02-20,2171236
2022-02-21,5728414
2022-02-22,4508246
2022-02-23,4982489
2022-02-24,4325918
2022-02-25,3378900
2022-02-26,3613510
2022-02-27,2255229
2022-02-28,212100
2022-03-01,6141756
2022-03-02,5471928
2022-03-03,6173253
2022-03-04,5392584
2022-03-05,4202928
2022-03-06,2778044
2022-03-07,6017029
2022-03-08,4241684
2022-03-09,4922205
2022-03-10,5823273
2022-03-11,4286459
2022-03-12,3133362
2022-03-13,2762592
2022-03-14,5134947
2022-03-15,5765041
2022-03-16,4797393
2022-03-17,3993010
2022-03-18,5578591
2022-03-19,2402100
2022-03-20,2180548
2022-03-21,4652040
2022-03-22,5453992
2022-03-23,3373397
2022-03-24,3364480
2022-03-25,3030212
2022-03-26,3657110
2022-03-27,1851662
2022-03-28,3309062
2022-03-29,4011497
2022-03-30,3725318
2022-03-31,267300
2022-04-01,3975621
2022-04-02,2988426
2022-04-03,2385286
2022-04-04,3028099
2022-04-05,4608344
2022-04-06,5228354
2022-04-07,4047402
2022-04-08,4790231
2022-04-09,3408304
2022-04-10,2075100
2022-04-11,3785311
2022-04-12,4212140
2022-04-13,3701924
2022-04-14,1947878
2022-04-15,453800
2022-04-16,1762786
2022-04-17,1968048
2022-04-18,2328770
2022-04-19,3275624
2022-04-20,4597901
2022-04-21,3573250
2022-04-22,4688586
2022-04-23,2717072
2022-04-24,2369484
2022-04-25,3977606
2022-04-26,3424830
2022-04-27,2743163
2022-04-28,4419929
2022-04-29,3374774
2022-04-30,36300
2022-05-01,1131984
2022-05-02,1287827
2022-05-03,4091755
2022-05-04,4479812
2022-05-05,3711451
2022-05-06,3378321
2022-05-07,2714472
2022-05-08,2323385
2022-05-09,4043484
2022-05-10,4097516
2022-05-11,4171200
2022-05-12,4437038
2022-05-13,4325096
2022-05-14,1663448
2022-05-15,2335917
2022-05-16,3444930
2022-05-17,4215070
2022-05-18,3484521
2022-05-19,3511366
2022-05-20,3942159
2022-05-21,3233093
2022-05-22,2047922
2022-05-23,4448832
2022-05-24,4062459
2022-05-25,4000905
2022-05-26,2798239
2022-05-27,4083111
2022-05-28,2687056
2022-05-29,1954084
2022-05-30,3264163
2022-05-31,293062
2022-06-01,3605318
2022-06-02,4068564
2022-06-03,3711855
2022-06-04,4082924
2022-06-05,2249100
2022-06-06,3479592
2022-06-07,3918364
2022-06-08,4869548
2022-06-09,3178711
2022-06-10,4174760
2022-06-11,2559954
2022-06-12,1434112
2022-06-13,4041748
2022-06-14,4805261
2022-06-15,4318171
2022-06-16,5112286
2022-06-17,4640883
2022-06-18,2900753
2022-06-19,2447217
2022-06-20,4487908
2022-06-21,3582571
2022-06-22,4555137
2022-06-23,3971347
2022-06-24,5426729
2022-06-25,3587018
2022-06-26,1724200
2022-06-27,4529362
2022-06-28,2819855
2022-06-29,3341848
2022-06-30,229200
2022-07-01,4311981
2022-07-02,2875063
2022-07-03,2411626
2022-07-04,2926435
2022-07-05,3463386
2022-07-06,3065945
2022-07-07,3976284
2022-07-08,4688735
2022-07-09,2425752
2022-07-10,1923746
2022-07-11,5669711
2022-07-12,4713718
2022-07-13,4167657
2022-07-14,4152908
2022-07-15,4495382
2022-07-16,2755541
2022-07-17,2304279
2022-07-18,3674800
2022-07-19,4017366
2022-07-20,4471404
2022-07-21,4512515
2022-07-22,4320886
2022-07-23,3051308
2022-07-24,2468644
2022-07-25,3745950
2022-07-26,3900836
2022-07-27,5398514
2022-07-28,3191462
2022-07-29,3848593
2022-07-30,3193171
2022-08-01,3771174
2022-08-02,3499667
2022-08-03,4984489
2022-08-04,4845572
2022-08-05,4331100
2022-08-06,2475551
2022-08-07,1463700
2022-08-08,3836174
2022-08-09,4117159
2022-08-10,3304273
2022-08-11,3767583
2022-08-12,4252691
2022-08-13,3426517
2022-08-14,1804137
2022-08-15,2105572
2022-08-16,3805720
2022-08-17,2362912
2022-08-18,4804716
2022-08-19,4548221
2022-08-20,2702793
2022-08-21,878854
2022-08-22,3896599
2022-08-23,3100534
2022-08-24,5161638
2022-08-25,3765458
2022-08-26,3647058
2022-08-27,2555913
2022-08-28,1570435
2022-08-29,3016973
2022-08-30,5371836
2022-08-31,296762
2022-09-01,4015580
2022-09-02,3834224
2022-09-03,2200510
2022-09-04,1049100
2022-09-05,3746219
2022-09-06,5067070
2022-09-07,4567910
2022-09-08,4296199
2022-09-09,3659806
2022-09-10,3195394
2022-09-11,1442200
2022-09-12,3559359
2022-09-13,4820028
2022-09-14,4279584
2022-09-15,4510674
2022-09-16,4120763
2022-09-17,2663508
2022-09-18,1293386
2022-09-19,3791068
2022-09-20,3510656
2022-09-21,2796339
2022-09-22,4901730
2022-09-23,4725662
2022-09-24,1877672
2022-09-25,886123
2022-09-26,4222904
2022-09-27,4106096
2022-09-28,3481931
2022-09-29,3325892
2022-09-30,59900
2022-10-01,1845910
2022-10-02,1607034
2022-10-03,1800874
2022-10-04,4499929
2022-10-05,3620039
2022-10-06,2028021
2022-10-07,2432578
2022-10-08,2933858
2022-10-09,1275738
2022-10-10,3707596
2022-10-11,3075372
2022-10-12,3048224
2022-10-13,2983998
2022-10-14,3889882
2022-10-15,2674571
2022-10-16,1994413
2022-10-17,3089392
2022-10-18,4429271
2022-10-19,4356323
2022-10-20,4011566
2022-10-21,4623674
2022-10-22,4462963
2022-10-23,1234566
2022-10-24,4126107
2022-10-25,5255396
2022-10-26,2239784
2022-10-27,4203602
2022-10-28,2791799
2022-10-29,2961428
2022-10-30,1242362
2022-11-01,5470934
2022-11-02,4646317
2022-11-03,4566632
2022-11-04,4790219
2022-11-05,2989296
2022-11-06,1591592
2022-11-07,4916736
2022-11-08,5826294
2022-11-09,422962
2022-11-10,3501850
2022-11-11,3951740
2022-11-12,1794638
2022-11-13,1313874
2022-11-14,4592884
2022-11-15,3826324
2022-11-16,4622390
2022-11-17,3158867
2022-11-18,3926714
2022-11-19,3527136
2022-11-20,1737178
2022-11-21,3788444
2022-11-22,4251275
2022-11-23,3282377
2022-11-24,3234606
2022-11-25,4375234
2022-11-26,4032398
2022-11-27,1158550
2022-11-28,2754220
2022-11-29,4890649
2022-11-30,27200
2022-12-01,2420229
2022-12-02,3119290
2022-12-03,3352097
2022-12-04,1748233
2022-12-05,3074710
2022-12-06,2514488
2022-12-07,4528101
2022-12-08,863249
2022-12-09,2438923
2022-12-10,2354668
2022-12-11,1972999
2022-12-12,3106512
2022-12-13,3102402
2022-12-14,3672130
2022-12-15,2264064
2022-12-16,3197702
2022-12-17,2342043
2022-12-18,2439522
2022-12-19,5319401
2022-12-20,3193019
2022-12-21,2373768
2022-12-22,4225955
2022-12-23,4643439
2022-12-24,3146288
2022-12-25,366684
2022-12-26,3118073
2022-12-27,1781146
2022-12-28,2949380
2022-12-29,3332312
2022-12-30,3468936
2022-12-31,214300
2023-01-01,302700
2023-01-02,3053298
2023-01-03,3120459
2023-01-04,3463189
2023-01-05,3738270
2023-01-06,4030401
2023-01-07,2499996
2023-01-08,1439201
2023-01-09,3574260
2023-01-10,2797170
2023-01-11,2979647
2023-01-12,2774141
2023-01-13,1918195
2023-01-14,2071020
2023-01-15,1419821
2023-01-16,3138420
2023-01-17,4231520
2023-01-18,2674936
2023-01-19,2468767
2023-01-20,3162505
2023-01-21,2385391
2023-01-22,815178
2023-01-23,2698091
2023-01-24,3792148
2023-01-25,4153142
2023-01-26,2796710
2023-01-27,3023770
2023-01-28,2702517
2023-01-29,810696
2023-01-30,3752965
2023-01-31,119000
2023-02-01,1199660
2023-02-02,2462573
2023-02-03,3877839
2023-02-04,2739324
2023-02-05,1207618
2023-02-06,4370591
2023-02-07,2858653
2023-02-08,2718815
2023-02-09,3361739
2023-02-10,2798218
2023-02-11,2346493
2023-02-12,1119909
2023-02-13,3778842
2023-02-14,4435899
2023-02-15,3721715
2023-02-16,3204797
2023-02-17,3737055
2023-02-18,3600182
2023-02-19,477255
2023-02-20,2453618
2023-02-21,4071393
2023-02-22,3085049
2023-02-23,4495175
2023-02-24,3620757
2023-02-25,2494750
2023-02-26,1302458
2023-02-27,1270800
2023-03-01,4577972
2023-03-02,2669395
2023-03-03,4295459
2023-03-04,2183945
2023-03-05,1446467
2023-03-06,4413665
2023-03-07,4262664
2023-03-08,3661928
2023-03-09,3261588
2023-03-10,4456613
2023-03-11,2694940
2023-03-12,508162
2023-03-13,3964785
2023-03-14,2552871
2023-03-15,4516287
2023-03-16,3409652
2023-03-17,2836556
2023-03-18,2401385
2023-03-19,1047334
2023-03-20,3088106
2023-03-21,3610095
2023-03-22,3021973
2023-03-23,3390025
2023-03-24,2769433
2023-03-25,2302720
2023-03-26,1494600
2023-03-27,1719862
2023-03-28,3298989
2023-03-29,3717482
2023-03-30,2842338
2023-03-31,198200
