"fecha","monto_total"
2022-01-01,103200
2022-01-02,1023224
2022-01-03,1901545
2022-01-04,2944800
2022-01-05,3210636
2022-01-06,2246298
2022-01-07,3242754
2022-01-08,3199474
2022-01-09,1300220
2022-01-10,3584693
2022-01-11,2836300
2022-01-12,2362822
2022-01-13,3106948
2022-01-14,2985307
2022-01-15,2196199
2022-01-16,1419110
2022-01-17,3145110
2022-01-18,2950448
2022-01-19,2445896
2022-01-20,3519420
2022-01-21,3138385
2022-01-22,2695123
2022-01-23,1588785
2022-01-24,3090942
2022-01-25,3288643
2022-01-26,2989112
2022-01-27,2730308
2022-01-28,3720360
2022-01-29,1960219
2022-01-30,1610462
2022-02-01,3931484
2022-02-02,3513613
2022-02-03,2703190
2022-02-04,3929845
2022-02-05,2798472
2022-02-06,1553258
2022-02-07,3480481
2022-02-08,3595774
2022-02-09,4200334
2022-02-10,3899167
2022-02-11,4563689
2022-02-12,2552824
2022-02-13,1347823
2022-02-14,3693099
2022-02-15,3231858
2022-02-16,3012560
2022-02-17,2982600
2022-02-18,3098547
2022-02-19,1940712
2022-02-20,1243772
2022-02-21,3924821
2022-02-22,4150375
2022-02-23,3618959
2022-02-24,3163725
2022-02-25,2869201
2022-02-26,1854584
2022-02-27,714212
2022-03-01,2530381
2022-03-02,5241175
2022-03-03,3652688
2022-03-04,2801571
2022-03-05,2300484
2022-03-06,1284110
2022-03-07,3602212
2022-03-08,3069873
2022-03-09,3523022
2022-03-10,3325295
2022-03-11,2547719
2022-03-12,2958200
2022-03-13,1074128
2022-03-14,4208078
2022-03-15,3703900
2022-03-16,3396200
2022-03-17,3016895
2022-03-18,2944405
2022-03-19,1246800
2022-03-20,1120462
2022-03-21,2953648
2022-03-22,3448012
2022-03-23,2091576
2022-03-24,4276577
2022-03-25,2970448
2022-03-26,2580836
2022-03-27,2274773
2022-03-28,4400526
2022-03-29,3033384
2022-03-30,2758850
2022-04-01,4442822
2022-04-02,2814525
2022-04-03,2260417
2022-04-04,4056454
2022-04-05,4255848
2022-04-06,4827053
2022-04-07,3483562
2022-04-08,3694496
2022-04-09,3066899
2022-04-10,2383058
2022-04-11,3532057
2022-04-12,4235913
2022-04-13,3399871
2022-04-14,2122654
2022-04-15,277743
2022-04-16,1815996
2022-04-17,1161686
2022-04-18,3278792
2022-04-19,4293394
2022-04-20,3489959
2022-04-21,4720025
2022-04-22,4942805
2022-04-23,3250422
2022-04-24,2162821
2022-04-25,3744886
2022-04-26,3822004
2022-04-27,4506685
2022-04-28,5029313
2022-04-29,4311607
2022-04-30,23800
2022-05-01,982300
2022-05-02,1461859
2022-05-03,4375053
2022-05-04,4306836
2022-05-05,4703232
2022-05-06,3678310
2022-05-07,3420656
2022-05-08,1818024
2022-05-09,4386001
2022-05-10,4477530
2022-05-11,5944335
2022-05-12,5123728
2022-05-13,6659336
2022-05-14,1243346
2022-05-15,2401393
2022-05-16,3131867
2022-05-17,4062703
2022-05-18,4432624
2022-05-19,4545084
2022-05-20,4109608
2022-05-21,3032553
2022-05-22,2702800
2022-05-23,4376402
2022-05-24,4361301
2022-05-25,4024571
2022-05-26,3638782
2022-05-27,3365331
2022-05-28,3429578
2022-05-29,1894206
2022-05-30,3887629
2022-05-31,27200
2022-06-01,5205908
2022-06-02,5087857
2022-06-03,4128662
2022-06-04,3497009
2022-06-05,2219148
2022-06-06,4979406
2022-06-07,4522351
2022-06-08,5253647
2022-06-09,4355014
2022-06-10,4319463
2022-06-11,3333655
2022-06-12,1766999
2022-06-13,5093260
2022-06-14,4269627
2022-06-15,4079429
2022-06-16,5812872
2022-06-17,6626051
2022-06-18,2339875
2022-06-19,2657363
2022-06-20,5292118
2022-06-21,5316670
2022-06-22,4593866
2022-06-23,5636117
2022-06-24,6001035
2022-06-25,4494478
2022-06-26,847500
2022-06-27,4713425
2022-06-28,4406140
2022-06-29,5312047
2022-06-30,64600
2022-07-01,6406551
2022-07-02,4246499
2022-07-03,1670729
2022-07-04,4533940
2022-07-05,3905063
2022-07-06,5638641
2022-07-07,5140979
2022-07-08,6721969
2022-07-09,3180885
2022-07-10,1872910
2022-07-11,5158574
2022-07-12,4811535
2022-07-13,4576212
2022-07-14,5010767
2022-07-15,3921592
2022-07-16,3665507
2022-07-17,1557774
2022-07-18,4740278
2022-07-19,5249429
2022-07-20,5601481
2022-07-21,5034098
2022-07-22,5953961
2022-07-23,3179420
2022-07-24,2074644
2022-07-25,6311454
2022-07-26,5466431
2022-07-27,5786873
2022-07-28,3709817
2022-07-29,5878330
2022-07-30,3850671
2022-08-01,4425518
2022-08-02,4901053
2022-08-03,5298570
2022-08-04,5159643
2022-08-05,4837000
2022-08-06,2433345
2022-08-07,1215396
2022-08-08,4967762
2022-08-09,5408670
2022-08-10,5387045
2022-08-11,5778173
2022-08-12,6543287
2022-08-13,4165024
2022-08-14,1584486
2022-08-15,2780734
2022-08-16,4381200
2022-08-17,4456271
2022-08-18,6487290
2022-08-19,4796362
2022-08-20,2506526
2022-08-21,1971116
2022-08-22,5135368
2022-08-23,5308875
2022-08-24,4933030
2022-08-25,5681878
