"fecha","monto_total"
2022-01-03,719412
2022-01-04,1511000
2022-01-05,483400
2022-01-06,754300
2022-01-07,921412
2022-01-08,232000
2022-01-10,320400
2022-01-11,520400
2022-01-12,830162
2022-01-13,895900
2022-01-14,711350
2022-01-15,315600
2022-01-17,988900
2022-01-18,1083900
2022-01-19,1070324
2022-01-20,363900
2022-01-21,730234
2022-01-22,607500
2022-01-24,1455462
2022-01-25,467986
2022-01-26,795778
2022-01-27,610324
2022-01-28,688157
2022-01-29,709500
2022-02-01,860348
2022-02-02,781100
2022-02-03,525561
2022-02-04,781300
2022-02-05,242400
2022-02-07,139200
2022-02-08,959986
2022-02-09,1337501
2022-02-10,1001530
2022-02-11,831962
2022-02-12,599762
2022-02-14,1211100
2022-02-15,1023424
2022-02-16,1473099
2022-02-17,1244346
2022-02-18,749700
2022-02-19,1513649
2022-02-20,56400
2022-02-21,1237000
2022-02-22,1793900
2022-02-23,630600
2022-02-24,869062
2022-02-25,569900
2022-02-26,886700
2022-02-27,78200
2022-03-01,661786
2022-03-02,707732
2022-03-03,1119624
2022-03-04,576761
2022-03-05,166400
2022-03-07,891600
2022-03-08,843900
2022-03-09,1758000
2022-03-10,1361554
2022-03-11,383700
2022-03-12,979600
2022-03-13,78600
2022-03-14,1047486
2022-03-15,982100
2022-03-16,983280
2022-03-17,1018750
2022-03-18,1877860
2022-03-19,1095662
2022-03-21,1318524
2022-03-22,955961
2022-03-23,681836
2022-03-24,2330782
2022-03-25,1782310
2022-03-26,1160546
2022-03-27,186400
2022-03-28,1675868
2022-03-29,794262
2022-03-30,1750355
2022-03-31,60600
2022-04-01,1358362
2022-04-02,1079700
2022-04-03,172600
2022-04-04,1619284
2022-04-05,1096300
2022-04-06,1690447
2022-04-07,1374824
2022-04-08,2297084
2022-04-09,1738400
2022-04-10,181862
2022-04-11,1166061
2022-04-12,1040788
2022-04-13,1142866
2022-04-14,446762
2022-04-16,246100
2022-04-18,2382196
2022-04-19,2457062
2022-04-20,2030686
2022-04-21,1660071
2022-04-22,1620338
2022-04-23,1796570
2022-04-24,363000
2022-04-25,2068754
2022-04-26,1662124
2022-04-27,2084695
2022-04-28,1915850
2022-04-29,2001844
2022-05-01,727600
2022-05-02,43700
2022-05-03,998900
2022-05-04,1823100
2022-05-05,1282472
2022-05-06,1607747
2022-05-07,866912
2022-05-08,20700
2022-05-09,798800
2022-05-10,1215400
2022-05-11,1988562
2022-05-12,1212700
2022-05-13,1777432
2022-05-14,1375000
2022-05-16,1395950
2022-05-17,1579924
2022-05-18,1729624
2022-05-19,1798112
2022-05-20,2516639
2022-05-21,1070522
2022-05-22,157000
2022-05-23,2943362
2022-05-24,2519518
2022-05-25,2923719
2022-05-26,2011713
2022-05-27,1840353
2022-05-28,1154648
2022-05-29,188702
2022-05-30,1596648
2022-05-31,155973
2022-06-01,746288
2022-06-02,1950486
2022-06-03,1864960
2022-06-04,1025162
2022-06-05,43200
2022-06-06,1186234
2022-06-07,2008729
2022-06-08,1921529
2022-06-09,1564100
2022-06-10,2028672
2022-06-11,2292622
2022-06-13,1162597
2022-06-14,1453680
2022-06-15,1969758
2022-06-16,1713632
2022-06-17,2052702
2022-06-18,543695
2022-06-20,2238624
2022-06-21,1643562
2022-06-22,1553151
2022-06-23,1660883
2022-06-24,2193578
2022-06-25,1412824
2022-06-27,2406736
2022-06-28,1328737
2022-06-29,1275400
2022-07-01,1476129
2022-07-02,1025519
2022-07-03,158000
2022-07-04,1701699
2022-07-05,2003139
2022-07-06,1684980
2022-07-07,1652652
2022-07-08,723224
2022-07-09,895748
2022-07-11,2322650
2022-07-12,950962
2022-07-13,2458724
2022-07-14,1521500
2022-07-15,1475900
2022-07-16,1873787
2022-07-17,266650
2022-07-18,1009550
2022-07-19,1680050
2022-07-20,2260869
2022-07-21,1912639
2022-07-22,1755998
2022-07-23,1104177
2022-07-24,91400
2022-07-25,2269205
2022-07-26,2269326
2022-07-27,2219082
2022-07-28,1337924
2022-07-29,1475429
2022-07-30,1967051
2022-08-01,1355800
2022-08-02,1980086
2022-08-03,2025874
2022-08-04,1647396
2022-08-05,1849365
2022-08-06,914738
2022-08-08,1339040
2022-08-09,2388200
2022-08-10,825700
2022-08-11,1851556
2022-08-12,730200
2022-08-13,662400
2022-08-14,881800
2022-08-15,868674
2022-08-16,1427551
2022-08-17,1540500
2022-08-18,1146262
2022-08-19,1806234
2022-08-20,1664805
2022-08-21,252200
2022-08-22,1374946
2022-08-23,1593025
2022-08-24,2116867
2022-08-25,1643000
2022-08-26,1441462
2022-08-27,781100
2022-08-28,16200
2022-08-29,1068272
2022-08-30,2389910
2022-08-31,230489
2022-09-01,2281800
2022-09-02,2006886
2022-09-03,1566170
2022-09-04,80500
2022-09-05,1388511
2022-09-06,2724543
2022-09-07,1261000
2022-09-08,2097077
2022-09-09,1841924
2022-09-10,655000
2022-09-11,80862
2022-09-12,2045616
2022-09-13,1722600
2022-09-14,1919799
2022-09-15,1223900
2022-09-16,1794733
2022-09-17,2142199
2022-09-18,368400
2022-09-19,753300
2022-09-20,697459
2022-09-21,916100
2022-09-22,1890576
2022-09-23,1610959
2022-09-24,1314700
2022-09-25,110850
2022-09-26,1303525
2022-09-27,1175700
2022-09-28,1703367
2022-09-29,1387988
2022-09-30,21500
2022-10-01,1087343
2022-10-02,161100
2022-10-03,467300
2022-10-04,2081900
2022-10-05,1458750
2022-10-06,873762
2022-10-07,1273277
2022-10-08,1415912
2022-10-09,215900
2022-10-10,841750
2022-10-11,1385000
2022-10-12,1344100
2022-10-13,981000
2022-10-14,2132795
2022-10-15,1167561
2022-10-17,1948823
