"fecha","monto_total"
2022-01-01,327362
2022-01-02,1132520
2022-01-03,4818004
2022-01-04,6604475
2022-01-05,7131094
2022-01-06,6433515
2022-01-07,6799002
2022-01-08,5191505
2022-01-09,1256200
2022-01-10,6727662
2022-01-11,4608017
2022-01-12,6264061
2022-01-13,6262506
2022-01-14,6316441
2022-01-15,4895398
2022-01-16,1327534
2022-01-17,6089128
2022-01-18,5477099
2022-01-19,6737284
2022-01-20,6381393
2022-01-21,6202748
2022-01-22,4553788
2022-01-23,1272345
2022-01-24,6089573
2022-01-25,6474334
2022-01-26,6542833
2022-01-27,5923521
2022-01-28,6413986
2022-01-29,4364546
2022-01-30,1481883
2022-02-01,6506472
2022-02-02,7280608
2022-02-03,6728507
2022-02-04,7211442
2022-02-05,4683541
2022-02-06,1913160
2022-02-07,7774265
2022-02-08,7326233
2022-02-09,6061555
2022-02-10,7104456
2022-02-11,6637181
2022-02-12,5335770
2022-02-13,1803110
2022-02-14,6863097
2022-02-15,7605368
2022-02-16,8094770
2022-02-17,8610206
2022-02-18,8224637
2022-02-19,4755370
2022-02-20,1671324
2022-02-21,8018684
2022-02-22,8416258
2022-02-23,8374795
2022-02-24,7952163
2022-02-25,8463458
2022-02-26,4469575
2022-02-27,1931522
2022-03-01,7557293
2022-03-02,8538358
2022-03-03,8369957
2022-03-04,8221330
2022-03-05,5534732
2022-03-06,2146772
2022-03-07,8929446
2022-03-08,8646051
2022-03-09,7661257
2022-03-10,9330005
2022-03-11,6886978
2022-03-12,5322982
2022-03-13,1542221
2022-03-14,8936555
2022-03-15,9355561
2022-03-16,8595781
2022-03-17,8052825
2022-03-18,7515631
2022-03-19,5053048
2022-03-20,1856811
2022-03-21,7734300
2022-03-22,8504975
2022-03-23,6537680
2022-03-24,6840155
2022-03-25,7609910
2022-03-26,5753361
2022-03-27,1801750
2022-03-28,8545415
2022-03-29,8512116
2022-03-30,7005540
2022-03-31,260862
2022-04-01,8830440
2022-04-02,5820618
2022-04-03,2143005
2022-04-04,7636345
2022-04-05,8322030
2022-04-06,8636155
2022-04-07,8665505
2022-04-08,9066887
2022-04-09,6154894
2022-04-10,2017847
2022-04-11,7714785
2022-04-12,8376099
2022-04-13,5692904
2022-04-14,1659072
2022-04-15,355950
2022-04-16,1905424
2022-04-17,1414016
2022-04-18,8030027
2022-04-19,8645461
2022-04-20,8725156
2022-04-21,8400094
2022-04-22,8205625
2022-04-23,4002079
2022-04-24,1640090
2022-04-25,8383174
2022-04-26,9621872
2022-04-27,9388246
2022-04-28,7833378
2022-04-29,8759209
2022-04-30,211900
2022-05-01,1602914
2022-05-02,1845128
2022-05-03,8886186
2022-05-04,9060789
2022-05-05,9747470
2022-05-06,8846134
2022-05-07,4789289
2022-05-08,1875412
2022-05-09,8889915
2022-05-10,9168733
2022-05-11,7854801
2022-05-12,6884523
2022-05-13,8849565
2022-05-14,2441741
2022-05-15,2011748
2022-05-16,8476816
2022-05-17,8162207
2022-05-18,8094122
2022-05-19,8605274
2022-05-20,8992130
2022-05-21,4641715
2022-05-22,1650712
2022-05-23,8904136
2022-05-24,9995236
2022-05-25,8837462
2022-05-26,8880787
2022-05-27,7790232
2022-05-28,5024260
2022-05-29,1415412
2022-05-30,8687030
2022-05-31,210800
2022-06-01,8908903
2022-06-02,9354708
2022-06-03,8555131
2022-06-04,5491402
2022-06-05,1773627
2022-06-06,8900601
2022-06-07,8057303
2022-06-08,8524119
2022-06-09,8408013
2022-06-10,8945533
2022-06-11,4538595
2022-06-12,1544180
2022-06-13,8402164
2022-06-14,7947359
2022-06-15,7611174
2022-06-16,8218200
2022-06-17,8591886
2022-06-18,5027448
2022-06-19,1617924
2022-06-20,9368307
2022-06-21,9509856
2022-06-22,8384690
2022-06-23,7791347
2022-06-24,8039844
2022-06-25,4379423
2022-06-26,1546642
2022-06-27,8325568
2022-06-28,8255954
2022-06-29,9559450
2022-06-30,276900
2022-07-01,6876620
2022-07-02,5239405
2022-07-03,1912074
2022-07-04,8950000
2022-07-05,8907619
2022-07-06,9522815
2022-07-07,9543016
2022-07-08,9014423
2022-07-09,5416066
2022-07-10,1419821
2022-07-11,7295861
2022-07-12,6644927
2022-07-13,9539424
2022-07-14,8562214
2022-07-15,9205903
2022-07-16,4153210
2022-07-17,1697183
2022-07-18,8030899
2022-07-19,8125182
2022-07-20,8703353
2022-07-21,8236513
2022-07-22,7424082
2022-07-23,5583074
2022-07-24,1908516
2022-07-25,8731764
2022-07-26,8967902
2022-07-27,9071311
2022-07-28,8679090
2022-07-29,8785293
2022-07-30,4859518
2022-07-31,189200
2022-08-01,10607860
2022-08-02,9164256
2022-08-03,10631545
2022-08-04,9257361
2022-08-05,9220130
2022-08-06,4908199
2022-08-07,1868489
2022-08-08,9827127
2022-08-09,10788950
2022-08-10,8708785
2022-08-11,9381131
2022-08-12,10420276
2022-08-13,5739130
2022-08-14,1736312
2022-08-15,2628337
2022-08-16,8454172
2022-08-17,9390242
2022-08-18,9563185
2022-08-19,9505059
2022-08-20,5693850
2022-08-21,1888600
2022-08-22,9262495
2022-08-23,8202915
2022-08-24,8694287
2022-08-25,9916809
2022-08-26,8757591
2022-08-27,5193049
2022-08-28,1424484
2022-08-29,7697274
2022-08-30,9488594
2022-08-31,127600
2022-09-01,7120174
2022-09-02,8973821
2022-09-03,5393637
2022-09-04,1816876
2022-09-05,9349048
2022-09-06,7815670
2022-09-07,9041936
2022-09-08,7228176
2022-09-09,8760554
2022-09-10,5609636
2022-09-11,1822151
2022-09-12,10816598
2022-09-13,7340143
2022-09-14,8057334
2022-09-15,9620296
2022-09-16,9373589
2022-09-17,6122477
2022-09-18,1392565
2022-09-19,7230268
2022-09-20,8865428
2022-09-21,9338579
2022-09-22,9427098
2022-09-23,7164614
2022-09-24,5569379
2022-09-25,1719732
2022-09-26,9897859
2022-09-27,8370588
2022-09-28,8604042
2022-09-29,8142508
2022-09-30,312450
2022-10-01,5629018
2022-10-02,1576312
2022-10-03,2486717
2022-10-04,8603554
2022-10-05,9175378
