"fecha","monto_total"
2022-01-02,1006146
2022-01-03,7987750
2022-01-04,7003569
2022-01-05,9152627
2022-01-06,7839866
2022-01-07,9850642
2022-01-08,11180893
2022-01-09,2228110
2022-01-10,12851647
2022-01-11,10671025
2022-01-12,11627198
2022-01-13,11731222
2022-01-14,13309194
2022-01-15,5811013
2022-01-16,2334862
2022-01-17,12106623
2022-01-18,9626460
2022-01-19,1220184
2022-01-20,10792209
2022-01-21,10684686
2022-01-22,9740475
2022-01-23,2028913
2022-01-25,9637745
2022-01-26,9370758
2022-01-27,9515474
2022-01-28,10161407
2022-01-29,7356216
2022-01-30,1321104
2022-02-01,7671828
2022-02-02,5394750
2022-02-03,8388530
2022-02-04,8089925
2022-02-05,6643540
2022-02-06,1768848
2022-02-07,10824169
2022-02-08,9343793
2022-02-09,9113417
2022-02-10,7686902
2022-02-11,9394033
2022-02-12,6758310
2022-02-13,1183162
2022-02-14,9054642
2022-02-15,10209620
2022-02-16,8684245
2022-02-17,10503744
2022-02-18,11814309
2022-02-19,5343816
2022-02-20,3381970
2022-02-21,8081546
2022-02-22,10597329
2022-02-23,7525015
2022-02-24,9270585
2022-02-25,10383461
2022-02-26,5840789
2022-02-27,3374412
2022-03-01,9102380
2022-03-02,12327206
2022-03-03,10124682
2022-03-04,6750790
2022-03-05,9185666
2022-03-06,778000
2022-03-07,10944635
2022-03-08,11014955
2022-03-09,8009003
2022-03-10,10112466
2022-03-11,9812198
2022-03-12,8639293
2022-03-13,749562
2022-03-14,10498296
2022-03-15,12317366
2022-03-16,9728285
2022-03-17,11409703
2022-03-18,9888539
2022-03-19,9293955
2022-03-20,1825385
2022-03-21,15278938
2022-03-22,10183983
2022-03-23,8782238
2022-03-24,12532245
2022-03-25,12723101
2022-03-26,10326484
2022-03-27,3568455
2022-03-28,9660188
2022-03-29,9735306
2022-03-30,8339572
2022-03-31,215751
2022-04-01,8562563
2022-04-02,8382500
2022-04-03,3225362
2022-04-04,10190139
2022-04-05,5956830
2022-04-06,9375764
2022-04-07,9630151
2022-04-08,7992227
2022-04-09,6865323
2022-04-10,2692953
2022-04-11,11337099
2022-04-12,9846406
2022-04-13,3670523
2022-04-14,826120
2022-04-15,446916
2022-04-16,1104557
2022-04-17,1609646
2022-04-18,9739782
2022-04-19,8343502
2022-04-20,9512745
2022-04-21,9798149
2022-04-22,7405123
2022-04-23,7960060
2022-04-24,1491073
2022-04-25,11447256
2022-04-26,10450006
2022-04-27,10046928
2022-04-28,7421122
2022-04-29,9435719
2022-04-30,137700
2022-05-01,6467064
2022-05-02,5164336
2022-05-03,17727274
2022-05-04,8907747
2022-05-05,9668173
2022-05-06,8996245
2022-05-07,10361931
2022-05-08,2209444
2022-05-09,8580565
2022-05-10,8663383
