"fecha","monto_total"
2022-01-12,6900
2022-01-27,312886
2022-01-28,745386
2022-01-29,576900
2022-02-01,542100
2022-02-02,301600
2022-02-03,613276
2022-02-04,837800
2022-02-05,538700
2022-02-07,867400
2022-02-08,695800
2022-02-09,325000
2022-03-01,1097100
2022-03-02,809600
2022-03-03,667000
2022-03-04,782000
2022-03-05,722200
2022-03-07,703800
2022-03-08,876300
2022-03-09,848700
2022-03-10,883200
2022-03-11,618700
2022-07-23,44700
2022-07-25,617100
2022-07-26,209600
2022-07-27,398162
2022-07-28,241600
2022-07-29,493174
2022-12-21,78200
