"fecha","monto_total"
2022-01-04,320000
2022-01-08,187000
2022-01-10,108800
2022-01-11,36000
2022-01-12,51000
2022-01-13,481416
2022-01-14,217700
2022-01-18,272700
2022-01-27,721751
2022-01-28,464086
2022-02-07,647600
2022-02-08,288900
2022-02-09,670299
2022-02-10,323399
2022-02-11,360600
2022-02-12,133572
2022-02-14,441662
2022-02-15,249462
2022-02-16,215262
2022-02-18,1839182
2022-02-19,1369136
2022-02-22,600574
2022-03-04,255199
2022-03-08,445300
2022-03-14,461848
2022-03-16,431400
2022-03-18,17000
2022-03-22,481186
2022-03-30,359700
2022-04-04,3400
2022-04-06,526863
2022-04-22,416600
2022-05-20,392900
2022-05-21,47600
2022-05-23,374723
2022-05-24,370800
2022-05-25,48400
2022-05-27,314000
2022-05-30,445200
2022-06-02,377500
2022-06-04,142800
2022-06-05,13600
2022-06-06,89000
2022-06-07,365200
2022-06-08,478900
2022-06-09,328400
2022-06-10,308200
2022-06-11,71900
2022-06-12,7100
2022-06-14,317200
2022-06-15,353100
2022-06-16,432000
2022-06-17,450000
2022-06-18,81600
2022-06-19,2300
2022-06-20,488800
2022-06-21,309000
2022-06-24,501124
2022-06-27,392090
2022-06-28,724671
2022-06-29,431400
2022-07-04,722783
2022-07-05,30200
2022-07-06,278600
2022-07-07,396900
2022-07-08,37400
2022-07-11,308100
2022-07-12,337300
2022-07-13,621662
2022-07-14,10200
2022-07-15,229198
2022-07-18,19800
2022-07-19,206534
2022-07-20,433200
2022-07-22,389200
2022-07-25,591824
2022-07-26,632100
2022-07-27,595512
2022-07-29,17000
2022-08-01,417249
2022-08-02,293500
2022-08-03,771850
2022-08-05,370700
2022-08-08,236500
2022-08-09,490224
2022-08-10,437100
2022-08-11,30600
2022-08-12,91800
2022-08-16,525462
2022-08-17,485700
2022-08-18,548101
2022-08-19,471500
2022-08-22,484824
2022-08-23,395331
2022-08-24,354100
2022-08-25,489929
2022-08-26,392624
2022-08-29,517800
2022-08-30,136000
2022-09-01,851036
2022-09-02,300900
2022-09-05,72800
2022-09-06,434724
2022-09-07,507800
2022-09-08,227800
2022-09-09,132372
2022-09-10,23800
2022-09-12,345700
2022-09-13,118300
2022-09-14,846862
2022-09-15,721470
2022-09-16,260087
2022-09-19,106700
2022-09-20,668462
2022-09-21,706862
2022-09-22,65400
2022-09-26,883498
2022-09-27,370000
2022-09-28,722046
2022-10-04,108700
2022-10-05,17000
2022-10-06,291648
2022-10-07,117787
2022-10-08,117700
2022-10-09,122550
2022-10-11,129200
2022-10-12,498700
2022-10-13,1029969
2022-10-14,404260
2022-10-17,437998
2022-10-18,159600
2022-10-19,44200
2022-10-20,432900
2022-10-21,507438
2022-10-26,423841
2022-10-28,557962
2022-11-01,397100
2022-11-02,102000
2022-11-08,500700
2022-11-11,153700
2022-11-21,139800
2022-11-22,544000
2022-11-29,378600
2022-12-01,297526
2022-12-03,6800
2022-12-15,414900
2022-12-16,312292
2022-12-22,317486
2022-12-30,271500
2023-01-03,292516
2023-01-10,517960
2023-01-11,606541
2023-01-12,153000
2023-01-13,162600
2023-01-16,573200
2023-01-17,1070162
2023-01-19,328650
2023-01-20,593813
2023-01-23,535200
2023-01-24,582300
2023-01-25,130600
2023-01-26,625253
2023-01-27,696100
2023-01-28,55700
2023-01-30,688476
2023-02-01,164363
2023-02-03,642463
2023-02-04,49600
2023-02-06,190200
2023-02-07,421100
2023-02-08,1202900
2023-02-10,502486
2023-02-13,97500
2023-02-14,132600
2023-02-17,225100
2023-02-20,450300
2023-02-21,408339
2023-02-22,445700
2023-02-23,511689
2023-02-24,1014057
2023-02-27,267262
2023-03-01,262700
2023-03-02,22500
2023-03-03,144550
2023-03-08,675348
2023-03-10,477200
