"fecha","monto_total"
2022-01-05,80000
2022-01-06,83200
2022-01-07,34000
2022-01-20,39100
2022-01-21,63000
2022-02-18,105400
2022-02-21,60900
2022-06-04,20400
2022-06-05,73800
2022-07-06,1669410
2022-07-07,2359098
2022-07-08,3410796
2022-07-09,627300
2022-07-11,1536862
2022-07-12,2090843
2022-07-13,1078772
2022-07-14,1887157
2022-07-15,1397213
2022-07-16,435500
2022-07-18,1484000
2022-07-19,1859586
2022-07-20,1663562
2022-07-21,2169324
2022-07-22,1226336
2022-07-23,248200
2022-07-24,3400
2022-07-26,899598
2022-07-27,1018408
2022-07-28,317486
2022-08-01,767495
2022-08-02,1313135
2022-08-03,1430739
2022-08-04,1893906
2022-08-05,1296700
2022-08-08,1264700
2022-08-09,1675800
2022-08-10,125900
2023-02-02,258600
2023-03-06,143400
