"fecha","monto_total"
2022-01-01,25300
2022-01-02,67100
2022-01-03,1230100
2022-01-04,2037248
2022-01-05,2059498
2022-01-06,1149439
2022-01-07,1479110
2022-01-08,742840
2022-01-09,323300
2022-01-10,1163600
2022-01-11,1198567
2022-01-12,387200
2022-01-13,1286824
2022-01-14,1081583
2022-01-15,367500
2022-01-16,167911
2022-01-17,1198698
2022-01-18,453462
2022-01-19,1145100
2022-01-20,703300
2022-01-21,845743
2022-01-22,249062
2022-01-23,279524
2022-01-24,339700
2022-01-25,647224
2022-01-26,756800
2022-01-27,787976
2022-01-28,814562
2022-01-29,396700
2022-01-30,254000
2022-02-01,971491
2022-02-02,1203508
2022-02-03,1299380
2022-02-04,1238871
2022-02-05,241986
2022-02-06,233300
2022-02-07,1459531
2022-02-08,1092700
2022-02-09,1511339
2022-02-10,1311316
2022-02-11,935722
2022-02-12,571162
2022-02-13,223100
2022-02-14,1247484
2022-02-15,1125424
2022-02-16,1528420
2022-02-17,1606030
2022-02-18,1237400
2022-02-19,767197
2022-02-20,177736
2022-02-21,1545256
2022-02-22,1909633
2022-02-23,1515599
2022-02-24,640100
2022-02-25,1139214
2022-02-26,604262
2022-02-27,60600
2022-03-01,456962
2022-03-02,780100
2022-03-03,737934
2022-03-04,1284962
2022-03-05,384700
2022-03-06,207900
2022-03-07,1074950
2022-03-08,1228565
2022-03-09,867198
2022-03-10,1485244
2022-03-11,1395640
2022-03-12,454900
2022-03-13,243700
2022-03-14,1417292
2022-03-15,1904560
2022-03-16,1665250
2022-03-17,1281894
2022-03-18,1336528
2022-03-19,74800
2022-03-20,64700
2022-03-21,1777949
2022-03-22,1776612
2022-03-23,1059325
2022-03-24,1811698
2022-03-25,1266896
2022-03-26,528902
2022-03-27,81900
2022-03-28,1922047
2022-03-29,1621772
2022-03-30,1040681
2022-04-01,1500853
2022-04-02,578336
2022-04-04,923100
2022-04-05,1465621
2022-04-06,1470900
2022-04-07,1488834
2022-04-08,1678538
2022-04-09,565700
2022-04-10,54700
2022-04-11,1474512
2022-04-12,1877465
2022-04-13,1207446
2022-04-18,2304023
2022-04-19,1513018
2022-04-20,1685962
2022-04-21,1721586
2022-04-22,1935087
2022-04-23,616613
2022-04-25,2080688
2022-04-26,1878781
2022-04-27,1940026
2022-04-28,1823220
2022-04-29,1571722
2022-05-02,52600
2022-05-03,1153124
2022-05-04,1003094
2022-05-05,763134
2022-05-06,1163062
2022-05-07,481362
2022-05-09,1209265
2022-05-10,932258
2022-05-11,1132300
2022-05-12,1278687
2022-05-13,1079758
2022-05-15,72400
2022-05-16,769568
2022-05-17,950601
2022-05-18,659424
2022-05-19,802562
2022-05-20,679742
2022-05-21,239800
2022-05-22,18300
2022-05-23,743300
2022-05-24,767489
2022-05-25,1193262
2022-05-26,1282956
2022-05-27,1032384
2022-05-28,507796
2022-05-30,1324119
2022-06-01,1300658
2022-06-02,1190947
2022-06-03,1196000
2022-06-04,193348
2022-06-05,8200
2022-06-06,1144783
2022-06-07,824250
2022-06-08,961824
2022-06-09,937612
2022-06-10,1232373
2022-06-11,682624
2022-06-13,1206212
2022-06-14,1113798
2022-06-15,1075700
2022-06-16,1039348
2022-06-17,1365447
2022-06-18,621200
2022-06-20,969734
2022-06-21,1140286
2022-06-22,1246940
2022-06-23,1103650
2022-06-24,1366048
2022-06-25,730873
2022-06-26,6900
2022-06-27,1358966
2022-06-28,1241700
2022-06-29,1145803
2022-06-30,13800
2022-07-01,1451100
2022-07-02,698462
2022-07-03,30024
2022-07-04,1244280
2022-07-05,865900
2022-07-06,1314919
2022-07-07,1032762
2022-07-08,923560
2022-07-09,780400
2022-07-11,1105000
2022-07-12,825718
2022-07-13,1305198
2022-07-14,956873
2022-07-15,1068715
2022-07-16,429970
2022-07-17,9200
2022-07-18,1147000
2022-07-19,1317562
2022-07-20,1728286
2022-07-21,1450962
2022-07-22,1479613
2022-07-23,718112
2022-07-25,748184
2022-07-26,1244200
2022-07-27,1228345
2022-07-28,1280524
2022-07-29,1226400
2022-07-30,961010
2022-07-31,2300
2022-08-01,1556276
2022-08-02,1641552
2022-08-03,1440306
2022-08-04,1190624
2022-08-05,1523670
2022-08-06,809250
2022-08-07,55744
2022-08-08,985520
2022-08-09,1544375
2022-08-10,1197162
2022-08-11,1476600
2022-08-12,1400385
2022-08-13,962748
2022-08-16,2000923
2022-08-17,1614835
2022-08-18,1401278
2022-08-19,1642560
2022-08-20,1112062
2022-08-21,2300
2022-08-22,1319112
2022-08-23,1719646
2022-08-24,1138194
2022-08-25,1418798
2022-08-26,1707249
2022-08-27,752100
2022-08-28,113400
2022-08-29,566562
2022-08-30,1025008
2022-08-31,27600
2022-09-01,2004310
2022-09-02,2132246
2022-09-03,952186
2022-09-05,1220262
2022-09-06,1600947
2022-09-07,1268700
2022-09-08,898558
2022-09-09,1079462
2022-09-10,868099
2022-09-12,1230866
2022-09-13,1554016
2022-09-14,1375898
2022-09-15,1772171
2022-09-16,1614486
2022-09-17,897933
2022-09-19,610000
2022-09-20,1110581
2022-09-21,719252
2022-09-22,1249967
2022-09-23,733885
2022-09-24,599048
2022-09-26,659054
2022-09-27,1360969
2022-09-28,1447913
2022-09-29,1094860
2022-10-01,916848
2022-10-02,45500
2022-10-04,1077707
2022-10-05,1120897
2022-10-06,1268191
2022-10-07,1568474
2022-10-08,801367
2022-10-10,1314534
2022-10-11,858486
2022-10-12,883162
2022-10-13,1056000
2022-10-14,1023712
2022-10-15,1177138
2022-10-17,784600
2022-10-18,404869
2022-10-19,750502
2022-10-20,997761
2022-10-21,1582006
2022-10-22,599708
2022-10-23,2300
2022-10-24,758924
2022-10-25,780600
2022-10-26,839948
2022-10-27,1079550
2022-10-28,884962
2022-10-29,898899
2022-11-01,1192165
2022-11-02,1310810
2022-11-03,1950591
2022-11-04,1046449
2022-11-05,1040283
2022-11-07,1449897
2022-11-08,1056422
2022-11-10,1257051
2022-11-11,1764577
2022-11-12,967361
2022-11-14,1067468
2022-11-15,1471981
2022-11-16,873681
2022-11-17,1322676
2022-11-18,869900
2022-11-19,727703
2022-11-21,1123192
2022-11-22,1442103
2022-11-23,1502162
2022-11-24,1517934
2022-11-25,1428647
2022-11-26,758670
2022-11-28,1611426
2022-11-29,1405623
2022-12-01,1279391
2022-12-02,1602069
2022-12-03,1011048
2022-12-05,1285403
2022-12-06,1067831
2022-12-07,862936
2022-12-09,1220519
2022-12-10,448850
2022-12-12,835586
2022-12-13,1077283
2022-12-14,999862
2022-12-15,974385
2022-12-16,842896
2022-12-17,1026362
2022-12-19,1153612
2022-12-20,1289873
2022-12-21,1307447
2022-12-22,859161
2022-12-23,753800
2022-12-24,517385
2022-12-26,647405
2022-12-27,1018815
2022-12-28,892512
2022-12-29,969386
2022-12-30,758438
2023-01-02,432736
2023-01-03,618365
2023-01-04,762971
2023-01-05,639872
2023-01-06,859297
2023-01-07,465800
2023-01-09,1015550
2023-01-10,986200
2023-01-11,1154798
2023-01-12,779441
2023-01-13,619900
2023-01-14,691612
2023-01-16,982400
2023-01-17,1128612
2023-01-18,1164824
2023-01-19,1151241
2023-01-20,1189825
2023-01-21,1028678
2023-01-23,1208989
2023-01-24,1452444
2023-01-25,1258690
2023-01-26,1198320
2023-01-27,946343
2023-01-28,431400
2023-01-30,1461274
2023-02-01,844879
2023-02-02,1309353
2023-02-03,1474025
2023-02-04,575200
2023-02-06,1103960
2023-02-07,840962
2023-02-08,1374992
2023-02-09,1087965
2023-02-10,1109673
2023-02-11,689700
2023-02-13,1151900
2023-02-14,882468
2023-02-15,1208472
2023-02-16,875687
2023-02-17,918622
2023-02-18,668900
2023-02-19,9200
2023-02-20,1167528
2023-02-21,1211162
2023-02-22,793686
2023-02-23,1115151
2023-02-24,1033651
2023-02-25,678000
2023-03-01,983010
2023-03-02,762590
2023-03-03,721960
2023-03-04,941362
2023-03-06,1190144
2023-03-07,1078000
2023-03-08,645724
2023-03-09,804986
2023-03-10,827072
2023-03-11,320500
2023-03-13,1146922
2023-03-14,868805
2023-03-15,971261
2023-03-16,1384600
2023-03-17,1046150
2023-03-18,638830
2023-03-20,866543
2023-03-21,984324
2023-03-22,378200
2023-03-23,1128150
2023-03-24,861008
2023-03-25,604668
2023-03-27,961766
2023-03-28,1016249
2023-03-29,768074
2023-03-30,978366
