"fecha","monto_total"
2022-01-03,134000
2022-01-04,53100
2022-01-05,189200
2022-01-06,117662
2022-01-07,40800
2022-01-08,144100
2022-01-10,3400
2022-01-12,412124
2022-01-14,235100
2022-01-15,352134
2022-01-17,118500
2022-01-18,431762
2022-01-19,389200
2022-01-20,394400
2022-01-21,242100
2022-01-22,214800
2022-01-23,24800
2022-01-24,528600
2022-01-25,312700
2022-01-26,252848
2022-01-27,148600
2022-01-28,310699
2022-01-29,317424
2022-01-30,73200
2022-02-01,47100
2022-02-02,361386
2022-02-03,217500
2022-02-04,240862
2022-02-05,468400
2022-02-06,73500
2022-02-07,376062
2022-02-08,451992
2022-02-09,142748
2022-02-10,64200
2022-02-11,59300
2022-02-12,258600
2022-02-13,25636
2022-02-14,169100
2022-02-15,174689
2022-02-16,222800
2022-02-17,413562
2022-02-18,231162
2022-02-19,321962
2022-02-20,87000
2022-02-21,219574
2022-02-23,226200
2022-02-24,341930
2022-02-25,198962
2022-02-26,369500
2022-02-27,118900
2022-03-01,477900
2022-03-02,416060
2022-03-03,639024
2022-03-04,193800
2022-03-05,555700
2022-03-07,210300
2022-03-08,198900
2022-03-09,91800
2022-03-10,180200
2022-03-12,543696
2022-03-13,3400
2022-03-14,241400
2022-03-15,188000
2022-03-16,43400
2022-03-17,413800
2022-03-18,33400
2022-03-19,419700
2022-03-21,84100
2022-03-22,229930
2022-03-26,109840
2022-03-28,274686
2022-03-29,145062
2022-03-30,152086
2022-04-01,214600
2022-04-02,616383
2022-04-04,364762
2022-04-06,155972
2022-04-07,104498
2022-04-08,439124
2022-04-09,315600
2022-04-10,13600
2022-04-11,3400
2022-04-12,163200
2022-04-18,47600
2022-04-19,59300
2022-04-23,112000
2022-04-29,86124
2022-05-04,90700
2022-05-06,27200
2022-05-07,64600
2022-05-10,168400
2022-05-12,156200
2022-05-13,171991
2022-05-16,267362
2022-05-17,94800
2022-05-18,215100
2022-05-19,134691
2022-05-20,680962
2022-05-21,453400
2022-05-23,158824
2022-05-24,259200
2022-05-25,71400
2022-05-26,113024
2022-05-27,224300
2022-05-28,308200
2022-06-01,459711
2022-06-02,663900
2022-06-03,100500
2022-06-04,305400
2022-06-06,250500
2022-06-07,520700
2022-06-09,589980
2022-06-10,290500
2022-06-11,261900
2022-06-13,676500
2022-06-14,27200
2022-06-15,153300
2022-06-16,334600
2022-06-18,3400
2022-06-20,238900
2022-06-21,367200
2022-06-22,79900
2022-06-24,419899
2022-06-25,142800
2022-06-27,355700
2022-06-28,363400
2022-06-29,544123
2022-07-01,118786
2022-07-04,423200
2022-07-05,200100
2022-07-06,245200
2022-07-07,421800
2022-07-08,151900
2022-07-09,918719
2022-07-11,105085
2022-07-12,338624
2022-07-13,625700
2022-07-14,445300
2022-07-16,348436
2022-07-18,10200
2022-07-19,74700
2022-07-21,3400
2022-07-22,192000
2022-07-23,542862
2022-07-25,404000
2022-07-26,54400
2022-07-29,386050
2022-07-30,95300
2022-08-01,295263
2022-08-03,30600
2022-08-05,347904
2022-08-06,95300
