"fecha","monto_total"
2022-01-03,364816
2022-01-04,262400
2022-01-05,119600
2022-01-06,75300
2022-01-07,319900
2022-01-08,59800
2022-01-10,105300
2022-01-11,268186
2022-01-14,243200
2022-01-15,249000
2022-01-16,124000
2022-01-17,486111
2022-01-18,80500
2022-01-19,198900
2022-01-20,251700
2022-01-21,139200
2022-01-23,64500
2022-01-24,234500
2022-01-25,82800
2022-01-26,280430
2022-01-28,294334
2022-01-30,85462
2022-02-01,103500
2022-02-02,397245
2022-02-03,68700
2022-02-04,302100
2022-02-05,9200
2022-02-06,269400
2022-02-07,1683962
2022-02-08,896129
2022-02-09,1109318
2022-02-10,1297557
2022-02-11,995132
2022-02-12,448148
2022-02-13,378900
2022-02-14,1541336
2022-02-15,1309359
2022-02-16,1166700
2022-02-17,1300224
2022-02-18,1530970
2022-02-19,314960
2022-02-20,364848
2022-02-21,1027100
2022-02-22,1941235
2022-02-23,1352562
2022-02-24,1433874
2022-02-25,1438682
2022-02-26,718975
2022-02-27,352962
2022-03-01,879821
2022-03-02,939600
2022-03-03,352000
2022-03-04,1599300
2022-03-05,557624
2022-03-06,488500
2022-03-07,1734500
2022-03-08,2010610
2022-03-09,882374
2022-03-10,1524908
2022-03-11,1193324
2022-03-12,939036
2022-03-13,291500
2022-03-14,922048
2022-03-15,1250200
2022-03-16,1676312
2022-03-17,1538572
2022-03-18,1595723
2022-03-19,595900
2022-03-20,390810
2022-03-21,1710224
2022-03-22,1614336
2022-03-23,1297344
2022-03-24,1455986
2022-03-25,1390824
2022-03-26,909600
2022-03-27,391800
2022-03-28,1044924
2022-03-29,1149510
2022-03-30,947058
2022-03-31,63350
2022-04-01,1378934
2022-04-02,768554
2022-04-03,166300
2022-04-04,233800
2022-04-05,904150
2022-04-06,969243
2022-04-07,594300
2022-04-08,1090098
2022-04-09,369400
2022-04-10,49200
2022-04-11,571598
2022-04-12,1268148
2022-04-13,638262
2022-04-14,27500
2022-04-15,82800
2022-04-18,1039262
2022-04-19,962024
2022-04-20,567200
2022-04-21,94700
2022-04-22,853624
2022-04-23,108100
2022-04-25,311253
2022-04-26,673796
2022-04-27,71300
2022-04-28,36200
2022-04-29,272112
2022-05-01,324962
2022-05-03,201600
2022-05-04,95100
2022-05-06,167200
2022-05-07,81400
2022-05-10,33900
2022-05-15,150000
2022-05-22,52900
2022-05-25,251712
2022-05-26,2300
2022-06-06,176400
2022-06-07,2300
2022-06-11,32945
2022-06-16,262900
2022-06-22,64201
2022-07-07,259200
2022-07-12,258900
2022-07-17,91500
2022-07-18,305300
2022-07-20,6900
2022-07-22,248300
2022-07-26,69000
2022-07-28,303200
2022-08-13,90500
2022-08-14,16100
2022-08-21,85400
2022-08-24,264900
2022-08-27,141000
2022-08-29,139100
2022-09-02,86400
2022-09-04,93200
2022-09-05,50200
2022-09-08,213300
2022-09-10,56400
2022-09-18,53900
2022-09-28,158400
2022-10-06,2300
2022-10-15,29900
2022-10-16,88100
2022-10-18,69000
2022-10-21,104400
2022-10-26,262930
2022-10-28,285800
2022-11-22,85900
2022-12-13,284388
2023-01-16,357497
2023-01-17,233000
2023-01-18,341000
2023-01-19,173500
2023-01-20,127311
2023-01-21,100200
2023-01-23,318100
2023-01-24,313663
2023-01-25,110700
2023-01-28,319300
2023-01-30,25300
2023-02-01,205900
2023-02-02,217900
2023-02-03,367700
2023-02-06,134000
2023-02-07,142400
2023-02-08,65300
2023-02-09,96100
2023-02-10,116000
2023-02-11,149400
2023-02-13,106152
2023-02-14,115300
2023-02-15,41400
2023-02-16,16100
2023-02-17,25300
