"fecha","monto_total"
2022-01-01,10200
2022-01-02,155600
2022-01-03,2496407
2022-01-04,2841070
2022-01-05,3748493
2022-01-06,3471055
2022-01-07,2522936
2022-01-08,2628043
2022-01-09,200800
2022-01-10,3017686
2022-01-11,3331484
2022-01-12,3652245
2022-01-13,2640797
2022-01-14,3339369
2022-01-15,2606386
2022-01-16,78000
2022-01-17,3444303
2022-01-18,2280268
2022-01-19,3045979
2022-01-20,1909603
2022-01-21,2327453
2022-01-22,1842462
2022-01-23,233000
2022-01-24,2461012
2022-01-25,2630514
2022-01-26,2335123
2022-01-27,2172400
2022-01-28,2745896
2022-01-29,1485268
2022-01-30,416500
2022-02-01,2871590
2022-02-02,3131143
2022-02-03,4168256
2022-02-04,3347083
2022-02-05,1680096
2022-02-06,207400
2022-02-07,3140763
2022-02-08,3846644
2022-02-09,3888500
2022-02-10,3547820
2022-02-11,3774794
2022-02-12,1905724
2022-02-13,194500
2022-02-14,3362460
2022-02-15,4159292
2022-02-16,3746146
2022-02-17,3691845
2022-02-18,4149178
2022-02-19,2254364
2022-02-20,292400
2022-02-21,3482593
2022-02-22,4463138
2022-02-23,3483127
2022-02-24,3585810
2022-02-25,4117819
2022-02-26,2180584
2022-02-27,320600
2022-03-01,4044156
2022-03-02,2672099
2022-03-03,4143405
2022-03-04,3771896
2022-03-05,2838391
2022-03-06,147400
2022-03-07,3989817
2022-03-08,4401693
2022-03-09,3517581
2022-03-10,4155092
2022-03-11,3891322
2022-03-12,1939095
2022-03-13,30600
2022-03-14,4776986
2022-03-15,3830407
2022-03-16,4351535
2022-03-17,3766387
2022-03-18,3777459
2022-03-19,1492770
2022-03-21,4982679
2022-03-22,3995528
2022-03-23,2463400
2022-03-24,3582006
2022-03-25,3386970
2022-03-26,1795762
2022-03-28,4323560
2022-03-29,4823088
2022-03-30,2692203
2022-04-01,5128999
2022-04-02,2056836
2022-04-04,3350306
2022-04-05,3756702
2022-04-06,4522263
2022-04-07,4662029
2022-04-08,4457577
2022-04-09,2211004
