"fecha","monto_total"
2022-01-02,39100
2022-01-08,2300
2022-01-09,56600
2022-01-10,48300
2022-01-14,2300
2022-01-16,20700
2022-01-18,126500
2022-01-23,16100
2022-01-24,31200
2022-01-26,42300
2022-01-27,9200
2022-01-30,81224
2022-02-06,84900
2022-02-11,25300
2022-02-13,108100
2022-02-20,107300
2022-02-24,156600
2022-02-27,59900
2022-03-05,6900
2022-03-06,23000
2022-03-11,6900
2022-03-13,123450
2022-03-14,10965
2022-03-23,145300
2022-03-24,387100
2022-03-29,243033
2022-03-30,9200
2022-03-31,34500
2022-04-01,37500
2022-04-06,81000
2022-04-09,231284
2022-04-13,40700
2022-04-20,115200
2022-04-26,29900
2022-04-27,33100
2022-04-28,130000
2022-05-02,4600
2022-05-13,47200
2022-05-16,27600
2022-05-18,21900
2022-05-21,27600
2022-05-24,49000
2022-05-28,89000
2022-05-30,17700
2022-06-01,32200
2022-06-03,23000
2022-06-06,27600
2022-06-08,41400
2022-06-22,9200
2022-06-25,2300
2022-06-26,2300
2022-07-05,67800
2022-07-10,4600
2022-07-27,57500
2022-07-28,59562
2022-08-02,9200
2022-08-04,19000
2022-08-08,3700
2022-08-09,2300
2022-08-12,29900
2022-08-15,20700
2022-08-18,13800
2022-08-19,72100
2022-08-20,18400
2022-08-24,4600
2022-08-29,1600
2022-08-30,164876
2022-09-01,34500
2022-09-02,23200
2022-09-03,18400
2022-09-06,38400
2022-09-07,83862
2022-09-10,61000
2022-09-16,387500
2022-09-17,225900
2022-09-18,9000
2022-09-20,71500
2022-09-21,217700
2022-09-22,238900
2022-09-24,91700
2022-09-27,101200
2022-10-01,197000
2022-10-04,49500
2022-10-05,199300
2022-10-11,29600
2022-10-12,6900
2022-10-15,82200
2022-11-05,50600
2022-11-08,150300
2022-11-12,80500
2022-11-21,138000
2022-11-29,127571
2022-12-16,29600
2022-12-23,133450
2023-01-02,79000
2023-02-09,2300
