"fecha","monto_total"
2022-01-01,34000
2022-01-02,296462
2022-01-03,2930308
2022-01-04,3172414
2022-01-05,3700248
2022-01-06,3080546
2022-01-07,3549917
2022-01-08,2233883
2022-01-09,531524
2022-01-10,3152760
2022-01-11,3128323
2022-01-12,3409176
2022-01-13,4355238
2022-01-14,2663938
2022-01-15,1644092
2022-01-16,204262
2022-01-17,3222540
2022-01-18,2973689
2022-01-19,2898057
2022-01-20,3125106
2022-01-21,2388878
2022-01-22,1950348
2022-01-23,168800
2022-01-24,2310586
2022-01-25,2973690
2022-01-26,2600925
2022-01-27,2745163
2022-01-28,2701157
2022-01-29,1633989
2022-01-30,249662
2022-02-01,2938934
2022-02-02,3670050
2022-02-03,3168159
2022-02-04,3887573
2022-02-05,1690236
2022-02-06,383700
2022-02-07,3816118
2022-02-08,4196097
2022-02-09,4273626
2022-02-10,3845963
2022-02-11,2684897
2022-02-12,2121171
2022-02-13,269000
2022-02-14,4580274
2022-02-15,4540355
2022-02-16,4878610
2022-02-17,4248066
2022-02-18,4249356
2022-02-19,2884658
2022-02-20,143800
2022-02-21,3949003
2022-02-22,4877508
2022-02-23,3321930
2022-02-24,3548200
2022-02-25,4197659
2022-02-26,1804862
2022-02-27,372000
2022-03-01,3655263
2022-03-02,4021754
2022-03-03,3790043
2022-03-04,4873257
2022-03-05,2301500
2022-03-06,228500
2022-03-07,3951068
2022-03-08,3665734
2022-03-09,4405656
2022-03-10,4716021
2022-03-11,4465348
2022-03-12,2418301
2022-03-13,242999
2022-03-14,4379083
2022-03-15,3942820
2022-03-16,4444628
2022-03-17,3832510
2022-03-18,4064592
2022-03-19,2068612
2022-03-21,4820896
2022-03-22,4167398
2022-03-23,2622637
2022-03-24,4339040
2022-03-25,3995330
2022-03-26,1862351
2022-03-28,3855629
2022-03-29,3688407
2022-03-30,3024844
2022-04-01,4168886
2022-04-02,2411829
2022-04-03,36100
2022-04-04,3867123
2022-04-05,4153123
2022-04-06,3961485
2022-04-07,3978017
2022-04-08,3344899
2022-04-09,2378651
2022-04-11,3471354
2022-04-12,4516864
2022-04-13,2242735
2022-04-18,5520674
2022-04-19,3709716
2022-04-20,3646573
2022-04-21,3371302
2022-04-22,4389529
2022-04-23,2939984
2022-04-25,4634568
2022-04-26,4172550
2022-04-27,4329980
2022-04-28,4040328
2022-04-29,3593905
2022-05-03,3843554
2022-05-04,5194744
2022-05-05,4480580
2022-05-06,4233318
2022-05-07,2761583
2022-05-09,4354221
2022-05-10,5175108
2022-05-11,4186200
2022-05-12,4218882
2022-05-13,4792941
2022-05-14,6800
2022-05-16,3805866
2022-05-17,3999555
2022-05-18,3981763
2022-05-19,3789462
2022-05-20,3825782
2022-05-21,2439040
2022-05-23,3711938
2022-05-24,4257010
2022-05-25,3872543
2022-05-26,4062442
2022-05-27,3051270
2022-05-28,2830227
2022-05-29,6800
2022-05-30,3988972
2022-05-31,3400
2022-06-01,4322866
2022-06-02,4123863
2022-06-03,4180847
2022-06-04,2885286
2022-06-05,3400
2022-06-06,4331286
2022-06-07,4221328
2022-06-08,3733924
2022-06-09,3430271
2022-06-10,4206635
2022-06-11,1958722
2022-06-12,133687
2022-06-13,4149219
2022-06-14,4077918
2022-06-15,3457548
2022-06-16,3900415
2022-06-17,3879621
2022-06-18,2748074
2022-06-19,61562
2022-06-20,4187301
2022-06-21,3862347
2022-06-22,3619184
2022-06-23,3092840
2022-06-24,3331583
2022-06-25,2849639
2022-06-26,3400
2022-06-27,4168934
2022-06-28,3722154
2022-06-29,3752280
2022-06-30,3400
2022-07-01,3929957
2022-07-02,2890839
2022-07-03,6800
2022-07-04,4398399
2022-07-05,3970669
2022-07-06,3948411
2022-07-07,4959368
2022-07-08,3815425
2022-07-09,3037000
