"fecha","monto_total"
2022-01-09,66500
2022-01-10,2300
2022-01-16,47500
2022-01-19,9200
2022-01-23,62097
2022-01-30,54800
2022-02-06,93200
2022-02-11,75900
2022-02-13,236900
2022-02-20,55200
2022-02-22,253293
2022-03-07,101900
2022-03-13,24800
2022-03-25,221924
2022-03-28,55200
2022-03-29,203400
2022-03-30,103500
2022-04-06,274350
2022-04-11,386400
2022-04-12,21900
2022-04-20,4600
2022-04-21,4600
2022-04-24,89700
2022-04-25,60700
2022-04-26,59700
2022-05-03,290100
2022-06-05,55200
2022-06-08,149500
2022-06-09,98500
2022-06-10,246900
2022-06-11,2300
2022-06-20,13800
2022-06-22,62100
2022-06-23,123100
2022-06-24,175000
2022-06-28,207300
2022-08-07,77300
2022-08-19,172100
2022-09-06,248500
2022-09-09,281100
2022-09-12,111300
2022-09-20,569399
2022-09-21,91900
2022-09-22,260298
2022-09-23,54300
2022-09-24,215600
2022-09-26,591572
2022-10-04,370200
2022-10-12,82500
2022-10-28,236944
2022-11-25,231200
2022-12-02,276500
2023-02-05,71300
2023-02-06,501793
2023-02-07,243000
2023-02-08,277400
2023-03-02,167130
2023-03-03,120128
