"fecha","monto_total"
2022-01-01,33400
2022-01-03,2310912
2022-01-04,3561124
2022-01-05,3130161
2022-01-06,2838946
2022-01-07,3129745
2022-01-08,1998111
2022-01-09,355300
2022-01-10,2958304
2022-01-11,1928860
2022-01-12,2443329
2022-01-13,2281607
2022-01-14,2485386
2022-01-15,1188424
2022-01-16,55600
2022-01-17,2682040
2022-01-18,2564146
2022-01-19,2608458
2022-01-20,2466600
2022-01-21,2196647
2022-01-22,868424
2022-01-23,31900
2022-01-24,1948856
2022-01-25,1966819
2022-01-26,1962264
2022-01-27,1912737
2022-01-28,2382631
2022-01-29,739500
2022-01-30,204800
2022-02-01,2455382
2022-02-02,2329073
2022-02-03,2296259
2022-02-04,2526489
2022-02-05,1290797
2022-02-06,257200
2022-02-07,2881133
2022-02-08,3013446
2022-02-09,2523998
2022-02-10,2826620
2022-02-11,3190975
2022-02-12,1669428
2022-02-13,6800
2022-02-14,2922974
2022-02-15,2940469
2022-02-16,3304253
2022-02-17,2819324
2022-02-18,3186248
2022-02-19,1764264
2022-02-20,164100
2022-02-21,2787697
2022-02-22,3209597
2022-02-23,3888732
2022-02-24,3043687
2022-02-25,3303759
2022-02-26,1676709
2022-02-27,333962
2022-03-01,3430877
2022-03-02,2872371
2022-03-03,2280832
2022-03-04,2904250
2022-03-05,1742761
2022-03-06,314100
2022-03-07,3459268
2022-03-08,3837545
2022-03-09,3521806
2022-03-10,3604996
2022-03-11,2961218
2022-03-12,2122900
2022-03-13,24900
2022-03-14,3158896
2022-03-15,3856512
2022-03-16,3475970
2022-03-17,3488547
2022-03-18,3429672
2022-03-19,1698696
2022-03-21,3646720
2022-03-22,3636316
2022-03-23,2622317
2022-03-24,3108920
2022-03-25,3213948
2022-03-26,1960321
2022-03-28,3607540
2022-03-29,2314812
2022-03-30,2395724
2022-04-01,3610434
2022-04-02,1807962
2022-04-04,2934599
2022-04-05,2440622
2022-04-06,2989907
2022-04-07,2664798
2022-04-08,3928996
2022-04-09,2044530
2022-04-11,3223260
2022-04-12,3483760
2022-04-13,1721437
2022-04-18,4182657
2022-04-19,4357045
2022-04-20,3422016
2022-04-21,3381142
2022-04-22,2941039
2022-04-23,1875730
2022-04-25,3248336
2022-04-26,3172755
2022-04-27,3364846
2022-04-28,3979761
2022-04-29,3338503
2022-05-03,3805918
2022-05-04,3856377
2022-05-05,3413386
2022-05-06,3832392
2022-05-07,2120301
2022-05-09,5188691
2022-05-10,3677822
2022-05-11,3810523
2022-05-12,3654123
2022-05-13,3861389
2022-05-16,3781907
2022-05-17,3253397
2022-05-18,3592733
2022-05-19,3447891
2022-05-20,3209550
2022-05-21,1702992
2022-05-23,3231316
2022-05-24,3047560
2022-05-25,3193169
2022-05-26,3674103
2022-05-27,3085266
2022-05-28,2248652
2022-05-29,3400
2022-05-30,4047158
2022-05-31,6800
2022-06-01,2938794
2022-06-02,3709865
2022-06-03,3377439
2022-06-04,2421049
2022-06-05,3400
2022-06-06,3324329
2022-06-07,3316500
2022-06-08,3755371
2022-06-09,3100727
2022-06-10,3259221
2022-06-11,1616253
2022-06-12,6800
2022-06-13,3053934
2022-06-14,3078954
2022-06-15,2899206
2022-06-16,2612940
2022-06-17,2593197
2022-06-18,2286515
2022-06-19,3400
2022-06-20,3894600
2022-06-21,3144416
2022-06-22,3127682
2022-06-23,2652196
2022-06-24,3700600
2022-06-25,1956229
2022-06-27,3228387
2022-06-28,3232533
2022-06-29,3398446
2022-06-30,3400
2022-07-01,3637510
2022-07-02,2718740
2022-07-03,3400
2022-07-04,3961519
2022-07-05,4263619
2022-07-06,3225037
2022-07-07,3628124
2022-07-08,3315324
2022-07-09,1735388
2022-07-10,3400
2022-07-11,3304993
2022-07-12,3430058
2022-07-13,4014984
2022-07-14,3294762
2022-07-15,3593329
2022-07-16,1637331
2022-07-18,3352807
2022-07-19,3548261
2022-07-20,3127294
2022-07-21,3117603
2022-07-22,3399747
2022-07-23,2320711
2022-07-24,3400
2022-07-25,3684663
2022-07-26,2998441
2022-07-27,3630855
2022-07-28,3176270
2022-07-29,3421350
2022-07-30,2200627
2022-07-31,3400
2022-08-01,4114105
2022-08-02,3091283
2022-08-03,2706914
2022-08-04,3742674
2022-08-05,2887770
2022-08-06,1817660
2022-08-08,3503439
2022-08-09,3246467
2022-08-10,2662949
2022-08-11,3170712
