"fecha","monto_total"
2022-01-01,20700
2022-01-02,34500
2022-01-07,186600
2022-01-09,13800
2022-01-11,1700
2022-01-13,130100
2022-01-16,50600
2022-01-18,9200
2022-01-23,102400
2022-01-30,23000
2022-02-06,106200
2022-02-13,70700
2022-02-20,101524
2022-02-27,63636
2022-03-07,154100
2022-03-13,81900
2022-03-29,262100
2022-04-06,250700
2022-04-07,250850
2022-04-08,254300
2022-04-11,225100
2022-04-12,110400
2022-04-20,9200
2022-04-22,200100
2022-04-27,257400
2022-04-28,2300
2022-06-21,430000
2022-09-09,100400
2022-09-16,137862
2022-09-23,203100
2022-09-24,109200
2022-09-26,213800
2022-10-01,87400
2022-10-04,197450
2022-10-05,287900
2022-10-28,96600
2022-11-28,305589
2022-11-29,92200
2023-02-06,121999
2023-02-07,234780
