"fecha","monto_total"
2022-03-18,369700
2022-03-19,85000
2022-03-22,120700
2022-03-29,257500
2022-03-30,134357
2022-04-01,979460
2022-04-02,265900
2022-04-04,295948
2022-04-05,816974
2022-04-06,596400
2022-04-07,1271522
2022-04-08,540399
2022-04-13,426362
2022-04-16,164600
2022-04-20,286750
2022-04-22,862424
2022-04-23,709400
2022-04-26,188300
2022-04-27,1245225
2022-04-28,613708
2022-04-29,640900
2022-05-05,502100
2022-05-09,320700
2022-05-28,551162
2022-06-09,576347
2022-06-10,645100
2022-06-11,735199
2022-06-13,749300
2022-10-02,10200
2022-10-13,464700
2022-10-14,3400
2022-11-14,3400
2022-12-28,253000
2023-01-21,84000
2023-02-24,7848
