"fecha","monto_total"
2022-03-10,444500
2022-03-11,461700
2022-03-12,366700
2022-03-14,1046562
2022-03-15,951862
2022-03-16,591900
2022-03-17,798600
2022-03-18,1475328
2022-03-19,1583142
2022-03-21,2256036
2022-03-22,1408500
2022-03-23,772000
2022-03-24,799724
2022-03-25,1198300
2022-03-26,478600
2022-03-28,1096700
2022-03-29,988100
2022-03-30,1243671
2022-04-01,741600
2022-04-02,1010700
2022-04-04,493500
2022-04-05,808024
2022-04-06,587638
2022-04-07,612448
2022-04-08,758362
2022-04-09,633300
2022-04-11,990899
2022-04-12,1140800
2022-04-13,706861
2022-04-14,101500
2022-04-16,463900
2022-04-18,1014474
2022-04-19,954938
2022-04-20,411600
2022-04-21,930700
2022-04-22,854000
2022-04-23,733150
2022-04-25,1280000
2022-04-26,1333287
2022-04-27,1337501
2022-04-28,1140290
2022-04-29,1030998
2022-04-30,85100
2022-05-03,1376586
2022-05-04,705700
2022-05-05,1428500
2022-05-06,1777349
2022-05-07,1475417
2022-05-09,2176000
2022-05-10,1873150
2022-05-11,1151300
2022-05-12,1054746
2022-05-13,1527199
2022-05-14,417462
2022-05-16,1219990
2022-05-17,1058986
2022-05-18,1392200
2022-05-19,1354700
2022-05-20,917136
2022-05-21,844706
2022-05-23,1061636
2022-05-24,1009362
2022-05-25,896038
2022-05-26,364724
2022-05-27,1013550
2022-05-28,947149
2022-05-30,1150812
2022-06-01,827200
2022-06-02,1103299
2022-06-03,856100
2022-06-04,881300
2022-06-06,408000
2022-06-07,567524
2022-06-08,604200
2022-06-09,559500
2022-06-10,191400
2022-06-11,378436
2022-06-13,877013
2022-06-14,463400
2022-06-15,1009600
2022-06-16,513000
2022-06-17,602624
2022-06-18,602400
2022-06-20,407600
2022-06-21,822000
2022-06-22,1024132
2022-06-23,441500
2022-06-24,392700
2022-06-25,169300
2022-06-27,584300
2022-06-28,727944
2022-06-29,961800
2022-07-01,916600
2022-07-02,981143
2022-07-04,1216760
2022-07-05,777804
2022-07-06,760100
2022-07-07,739800
2022-07-08,1350399
2022-07-09,400400
2022-07-11,839962
2022-07-12,764200
2022-07-13,770700
2022-07-14,764200
2022-07-15,1142300
2022-07-16,91800
2022-07-18,748277
2022-07-19,915400
2022-07-20,792800
2022-07-21,544700
2022-07-22,1015400
2022-07-23,575200
2022-07-25,626100
2022-07-26,489000
2022-07-27,464300
2022-07-28,483162
2022-07-29,557400
2022-07-30,330400
2022-08-01,1021100
2022-08-02,843579
2022-08-03,1064900
2022-08-04,671700
2022-08-05,1227811
2022-08-06,733600
2022-08-08,606561
2022-08-09,825727
2022-08-10,588100
2022-08-11,563100
2022-08-12,1133761
2022-08-13,466950
2022-08-16,686796
2022-08-17,875400
2022-08-19,661991
2022-08-20,506400
2022-08-22,1127612
2022-08-23,854625
2022-08-24,928360
2022-08-25,888433
2022-08-26,463200
2022-08-27,419898
2022-08-28,29900
2022-08-29,1076250
2022-08-30,735739
2022-09-01,1097934
2022-09-02,926200
2022-09-03,391800
2022-09-05,855600
2022-09-06,1328224
2022-09-07,1114789
2022-09-08,304600
2022-09-09,655700
2022-09-10,467407
2022-09-11,88150
2022-09-12,948676
2022-09-13,1156398
2022-09-14,921400
2022-09-15,849350
2022-09-16,434650
2022-09-17,743700
2022-09-18,261300
2022-09-19,555400
2022-09-20,1228300
2022-09-21,870962
2022-09-22,1329188
2022-09-23,1414450
2022-09-24,606250
2022-09-26,1129827
2022-09-27,1459000
2022-09-28,1327874
2022-09-29,853900
2022-10-01,1356150
2022-10-04,1295800
2022-10-05,1208097
2022-10-06,677702
2022-10-07,937634
2022-10-08,1721687
2022-10-10,1120400
2022-10-11,818005
2022-10-12,406500
2022-10-13,545300
2022-10-14,1190500
2022-10-15,1217174
2022-10-16,64400
2022-10-17,1207832
2022-10-18,1172300
2022-10-19,1073263
2022-10-20,1093200
2022-10-21,1074250
2022-10-22,765954
2022-10-24,896800
2022-10-25,951500
2022-10-26,1427800
2022-10-27,1615886
2022-10-28,778800
