"fecha","monto_total"
2022-03-10,348000
2022-03-11,620925
2022-03-12,334400
2022-03-14,661690
2022-03-15,964200
2022-03-16,651600
2022-03-17,814600
2022-03-18,1600136
2022-03-19,974400
2022-03-20,55000
2022-03-21,1122675
2022-03-22,1110224
2022-03-23,1392000
2022-03-24,789136
2022-03-25,1015990
2022-03-26,639089
2022-03-27,50300
2022-03-28,768050
2022-03-29,527786
2022-03-30,707562
2022-04-01,566000
2022-04-02,776100
2022-04-04,270550
2022-04-05,640262
2022-04-06,533700
2022-04-07,585600
2022-04-08,636200
2022-04-09,555100
2022-04-11,359262
2022-04-12,633524
2022-04-13,934962
2022-04-14,44900
2022-04-16,241581
2022-04-18,880660
2022-04-19,659900
2022-04-20,606900
2022-04-21,884024
2022-04-22,1111900
2022-04-23,442424
2022-04-25,876085
2022-04-26,426900
2022-04-27,713062
2022-04-28,377280
2022-04-29,341600
2022-04-30,13800
2022-05-03,528624
2022-05-04,923600
2022-05-05,683350
2022-05-06,656500
2022-05-07,650300
2022-05-08,115000
2022-05-09,958800
2022-05-10,1087600
2022-05-11,1088513
2022-05-12,533900
2022-05-13,785062
2022-05-14,384800
2022-05-16,685621
2022-05-17,639062
2022-05-18,735762
2022-05-19,952674
2022-05-20,716300
2022-05-21,763500
2022-05-23,693100
2022-05-24,693658
2022-05-25,901529
2022-05-26,283200
2022-05-27,767800
2022-05-28,469800
2022-05-30,238900
2022-05-31,16100
2022-06-01,1070600
2022-06-02,893600
2022-06-03,1051400
2022-06-04,1505286
2022-06-05,158950
2022-06-06,410055
2022-06-07,976750
2022-06-08,781666
2022-06-09,439250
2022-06-10,341462
2022-06-11,454000
2022-06-13,163500
2022-06-14,146324
2022-06-15,693050
2022-06-16,937600
2022-06-17,401158
2022-06-18,501210
2022-06-20,570326
2022-06-21,442978
2022-06-22,552090
2022-06-23,373900
2022-06-24,568900
2022-06-25,147200
2022-06-26,13800
2022-06-27,371000
2022-06-28,741700
2022-06-29,708700
2022-06-30,217140
2022-07-01,832750
2022-07-02,920357
2022-07-03,47100
2022-07-04,1121200
2022-07-05,943096
2022-07-06,1299570
2022-07-07,1293268
2022-07-08,758700
2022-07-09,1105200
2022-07-11,1062311
2022-07-12,620000
2022-07-13,694792
2022-07-14,842483
2022-07-15,993350
2022-07-16,190362
2022-07-18,763072
2022-07-19,786700
2022-07-20,1048200
2022-07-21,882095
2022-07-22,1198863
2022-07-23,611000
2022-07-25,479800
2022-07-26,560000
2022-07-27,469000
2022-07-28,435500
2022-07-29,501200
2022-07-30,672700
2022-08-01,305000
2022-08-02,541463
2022-08-03,416200
2022-08-04,949600
2022-08-05,802300
2022-08-06,983210
2022-08-08,854600
